Entity,Date,Beta,Susceptible
Australia,10/02/2020,0.05237293784276631,0.999999427
Australia,12/02/2020,0.07130969702681422,0.999999427
Australia,14/02/2020,0.23611908412057825,0.999999427
Australia,16/02/2020,0.28284684287372014,0.999999427
Australia,18/02/2020,0.19507266087372252,0.999999427
Australia,20/02/2020,0.11844106165554823,0.999999427
Australia,22/02/2020,0.0607948432345314,0.999999198
Australia,24/02/2020,0.02913376155958207,0.99999916
Australia,26/02/2020,0.020973904258617254,0.999999121
Australia,28/02/2020,0.023173753379000975,0.999999121
Australia,01/03/2020,0.02448195548879654,0.999999045
Australia,03/03/2020,0.028539112712312534,0.999998892
Australia,05/03/2020,0.03769922206649132,0.999998357
Australia,07/03/2020,0.04696637891313753,0.999997593
Australia,09/03/2020,0.0491236511007742,0.999997059
Australia,11/03/2020,0.04332175198245986,0.99999618
Australia,13/03/2020,0.048566417494015066,0.999994652
Australia,15/03/2020,0.0489448969148428,0.999990488
Australia,17/03/2020,0.052308238998575604,0.999987165
Australia,19/03/2020,0.04615583929198418,0.999978417
Australia,21/03/2020,0.033634649228196326,0.999966651
Australia,23/03/2020,0.0208626049750759,0.999946672
Australia,25/03/2020,0.021250455474743923,0.999913972
Australia,27/03/2020,0.020955903988656193,0.99988597
Australia,29/03/2020,0.01945468415045525,0.999854493
Australia,31/03/2020,0.018415951574777448,0.999833482
Australia,02/04/2020,0.012809751139615076,0.999809912
Australia,04/04/2020,0.008251589184610199,0.999791652
Australia,06/04/2020,-0.006150896828163039,0.999780574
Australia,08/04/2020,-0.01866227720404146,0.999772476
Australia,10/04/2020,-0.011392418185401428,0.999764988
Australia,12/04/2020,0.0038748580136917818,0.999759755
Australia,14/04/2020,0.025153544708959866,0.999756813
Australia,16/04/2020,0.04348287079934273,0.999753299
Australia,18/04/2020,0.06513430627883401,0.999750434
Australia,20/04/2020,0.07421645088444424,0.999747416
Australia,22/04/2020,0.06464004538505776,0.999746079
Australia,24/04/2020,0.039916662532846155,0.999745315
Australia,26/04/2020,0.015638753654400372,0.99974394
Australia,28/04/2020,0.008946205901780665,0.999743099
Australia,30/04/2020,0.015368479241410259,0.999742297
Australia,02/05/2020,0.022718404637330856,0.999741495
Australia,04/05/2020,0.02655366483684631,0.999740196
Australia,06/05/2020,0.031097209230789756,0.999738362
Australia,08/05/2020,0.03661785665071474,0.999736567
Australia,10/05/2020,0.04218456791237906,0.999735306
Australia,12/05/2020,0.042459799091639654,0.99973458
Australia,14/05/2020,0.04273442946750746,0.999733549
Australia,16/05/2020,0.04687926104711013,0.999731868
Australia,18/05/2020,0.04725612697815962,0.999730875
Australia,20/05/2020,0.04131321013860327,0.999729996
Australia,22/05/2020,0.04606836658034312,0.9997295
