quarter,country,cluster,beta
Q0,lithuania,0,0.0436954105791714
Q0,portugal,0,0.0601503626389504
Q0,israel,0,0.0443714577573699
Q0,latvia,0,0.0471091212770502
Q0,bulgaria,0,0.0415666893637311
Q0,slovakia,0,0.0566736819994452
Q0,netherlands,0,0.0459888409509958
Q0,south-korea,0,0.0464208728510482
Q0,australia,0,0.0410898246030535
Q0,denmark,0,0.0510395752479659
Q0,new-Zealand,0,0.0543320843377586
Q0,ireland,1,0.4552311851966803
Q0,slovenia,2,0.1103607618931954
Q0,sweden,2,0.0730554168946114
Q0,taiwan,2,0.0859272054780197
Q0,italy,2,0.1048059554888363
Q0,us,2,0.0751077831098876
Q0,romania,2,0.0902021220337808
Q0,austria,3,0.0223026024548015
Q0,cyprus,3,0.0297200522018106
Q0,canada,3,0.0361117118601705
Q0,croatia,3,0.0363271911305914
Q0,malta,3,0.033598450211172
Q0,germany,3,0.030389974062619
Q0,singapore,3,0.0271093974136044
Q0,belgium,3,0.0356175314438472
Q0,france,3,0.019662011438262
Q0,uk,3,0.0232188028750519
Q0,finland,3,0.0190255403266966
Q0,switzerland,3,0.0223072186119669
Q0,spain,3,0.0271581756137244
Q0,norway,3,0.0208778809437648
Q1,cyprus,0,0.1614665955801615
Q1,canada,0,0.1932097484692081
Q1,sweden,0,0.130702546655766
Q1,latvia,0,0.1211276070317501
Q1,malta,0,0.1265509754660068
Q1,belgium,0,0.1325584607418141
Q1,denmark,0,0.1086532900133653
Q1,uk,0,0.1803918613279146
Q1,switzerland,0,0.1638864740648357
Q1,spain,0,0.1377934300071233
Q1,norway,0,0.216732097209722
Q1,netherlands,1,0.8996014462325055
Q1,austria,2,0.592162927503607
Q1,lithuania,3,0.0599845416575797
Q1,portugal,3,0.064653444235259
Q1,slovenia,3,0.0281046803131553
Q1,croatia,3,0.0299105146534929
Q1,israel,3,0.0407580623294115
Q1,bulgaria,3,0.0952431221920814
Q1,taiwan,3,0.0652938720826891
Q1,germany,3,0.019764415483932
Q1,singapore,3,0.0284762776153656
Q1,slovakia,3,0.05
Q1,south-korea,3,0.0499384594699695
Q1,france,3,0.0485388015180822
Q1,australia,3,0.0243821396631166
Q1,italy,3,0.0872788451537344
Q1,finland,3,0.0612496038455043
Q1,ireland,3,0.0484167085197137
Q1,us,3,0.0210199796589661
Q1,new-Zealand,3,0.021941522425535
Q1,romania,3,0.0437854863327451
Q2,austria,0,0.0788484268794249
Q2,lithuania,0,0.1144698188610892
Q2,israel,0,0.0728729511597585
Q2,latvia,0,0.1048155994662108
Q2,taiwan,0,0.0610128246234335
Q2,malta,0,0.031512683950547
Q2,south-korea,0,0.0858157913486912
Q2,belgium,0,0.069691538918879
Q2,france,0,0.0954854886419781
Q2,finland,0,0.0801243206738299
Q2,switzerland,0,0.0423669267303944
Q2,ireland,0,0.0427283619352962
Q2,norway,0,0.0645334126920739
Q2,new-Zealand,0,0.0430644726923597
Q2,romania,0,0.0418188019667565
Q2,canada,1,1.2922569936405357
Q2,cyprus,2,0.3387166468847577
Q2,bulgaria,2,0.3282708172770409
Q2,singapore,2,0.2990620953264092
Q2,slovakia,2,0.3441531821731044
Q2,uk,2,0.5049219360869728
Q2,spain,2,0.4520550612074514
Q2,portugal,3,0.1596132919641238
Q2,slovenia,3,0.2124790344605442
Q2,croatia,3,0.1621516900503061
Q2,sweden,3,0.1273123748496961
Q2,germany,3,0.2002761875624618
Q2,netherlands,3,0.192691342461959
Q2,australia,3,0.1271071927644817
Q2,italy,3,0.2197896879890082
Q2,denmark,3,0.1764672055659043
Q2,us,3,0.1245848243657721
Q3,austria,0,0.0577117530912786
Q3,cyprus,0,0.0630339953475145
Q3,slovenia,0,0.0722608232046716
Q3,canada,0,0.0823686049412768
Q3,latvia,0,0.0650281726759611
Q3,taiwan,0,0.0784530204226972
Q3,singapore,0,0.0682065111613768
Q3,belgium,0,0.071239877170919
Q3,italy,0,0.063773115329563
Q3,uk,0,0.0656574305174534
