Country,Quarter,beta,gamma
australia,Q0,0.02230260245480155,0.022298938922763852
australia,Q1,0.592162927503607,0.5918348768669379
australia,Q2,0.07884842687942498,0.07876778049039508
australia,Q3,0.0577117530912786,0.05765138768009119
australia,Q4,0.11494658019691864,0.11481938286161088
australia,Q5,1.196979297272645,1.1952198707032489
australia,Q6,0.09853088689049319,0.09797257382022237
australia,Q7,0.2906384250881351,0.2705774749031222
australia,Q8,0.10102398805695557,0.07984336337321819
australia,Q9,0.1516073495554521,0.10088172939754082
australia,Q10,0.16093851636433096,0.09864268368406166
australia,Q11,0.08922725129197778,0.05195111384838657
australia,Q12,0.20740334043333764,0.11802310617678208
australia,Q13,0.10224837229142757,0.05709880468197334
australia,Q14,0.2158229335714911,0.11994357765385977
austria,Q0,0.029720052201810655,0.029692915880118607
austria,Q1,0.1614665955801615,0.16114359077171325
austria,Q2,0.3387166468847577,0.3340416570132498
austria,Q3,0.06303399534751453,0.0603034153595154
austria,Q4,0.0458977068295272,0.04298138821551646
austria,Q5,0.1288218540603699,0.11944814820016524
austria,Q6,0.20380531604045649,0.18415161169416205
austria,Q7,0.6987915433930036,0.5525185462559594
austria,Q8,0.06660468271286844,0.03680987294636211
austria,Q9,0.18898049294955746,0.09025844559291547
austria,Q10,0.1915191954414768,0.07726019729260716
austria,Q11,0.24343472664404264,0.08602376831664992
austria,Q12,0.11582919747185275,0.037474988352090094
austria,Q13,-1.0326760460993961e-07,-3.6523462169017534e-08
austria,Q14,-5.5491424000149554e-08,-2.8314642846468066e-08
belgium,Q0,0.04369541057917142,0.0435979649431194
belgium,Q1,0.05998454165757973,0.05965165290251771
belgium,Q2,0.11446981886108928,0.1121961987366436
belgium,Q3,0.03228936146697318,0.030484973803407037
belgium,Q4,0.03155661198639511,0.0291453771942482
belgium,Q5,0.06860076554901794,0.062143339469312976
belgium,Q6,0.07640998696295337,0.06791627730176378
belgium,Q7,0.06951639065595382,0.05523043429447497
belgium,Q8,0.03703451430478794,0.024821201432897202
belgium,Q9,0.058120771908424414,0.03671414027472067
belgium,Q10,0.04410185153757804,0.026864911678262132
belgium,Q11,0.03423822885098593,0.02051136591400797
belgium,Q12,0.03309544979275665,0.019560177259469295
belgium,Q13,0.04597622615936453,0.027037137536655112
belgium,Q14,0.0448765036291787,0.026328605636046273
bulgaria,Q0,0.06015036263895041,0.06014399873359347
bulgaria,Q1,0.06465344423525902,0.06457913612882188
bulgaria,Q2,0.15961329196412388,0.1586819079819422
bulgaria,Q3,0.022327161694163287,0.021717412886081536
bulgaria,Q4,0.028596597398011802,0.027135097874455623
bulgaria,Q5,0.03494680636482532,0.03277757931833638
bulgaria,Q6,0.05019193315154373,0.04627723295841363
bulgaria,Q7,0.03854747872381468,0.03423229268677402
bulgaria,Q8,0.012677382962341558,0.01075404756301448
bulgaria,Q9,0.036943149818646624,0.030507991931461427
bulgaria,Q10,0.061756394739536744,0.050207936402622076
bulgaria,Q11,0.03341046279336983,0.027045871710238395
bulgaria,Q12,0.06273108474322169,0.05068740136937027
bulgaria,Q13,0.02398406003881227,0.019356538177613233
