Entity,Code,Day,containment_index
Australia,AUS,2020-02-10,22.02
Australia,AUS,2020-02-11,22.02
Australia,AUS,2020-02-12,22.02
Australia,AUS,2020-02-13,22.02
Australia,AUS,2020-02-14,22.02
Australia,AUS,2020-02-15,22.02
Australia,AUS,2020-02-16,22.02
Australia,AUS,2020-02-17,22.02
Australia,AUS,2020-02-18,22.02
Australia,AUS,2020-02-19,22.02
Australia,AUS,2020-02-20,22.02
Australia,AUS,2020-02-21,22.02
Australia,AUS,2020-02-22,22.02
Australia,AUS,2020-02-23,22.02
Australia,AUS,2020-02-24,22.02
Australia,AUS,2020-02-25,22.02
Australia,AUS,2020-02-26,22.02
Australia,AUS,2020-02-27,22.02
Australia,AUS,2020-02-28,22.02
Australia,AUS,2020-02-29,22.02
Australia,AUS,2020-03-01,22.02
Australia,AUS,2020-03-02,22.02
Australia,AUS,2020-03-03,22.02
Australia,AUS,2020-03-04,22.02
Australia,AUS,2020-03-05,22.02
Australia,AUS,2020-03-06,22.02
Australia,AUS,2020-03-07,22.02
Australia,AUS,2020-03-08,22.02
Australia,AUS,2020-03-09,22.02
Australia,AUS,2020-03-10,22.02
Australia,AUS,2020-03-11,22.02
Australia,AUS,2020-03-12,22.02
Australia,AUS,2020-03-13,22.02
Australia,AUS,2020-03-14,22.02
Australia,AUS,2020-03-15,22.02
Australia,AUS,2020-03-16,29.17
Australia,AUS,2020-03-17,29.17
Australia,AUS,2020-03-18,37.5
Australia,AUS,2020-03-19,42.86
Australia,AUS,2020-03-20,44.64
Australia,AUS,2020-03-21,44.64
Australia,AUS,2020-03-22,44.64
Australia,AUS,2020-03-23,48.21
Australia,AUS,2020-03-24,60.12
Australia,AUS,2020-03-25,60.12
Australia,AUS,2020-03-26,60.12
Australia,AUS,2020-03-27,60.12
Australia,AUS,2020-03-28,60.12
Australia,AUS,2020-03-29,60.12
Australia,AUS,2020-03-30,60.12
Australia,AUS,2020-03-31,60.12
Australia,AUS,2020-04-01,60.12
Australia,AUS,2020-04-02,60.12
Australia,AUS,2020-04-03,60.12
Australia,AUS,2020-04-04,60.12
Australia,AUS,2020-04-05,60.12
Australia,AUS,2020-04-06,60.12
Australia,AUS,2020-04-07,60.12
Australia,AUS,2020-04-08,60.12
Australia,AUS,2020-04-09,60.12
Australia,AUS,2020-04-10,60.12
Australia,AUS,2020-04-11,60.12
Australia,AUS,2020-04-12,60.12
Australia,AUS,2020-04-13,60.12
Australia,AUS,2020-04-14,60.12
Australia,AUS,2020-04-15,57.74
Australia,AUS,2020-04-16,57.74
Australia,AUS,2020-04-17,57.74
Australia,AUS,2020-04-18,57.74
Australia,AUS,2020-04-19,57.74
Australia,AUS,2020-04-20,57.74
Australia,AUS,2020-04-21,57.74
Australia,AUS,2020-04-22,57.74
Australia,AUS,2020-04-23,57.74
Australia,AUS,2020-04-24,57.74
Australia,AUS,2020-04-25,57.74
Australia,AUS,2020-04-26,57.74
Australia,AUS,2020-04-27,62.5
Australia,AUS,2020-04-28,62.5
Australia,AUS,2020-04-29,62.5
Australia,AUS,2020-04-30,62.5
Australia,AUS,2020-05-01,62.5
Australia,AUS,2020-05-02,62.5
Australia,AUS,2020-05-03,62.5
Australia,AUS,2020-05-04,62.5
Australia,AUS,2020-05-05,62.5
Australia,AUS,2020-05-06,62.5
Australia,AUS,2020-05-07,62.5
Australia,AUS,2020-05-08,62.5
Australia,AUS,2020-05-09,62.5
Australia,AUS,2020-05-10,62.5
Australia,AUS,2020-05-11,62.5
Australia,AUS,2020-05-12,62.5
Australia,AUS,2020-05-13,62.5
Australia,AUS,2020-05-14,62.5
Australia,AUS,2020-05-15,58.93
Australia,AUS,2020-05-16,58.04
Australia,AUS,2020-05-17,58.04
Australia,AUS,2020-05-18,59.82
Australia,AUS,2020-05-19,59.82
Australia,AUS,2020-05-20,59.82
Australia,AUS,2020-05-21,59.82
Australia,AUS,2020-05-22,59.82
Australia,AUS,2020-05-23,59.82
