Entity,Code,Day,Total confirmed deaths due to COVID-19,Total confirmed cases of COVID-19
Australia,AUS,2020-03-02,1.0,29.0
Australia,AUS,2020-03-03,1.0,29.0
Australia,AUS,2020-03-04,2.0,33.0
Australia,AUS,2020-03-05,2.0,43.0
Australia,AUS,2020-03-06,2.0,57.0
Australia,AUS,2020-03-07,3.0,63.0
Australia,AUS,2020-03-08,4.0,70.0
Australia,AUS,2020-03-09,4.0,77.0
Australia,AUS,2020-03-10,4.0,92.0
Australia,AUS,2020-03-11,4.0,100.0
Australia,AUS,2020-03-12,4.0,122.0
Australia,AUS,2020-03-13,4.0,140.0
Australia,AUS,2020-03-14,6.0,197.0
Australia,AUS,2020-03-15,7.0,249.0
Australia,AUS,2020-03-16,7.0,298.0
Australia,AUS,2020-03-17,7.0,336.0
Australia,AUS,2020-03-18,8.0,414.0
Australia,AUS,2020-03-19,8.0,565.0
Australia,AUS,2020-03-20,9.0,691.0
Australia,AUS,2020-03-21,9.0,873.0
Australia,AUS,2020-03-22,9.0,1081.0
Australia,AUS,2020-03-23,9.0,1396.0
Australia,AUS,2020-03-24,9.0,1709.0
Australia,AUS,2020-03-25,10.0,2252.0
Australia,AUS,2020-03-26,11.0,2423.0
Australia,AUS,2020-03-27,15.0,2985.0
Australia,AUS,2020-03-28,16.0,3378.0
Australia,AUS,2020-03-29,16.0,3809.0
Australia,AUS,2020-03-30,19.0,4093.0
Australia,AUS,2020-03-31,21.0,4359.0
Australia,AUS,2020-04-01,22.0,4707.0
Australia,AUS,2020-04-02,24.0,4976.0
Australia,AUS,2020-04-03,28.0,5224.0
Australia,AUS,2020-04-04,33.0,5454.0
Australia,AUS,2020-04-05,36.0,5635.0
Australia,AUS,2020-04-06,41.0,5744.0
Australia,AUS,2020-04-07,49.0,5844.0
Australia,AUS,2020-04-08,51.0,5956.0
Australia,AUS,2020-04-09,53.0,6052.0
Australia,AUS,2020-04-10,55.0,6152.0
Australia,AUS,2020-04-11,58.0,6238.0
Australia,AUS,2020-04-12,61.0,6289.0
Australia,AUS,2020-04-13,63.0,6322.0
Australia,AUS,2020-04-14,63.0,6366.0
Australia,AUS,2020-04-15,64.0,6416.0
Australia,AUS,2020-04-16,66.0,6458.0
Australia,AUS,2020-04-17,67.0,6468.0
Australia,AUS,2020-04-18,72.0,6533.0
Australia,AUS,2020-04-19,73.0,6586.0
Australia,AUS,2020-04-20,74.0,6612.0
Australia,AUS,2020-04-21,75.0,6625.0
Australia,AUS,2020-04-22,77.0,6647.0
Australia,AUS,2020-04-23,78.0,6654.0
Australia,AUS,2020-04-24,80.0,6667.0
Australia,AUS,2020-04-25,83.0,6687.0
Australia,AUS,2020-04-26,85.0,6703.0
Australia,AUS,2020-04-27,86.0,6713.0
Australia,AUS,2020-04-28,89.0,6725.0
Australia,AUS,2020-04-29,94.0,6738.0
Australia,AUS,2020-04-30,95.0,6746.0
Australia,AUS,2020-05-01,98.0,6762.0
Australia,AUS,2020-05-02,98.0,6767.0
Australia,AUS,2020-05-03,99.0,6783.0
Australia,AUS,2020-05-04,99.0,6801.0
Australia,AUS,2020-05-05,100.0,6825.0
Australia,AUS,2020-05-06,101.0,6849.0
Australia,AUS,2020-05-07,101.0,6875.0
Australia,AUS,2020-05-08,101.0,6896.0
Australia,AUS,2020-05-09,101.0,6914.0
Australia,AUS,2020-05-10,101.0,6929.0
Australia,AUS,2020-05-11,101.0,6941.0
Australia,AUS,2020-05-12,102.0,6948.0
Australia,AUS,2020-05-13,103.0,6964.0
Australia,AUS,2020-05-14,103.0,6975.0
Australia,AUS,2020-05-15,103.0,6989.0
Australia,AUS,2020-05-16,103.0,7019.0
Australia,AUS,2020-05-17,103.0,7036.0
Australia,AUS,2020-05-18,104.0,7045.0
Australia,AUS,2020-05-19,104.0,7060.0
Australia,AUS,2020-05-20,105.0,7068.0
Australia,AUS,2020-05-21,105.0,7079.0
Australia,AUS,2020-05-22,106.0,7081.0
Australia,AUS,2020-05-23,107.0,7095.0
Australia,AUS,2020-05-24,107.0,7106.0
Australia,AUS,2020-05-25,107.0,7109.0
Australia,AUS,2020-05-26,107.0,7118.0
Australia,AUS,2020-05-27,107.0,7133.0
Australia,AUS,2020-05-28,107.0,7139.0
Australia,AUS,2020-05-29,107.0,7150.0
Australia,AUS,2020-05-30,107.0,7173.0
Australia,AUS,2020-05-31,107.0,7185.0
Australia,AUS,2020-06-01,107.0,7195.0
Australia,AUS,2020-06-02,107.0,7204.0
Australia,AUS,2020-06-03,107.0,7221.0
Australia,AUS,2020-06-04,107.0,7229.0
Australia,AUS,2020-06-05,107.0,7240.0
Australia,AUS,2020-06-06,107.0,7251.0
Australia,AUS,2020-06-07,107.0,7255.0
Australia,AUS,2020-06-08,107.0,7260.0
Australia,AUS,2020-06-09,107.0,7265.0
Australia,AUS,2020-06-10,107.0,7267.0
Australia,AUS,2020-06-11,107.0,7267.0
Australia,AUS,2020-06-12,107.0,7285.0
Australia,AUS,2020-06-13,107.0,7290.0
Australia,AUS,2020-06-14,107.0,7302.0
Australia,AUS,2020-06-15,107.0,7320.0
Australia,AUS,2020-06-16,107.0,7335.0
Australia,AUS,2020-06-17,107.0,7347.0
Australia,AUS,2020-06-18,107.0,7370.0
Australia,AUS,2020-06-19,107.0,7391.0
Australia,AUS,2020-06-20,107.0,7409.0
Australia,AUS,2020-06-21,107.0,7436.0
Australia,AUS,2020-06-22,107.0,7461.0
