Entity,Code,Day,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Australia,AUS,2020-08-06,1024.87,1024.93,1651.0,3306.18339385433,551.714
Australia,AUS,2020-08-07,1010.98,956.58,1581.0,3093.92515402577,508.429
Australia,AUS,2020-08-08,997.29,902.31,1513.0,2966.63405225936,481.0
Australia,AUS,2020-08-09,983.79,860.43,1449.0,3044.624768799,488.0
Australia,AUS,2020-08-10,970.49,828.61,1386.0,2844.32127286051,451.571
Australia,AUS,2020-08-11,957.38,799.34,1327.0,2791.51450214004,439.857
Australia,AUS,2020-08-12,944.46,768.52,1270.0,,426.286
Australia,AUS,2020-08-13,931.72,735.83,1215.0,,383.286
Australia,AUS,2020-08-14,919.16,699.13,1163.0,,356.571
Australia,AUS,2020-08-15,906.78,661.71,1113.0,,353.0
Australia,AUS,2020-08-16,894.58,624.37,1066.0,,333.857
Australia,AUS,2020-08-17,882.55,587.6,1020.0,,314.857
Australia,AUS,2020-08-18,870.69,556.6,977.0,,308.857
Australia,AUS,2020-08-19,859.01,529.75,935.0,,294.286
Australia,AUS,2020-08-20,847.49,506.04,895.0,,266.571
Australia,AUS,2020-08-21,836.13,487.16,857.0,,268.286
Australia,AUS,2020-08-22,824.94,468.47,821.0,,237.714
Australia,AUS,2020-08-23,813.9,449.93,786.0,,223.857
Australia,AUS,2020-08-24,803.02,432.33,753.0,,217.714
Australia,AUS,2020-08-25,792.3,410.38,722.0,,193.857
Australia,AUS,2020-08-26,781.73,387.56,693.0,,182.857
Australia,AUS,2020-08-27,771.31,367.74,664.0,,173.143
Australia,AUS,2020-08-28,761.04,348.17,637.0,,155.143
Australia,AUS,2020-08-29,750.91,332.62,611.0,,148.714
Australia,AUS,2020-08-30,740.93,323.58,587.0,,135.0
Australia,AUS,2020-08-31,731.1,316.57,563.0,,122.571
Australia,AUS,2020-09-01,721.4,309.72,541.0,,118.571
Australia,AUS,2020-09-02,711.84,301.01,519.0,,109.429
Australia,AUS,2020-09-03,702.41,287.81,499.0,,102.571
Australia,AUS,2020-09-04,693.12,271.29,480.0,,103.857
Australia,AUS,2020-09-05,683.96,251.72,461.0,,98.286
Australia,AUS,2020-09-06,674.93,228.77,443.0,,94.286
Australia,AUS,2020-09-07,666.03,204.4,426.0,,87.0
Australia,AUS,2020-09-08,657.26,180.49,410.0,,82.286
Australia,AUS,2020-09-09,648.61,158.09,395.0,,79.286
Australia,AUS,2020-09-10,640.08,139.02,380.0,,77.429
Australia,AUS,2020-09-11,631.67,125.66,366.0,,66.286
Australia,AUS,2020-09-12,623.38,118.06,353.0,,61.286
Australia,AUS,2020-09-13,615.21,114.3,340.0,,57.143
Australia,AUS,2020-09-14,607.16,114.25,327.0,,53.143
Australia,AUS,2020-09-15,599.22,116.88,316.0,,52.857
Australia,AUS,2020-09-16,591.39,119.34,305.0,,52.0
Australia,AUS,2020-09-17,583.67,120.48,294.0,,44.857
Australia,AUS,2020-09-18,576.06,119.1,284.0,,42.857
Australia,AUS,2020-09-19,568.56,115.11,274.0,,42.286
Australia,AUS,2020-09-20,561.16,109.84,265.0,,39.714
Australia,AUS,2020-09-21,553.87,102.28,256.0,,35.286
Australia,AUS,2020-09-22,546.68,93.65,247.0,,31.429
Australia,AUS,2020-09-23,539.59,86.81,239.0,,29.143
Australia,AUS,2020-09-24,532.6,81.59,231.0,,27.714
Australia,AUS,2020-09-25,525.71,78.64,224.0,,24.286
Australia,AUS,2020-09-26,518.91,78.44,217.0,,19.857
Australia,AUS,2020-09-27,512.22,79.53,210.0,,18.714
Australia,AUS,2020-09-28,505.61,81.89,203.0,,20.286
Australia,AUS,2020-09-29,499.1,84.86,197.0,,18.857
Australia,AUS,2020-09-30,492.68,86.96,191.0,,17.286
Australia,AUS,2020-10-01,486.35,88.08,186.0,,15.0
Australia,AUS,2020-10-02,480.1,87.52,180.0,,16.143
Australia,AUS,2020-10-03,473.94,84.73,175.0,,16.143
Australia,AUS,2020-10-04,467.87,80.74,170.0,,15.0
Australia,AUS,2020-10-05,461.89,75.84,,,13.714
Australia,AUS,2020-10-06,455.99,70.58,,,15.0
Australia,AUS,2020-10-07,450.17,66.41,,,15.857
Australia,AUS,2020-10-08,444.43,63.54,,,14.857
Australia,AUS,2020-10-09,438.77,61.95,,,15.714
Australia,AUS,2020-10-10,433.19,61.62,,,16.571
Australia,AUS,2020-10-11,427.69,61.76,,,17.571
Australia,AUS,2020-10-12,422.26,61.87,,,18.286
Australia,AUS,2020-10-13,416.91,61.89,,,19.571
Australia,AUS,2020-10-14,411.63,61.76,,,20.429
Australia,AUS,2020-10-15,406.43,61.49,,,22.714
Australia,AUS,2020-10-16,401.29,61.06,,,22.286
Australia,AUS,2020-10-17,396.23,60.57,,,20.286
Australia,AUS,2020-10-18,391.24,60.16,,,19.857
Australia,AUS,2020-10-19,386.32,59.78,,,18.0
Australia,AUS,2020-10-20,381.46,59.43,,,16.143
Australia,AUS,2020-10-21,376.67,59.18,,,16.143
Australia,AUS,2020-10-22,371.95,59.02,,,14.714
Australia,AUS,2020-10-23,402.01,58.88,,,14.857
Australia,AUS,2020-10-24,469.95,58.81,,,16.143
Australia,AUS,2020-10-25,551.92,58.85,,,16.571
Australia,AUS,2020-10-26,642.27,58.88,,,18.571
Australia,AUS,2020-10-27,742.64,58.91,,,18.286
Australia,AUS,2020-10-28,856.78,59.16,,,15.857
Australia,AUS,2020-10-29,988.74,59.7,,,15.714
Australia,AUS,2020-10-30,1142.6,60.57,,,14.714
Australia,AUS,2020-10-31,1322.7,62.23,,,14.0
Australia,AUS,2020-11-01,1533.92,64.53,,,13.0
Australia,AUS,2020-11-02,1781.99,66.66,,,10.714
Australia,AUS,2020-11-03,2073.7,68.39,,,10.714
Australia,AUS,2020-11-04,2417.14,69.36,,,9.857
Australia,AUS,2020-11-05,2821.97,69.26,,,9.714
Australia,AUS,2020-11-06,3071.86,68.45,,,9.143
Australia,AUS,2020-11-07,3113.05,66.8,,,9.0
Australia,AUS,2020-11-08,3091.95,64.49,,,8.857
Australia,AUS,2020-11-09,3066.5,62.41,,,9.0
Australia,AUS,2020-11-10,3053.28,60.73,,,9.429
Australia,AUS,2020-11-11,3052.84,59.56,,,9.714
Australia,AUS,2020-11-12,3061.39,59.14,,,9.143
Australia,AUS,2020-11-13,3075.18,59.16,,,9.286
Australia,AUS,2020-11-14,3091.67,59.29,,,8.286
Australia,AUS,2020-11-15,3109.43,59.4,,,8.429
Australia,AUS,2020-11-16,3127.78,59.43,,,9.571
Australia,AUS,2020-11-17,3146.45,59.38,,,11.714
Australia,AUS,2020-11-18,3165.35,59.25,,,11.143
Australia,AUS,2020-11-19,3184.48,59.06,,,13.0
Australia,AUS,2020-11-20,3173.86,58.85,,,12.286
Australia,AUS,2020-11-21,3131.5,58.65,,,12.286
Australia,AUS,2020-11-22,3080.68,58.49,,,13.714
Australia,AUS,2020-11-23,3030.32,58.37,,,13.714
Australia,AUS,2020-11-24,2982.82,58.38,,,12.143
Australia,AUS,2020-11-25,2938.11,58.72,,,13.143
Australia,AUS,2020-11-26,2895.48,59.46,,,11.0
Australia,AUS,2020-11-27,2854.28,60.43,,,11.857
Australia,AUS,2020-11-28,2814.05,61.81,,,12.143
Australia,AUS,2020-11-29,2774.53,63.5,,,11.143
Australia,AUS,2020-11-30,2735.61,64.91,,,10.286
Australia,AUS,2020-12-01,2697.21,66.01,,,9.857
Australia,AUS,2020-12-02,2659.33,66.96,,,9.143
Australia,AUS,2020-12-03,2621.95,68.04,,,9.857
Australia,AUS,2020-12-04,2607.49,69.73,,,10.286
Australia,AUS,2020-12-05,2617.01,71.67,,,10.714
Australia,AUS,2020-12-06,2632.76,73.38,,,10.143
Australia,AUS,2020-12-07,2648.14,75.08,,,10.286
Australia,AUS,2020-12-08,2661.58,76.5,,,9.714
Australia,AUS,2020-12-09,2673.28,77.24,,,10.714
Australia,AUS,2020-12-10,2683.86,77.18,,,10.0
Australia,AUS,2020-12-11,2693.84,76.16,,,8.714
Australia,AUS,2020-12-12,2703.57,74.35,,,9.0
Australia,AUS,2020-12-13,2713.22,72.32,,,9.857
Australia,AUS,2020-12-14,2722.88,70.8,,,9.429
Australia,AUS,2020-12-15,2732.57,70.05,,,9.571
Australia,AUS,2020-12-16,2742.31,70.0,,,8.571
Australia,AUS,2020-12-17,2752.08,70.51,,,9.429
Australia,AUS,2020-12-18,2738.74,71.22,,,10.286
Australia,AUS,2020-12-19,2700.68,71.74,,,11.714
Australia,AUS,2020-12-20,2656.06,72.05,,,14.714
Australia,AUS,2020-12-21,2611.89,71.93,,,20.0
Australia,AUS,2020-12-22,2570.05,71.17,,,22.714
Australia,AUS,2020-12-23,2530.49,70.01,,,24.571
Australia,AUS,2020-12-24,2492.66,68.49,,,25.571
Australia,AUS,2020-12-25,2456.05,66.78,,,27.143
Australia,AUS,2020-12-26,2420.29,65.38,,,24.0
Australia,AUS,2020-12-27,2385.19,64.36,,,24.0
Australia,AUS,2020-12-28,2350.64,63.57,,,20.143
Australia,AUS,2020-12-29,2316.59,63.08,,,19.857
Australia,AUS,2020-12-30,2283.02,62.79,,,18.714
Australia,AUS,2020-12-31,2249.94,62.54,,,20.429
Australia,AUS,2021-01-01,2237.79,62.28,,,23.571
Australia,AUS,2021-01-02,2247.44,61.96,,,28.571
Australia,AUS,2021-01-03,2262.74,61.53,,,26.714
Australia,AUS,2021-01-04,2277.71,61.05,,,27.429
Australia,AUS,2021-01-05,2290.9,60.61,,,26.0
Australia,AUS,2021-01-06,2302.49,60.2,,,26.571
Australia,AUS,2021-01-07,2313.06,59.87,,,23.714
Australia,AUS,2021-01-08,2323.09,59.66,,,20.571
Australia,AUS,2021-01-09,2332.87,59.52,,,17.143
Australia,AUS,2021-01-10,2342.57,59.43,,,16.0
Australia,AUS,2021-01-11,2352.27,59.39,,,15.714
Australia,AUS,2021-01-12,2362.0,59.4,,,16.429
Australia,AUS,2021-01-13,2371.77,59.41,,,16.286
