Entity,Code,Day,p_proj_all_ages
Australia,AUS,2020-02-16,3.99
Australia,AUS,2020-02-23,2.9
Australia,AUS,2020-03-01,4.82
Australia,AUS,2020-03-08,0.32
Australia,AUS,2020-03-15,1.77
Australia,AUS,2020-03-22,4.58
Australia,AUS,2020-03-29,5.59
Australia,AUS,2020-04-05,7.46
Australia,AUS,2020-04-12,3.33
Australia,AUS,2020-04-19,1.34
Australia,AUS,2020-04-26,0.34
Australia,AUS,2020-05-03,-1.2
Australia,AUS,2020-05-10,-0.83
Australia,AUS,2020-05-17,-1.14
Australia,AUS,2020-05-24,-1.47
Australia,AUS,2020-05-31,-3.08
Australia,AUS,2020-06-07,-7.05
Australia,AUS,2020-06-14,-5.13
Australia,AUS,2020-06-21,-7.89
Australia,AUS,2020-06-28,-9.52
Australia,AUS,2020-07-05,-6.93
Australia,AUS,2020-07-12,-7.06
Australia,AUS,2020-07-19,-9.13
Australia,AUS,2020-07-26,-6.05
Australia,AUS,2020-08-02,-4.27
Australia,AUS,2020-08-09,-3.57
Australia,AUS,2020-08-16,-2.64
Australia,AUS,2020-08-23,-7.91
Australia,AUS,2020-08-30,-8.89
Australia,AUS,2020-09-06,-6.99
Australia,AUS,2020-09-13,-6.19
Australia,AUS,2020-09-20,-8.88
Australia,AUS,2020-09-27,-4.14
Australia,AUS,2020-10-04,-3.03
Australia,AUS,2020-10-11,-6.0
Australia,AUS,2020-10-18,-5.62
Australia,AUS,2020-10-25,-4.9
Australia,AUS,2020-11-01,-2.32
Australia,AUS,2020-11-08,-0.84
Australia,AUS,2020-11-15,4.0
Australia,AUS,2020-11-22,0.04
Australia,AUS,2020-11-29,-1.61
Australia,AUS,2020-12-06,4.58
Australia,AUS,2020-12-13,-1.05
Australia,AUS,2020-12-20,1.69
Australia,AUS,2020-12-27,4.39
Australia,AUS,2021-01-03,1.67
Australia,AUS,2021-01-10,1.03
Australia,AUS,2021-01-17,-1.4
Australia,AUS,2021-01-24,6.29
Australia,AUS,2021-01-31,-0.26
Australia,AUS,2021-02-07,4.99
Australia,AUS,2021-02-14,0.11
Australia,AUS,2021-02-21,-0.31
Australia,AUS,2021-02-28,1.53
Australia,AUS,2021-03-07,3.08
Australia,AUS,2021-03-14,3.36
Australia,AUS,2021-03-21,4.42
Australia,AUS,2021-03-28,1.61
Australia,AUS,2021-04-04,2.93
Australia,AUS,2021-04-11,-2.28
Australia,AUS,2021-04-18,5.96
Australia,AUS,2021-04-25,5.52
Australia,AUS,2021-05-02,6.82
Australia,AUS,2021-05-09,8.56
Australia,AUS,2021-05-16,4.51
Australia,AUS,2021-05-23,4.43
Australia,AUS,2021-05-30,6.56
Australia,AUS,2021-06-06,1.89
Australia,AUS,2021-06-13,5.26
Australia,AUS,2021-06-20,4.83
Australia,AUS,2021-06-27,2.84
Australia,AUS,2021-07-04,1.58
Australia,AUS,2021-07-11,1.5
Australia,AUS,2021-07-18,3.34
Australia,AUS,2021-07-25,1.6
Australia,AUS,2021-08-01,2.47
Australia,AUS,2021-08-08,-1.92
Australia,AUS,2021-08-15,-3.58
Australia,AUS,2021-08-22,-2.99
Australia,AUS,2021-08-29,-5.93
Australia,AUS,2021-09-05,-4.17
Australia,AUS,2021-09-12,-4.62
Australia,AUS,2021-09-19,-0.12
Australia,AUS,2021-09-26,-2.28
Australia,AUS,2021-10-03,6.13
Australia,AUS,2021-10-10,2.09
Australia,AUS,2021-10-17,2.22
Australia,AUS,2021-10-24,4.01
Australia,AUS,2021-10-31,4.99
Australia,AUS,2021-11-07,4.7
Australia,AUS,2021-11-14,2.07
Australia,AUS,2021-11-21,8.62
Australia,AUS,2021-11-28,5.24
