Entity,Code,Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Australia,AUS,2020-02-10,44.81,37.8,50.97,0.429
Australia,AUS,2020-02-11,45.65,37.71,55.62,0.429
Australia,AUS,2020-02-12,48.57,38.05,61.27,0.286
Australia,AUS,2020-02-13,51.32,38.76,62.09,0.143
Australia,AUS,2020-02-14,57.84,40.35,88.74,0.0
Australia,AUS,2020-02-15,80.18,46.93,176.34,0.0
Australia,AUS,2020-02-16,122.62,51.17,291.44,0.0
Australia,AUS,2020-02-17,181.44,51.58,395.08,0.0
Australia,AUS,2020-02-18,253.07,74.29,482.8,0.0
Australia,AUS,2020-02-19,330.04,135.6,555.68,0.0
Australia,AUS,2020-02-20,402.5,211.83,615.1,0.0
Australia,AUS,2020-02-21,463.23,281.65,650.81,0.0
Australia,AUS,2020-02-22,504.08,346.02,645.71,0.857
Australia,AUS,2020-02-23,522.02,395.62,636.68,1.0
Australia,AUS,2020-02-24,521.77,424.07,628.15,1.0
Australia,AUS,2020-02-25,507.3,408.37,632.96,1.0
Australia,AUS,2020-02-26,485.56,391.95,619.69,1.143
Australia,AUS,2020-02-27,464.17,375.74,591.33,1.143
Australia,AUS,2020-02-28,444.36,359.6,563.21,1.143
Australia,AUS,2020-02-29,426.74,346.59,539.95,0.571
Australia,AUS,2020-03-01,410.95,336.56,521.85,0.429
Australia,AUS,2020-03-02,395.73,323.91,501.06,1.0
Australia,AUS,2020-03-03,382.41,313.81,479.69,1.0
Australia,AUS,2020-03-04,371.35,303.6,462.73,1.429
Australia,AUS,2020-03-05,363.15,297.74,449.18,2.857
Australia,AUS,2020-03-06,359.3,296.88,444.27,4.857
Australia,AUS,2020-03-07,359.28,295.18,446.67,5.429
Australia,AUS,2020-03-08,362.13,292.17,448.81,6.429
Australia,AUS,2020-03-09,366.62,294.2,440.11,6.857
Australia,AUS,2020-03-10,371.11,296.03,437.45,9.0
Australia,AUS,2020-03-11,373.15,299.48,444.61,9.571
Australia,AUS,2020-03-12,373.39,307.51,435.17,11.286
Australia,AUS,2020-03-13,377.28,306.02,447.56,11.857
Australia,AUS,2020-03-14,381.48,311.28,465.6,19.143
Australia,AUS,2020-03-15,381.87,301.72,475.51,25.571
Australia,AUS,2020-03-16,386.41,301.32,469.81,31.571
Australia,AUS,2020-03-17,394.84,316.95,484.99,34.857
Australia,AUS,2020-03-18,402.19,317.4,498.69,44.857
Australia,AUS,2020-03-19,410.48,324.73,515.7,63.286
Australia,AUS,2020-03-20,413.07,329.73,510.46,78.714
Australia,AUS,2020-03-21,406.77,317.49,511.75,96.571
Australia,AUS,2020-03-22,399.15,321.77,512.78,118.857
Australia,AUS,2020-03-23,387.56,302.7,506.66,156.857
Australia,AUS,2020-03-24,370.4,280.19,470.83,196.143
Australia,AUS,2020-03-25,355.15,264.27,467.03,262.571
Australia,AUS,2020-03-26,339.7,254.54,456.83,265.429
Australia,AUS,2020-03-27,321.82,246.63,419.99,327.714
Australia,AUS,2020-03-28,307.63,240.0,394.87,357.857
Australia,AUS,2020-03-29,295.14,236.47,377.16,389.714
Australia,AUS,2020-03-30,281.24,224.26,353.19,385.286
Australia,AUS,2020-03-31,268.84,198.39,329.56,378.571
Australia,AUS,2020-04-01,255.62,181.22,317.69,350.714
Australia,AUS,2020-04-02,240.29,176.5,306.58,364.714
Australia,AUS,2020-04-03,225.78,168.43,309.37,319.857
Australia,AUS,2020-04-04,211.51,151.08,291.76,296.571
Australia,AUS,2020-04-05,196.81,134.88,261.93,260.857
Australia,AUS,2020-04-06,181.08,119.31,242.28,235.857
Australia,AUS,2020-04-07,163.28,106.88,233.02,212.143
Australia,AUS,2020-04-08,144.75,94.31,223.12,178.429
Australia,AUS,2020-04-09,126.9,83.52,204.63,153.714
Australia,AUS,2020-04-10,111.51,76.11,172.74,132.571
Australia,AUS,2020-04-11,99.38,71.78,143.31,112.0
Australia,AUS,2020-04-12,89.71,66.92,125.24,93.429
Australia,AUS,2020-04-13,82.69,64.49,113.55,82.571
Australia,AUS,2020-04-14,78.14,63.9,104.33,74.571
Australia,AUS,2020-04-15,75.35,63.94,92.39,65.714
Australia,AUS,2020-04-16,74.13,64.3,85.9,58.0
Australia,AUS,2020-04-17,74.2,64.01,85.44,45.143
Australia,AUS,2020-04-18,75.73,63.74,88.4,42.143
Australia,AUS,2020-04-19,79.08,65.33,94.0,42.429
Australia,AUS,2020-04-20,83.66,67.97,101.96,41.429
Australia,AUS,2020-04-21,88.88,72.2,108.39,37.0
Australia,AUS,2020-04-22,94.11,78.74,112.19,33.0
Australia,AUS,2020-04-23,98.18,83.13,116.5,28.0
Australia,AUS,2020-04-24,100.21,84.64,119.91,28.429
Australia,AUS,2020-04-25,99.59,82.34,118.81,22.0
Australia,AUS,2020-04-26,96.29,74.82,117.76,16.714
Australia,AUS,2020-04-27,91.02,67.87,117.76,14.429
Australia,AUS,2020-04-28,84.86,62.57,114.22,14.286
Australia,AUS,2020-04-29,79.08,59.44,105.37,13.0
Australia,AUS,2020-04-30,74.18,57.25,95.41,13.143
Australia,AUS,2020-05-01,70.08,55.1,88.71,13.571
Australia,AUS,2020-05-02,66.79,53.7,84.1,11.429
Australia,AUS,2020-05-03,64.08,52.43,79.72,11.429
Australia,AUS,2020-05-04,61.69,51.05,74.67,12.571
Australia,AUS,2020-05-05,59.66,49.07,70.94,14.286
Australia,AUS,2020-05-06,57.93,47.44,68.87,15.857
Australia,AUS,2020-05-07,56.55,46.98,66.81,18.429
Australia,AUS,2020-05-08,55.54,46.77,65.77,19.143
Australia,AUS,2020-05-09,54.83,46.66,64.87,21.0
Australia,AUS,2020-05-10,54.44,46.53,64.52,20.857
Australia,AUS,2020-05-11,54.35,46.58,64.46,20.0
Australia,AUS,2020-05-12,54.4,46.75,64.62,17.571
Australia,AUS,2020-05-13,54.34,46.15,64.97,16.429
Australia,AUS,2020-05-14,54.16,45.86,64.92,14.286
Australia,AUS,2020-05-15,54.13,46.18,64.48,13.286
Australia,AUS,2020-05-16,54.31,46.51,64.67,15.0
Australia,AUS,2020-05-17,54.73,46.71,65.47,15.286
Australia,AUS,2020-05-18,55.38,47.26,66.69,14.857
Australia,AUS,2020-05-19,55.85,47.95,67.83,16.0
Australia,AUS,2020-05-20,55.95,47.08,67.69,14.857
Australia,AUS,2020-05-21,55.76,46.37,67.03,14.857
Australia,AUS,2020-05-22,55.63,46.17,66.71,13.143
Australia,AUS,2020-05-23,55.97,47.11,67.53,10.857
Australia,AUS,2020-05-24,56.72,47.18,70.92,10.0
Australia,AUS,2020-05-25,57.96,47.6,73.73,9.143
Australia,AUS,2020-05-26,60.05,47.97,74.95,8.286
Australia,AUS,2020-05-27,62.32,50.65,79.28,9.286
Australia,AUS,2020-05-28,64.11,52.6,81.21,8.571
Australia,AUS,2020-05-29,65.39,55.6,81.63,9.857
Australia,AUS,2020-05-30,65.94,55.92,81.88,11.143
Australia,AUS,2020-05-31,65.81,53.0,82.06,11.286
Australia,AUS,2020-06-01,65.43,51.64,81.27,12.286
Australia,AUS,2020-06-02,64.9,51.06,79.34,12.286
Australia,AUS,2020-06-03,64.9,51.95,80.43,12.571
Australia,AUS,2020-06-04,66.28,53.6,83.21,12.857
Australia,AUS,2020-06-05,68.83,55.53,88.14,12.857
