Entity,Code,Day,stay_home_requirements
Australia,AUS,2020-02-10,0
Australia,AUS,2020-02-11,0
Australia,AUS,2020-02-12,0
Australia,AUS,2020-02-13,0
Australia,AUS,2020-02-14,0
Australia,AUS,2020-02-15,0
Australia,AUS,2020-02-16,0
Australia,AUS,2020-02-17,0
Australia,AUS,2020-02-18,0
Australia,AUS,2020-02-19,0
Australia,AUS,2020-02-20,0
Australia,AUS,2020-02-21,0
Australia,AUS,2020-02-22,0
Australia,AUS,2020-02-23,0
Australia,AUS,2020-02-24,0
Australia,AUS,2020-02-25,0
Australia,AUS,2020-02-26,0
Australia,AUS,2020-02-27,0
Australia,AUS,2020-02-28,0
Australia,AUS,2020-02-29,0
Australia,AUS,2020-03-01,0
Australia,AUS,2020-03-02,0
Australia,AUS,2020-03-03,0
Australia,AUS,2020-03-04,0
Australia,AUS,2020-03-05,0
Australia,AUS,2020-03-06,0
Australia,AUS,2020-03-07,0
Australia,AUS,2020-03-08,0
Australia,AUS,2020-03-09,0
Australia,AUS,2020-03-10,0
Australia,AUS,2020-03-11,0
Australia,AUS,2020-03-12,0
Australia,AUS,2020-03-13,0
Australia,AUS,2020-03-14,0
Australia,AUS,2020-03-15,0
Australia,AUS,2020-03-16,0
Australia,AUS,2020-03-17,0
Australia,AUS,2020-03-18,0
Australia,AUS,2020-03-19,0
Australia,AUS,2020-03-20,0
Australia,AUS,2020-03-21,0
Australia,AUS,2020-03-22,0
Australia,AUS,2020-03-23,0
Australia,AUS,2020-03-24,1
Australia,AUS,2020-03-25,1
Australia,AUS,2020-03-26,1
Australia,AUS,2020-03-27,1
Australia,AUS,2020-03-28,1
Australia,AUS,2020-03-29,1
Australia,AUS,2020-03-30,1
Australia,AUS,2020-03-31,1
Australia,AUS,2020-04-01,1
Australia,AUS,2020-04-02,2
Australia,AUS,2020-04-03,2
Australia,AUS,2020-04-04,2
Australia,AUS,2020-04-05,2
Australia,AUS,2020-04-06,2
Australia,AUS,2020-04-07,2
Australia,AUS,2020-04-08,2
Australia,AUS,2020-04-09,2
Australia,AUS,2020-04-10,2
Australia,AUS,2020-04-11,2
Australia,AUS,2020-04-12,2
Australia,AUS,2020-04-13,2
Australia,AUS,2020-04-14,2
Australia,AUS,2020-04-15,2
Australia,AUS,2020-04-16,2
Australia,AUS,2020-04-17,2
Australia,AUS,2020-04-18,2
Australia,AUS,2020-04-19,2
Australia,AUS,2020-04-20,2
Australia,AUS,2020-04-21,2
Australia,AUS,2020-04-22,2
Australia,AUS,2020-04-23,2
Australia,AUS,2020-04-24,2
Australia,AUS,2020-04-25,2
Australia,AUS,2020-04-26,2
Australia,AUS,2020-04-27,2
Australia,AUS,2020-04-28,2
Australia,AUS,2020-04-29,2
Australia,AUS,2020-04-30,2
Australia,AUS,2020-05-01,2
Australia,AUS,2020-05-02,2
Australia,AUS,2020-05-03,2
Australia,AUS,2020-05-04,2
Australia,AUS,2020-05-05,2
Australia,AUS,2020-05-06,2
Australia,AUS,2020-05-07,2
Australia,AUS,2020-05-08,2
Australia,AUS,2020-05-09,2
Australia,AUS,2020-05-10,2
Australia,AUS,2020-05-11,2
Australia,AUS,2020-05-12,2
Australia,AUS,2020-05-13,2
Australia,AUS,2020-05-14,2
Australia,AUS,2020-05-15,1
Australia,AUS,2020-05-16,1
Australia,AUS,2020-05-17,1
Australia,AUS,2020-05-18,1
Australia,AUS,2020-05-19,1
Australia,AUS,2020-05-20,1
Australia,AUS,2020-05-21,1
Australia,AUS,2020-05-22,1
Australia,AUS,2020-05-23,1
Australia,AUS,2020-05-24,1
Australia,AUS,2020-05-25,1
Australia,AUS,2020-05-26,1
Australia,AUS,2020-05-27,1
Australia,AUS,2020-05-28,1
Australia,AUS,2020-05-29,0
Australia,AUS,2020-05-30,0
Australia,AUS,2020-05-31,0
Australia,AUS,2020-06-01,0
Australia,AUS,2020-06-02,0
Australia,AUS,2020-06-03,0
Australia,AUS,2020-06-04,0
Australia,AUS,2020-06-05,0
Australia,AUS,2020-06-06,0
Australia,AUS,2020-06-07,0
Australia,AUS,2020-06-08,0
Australia,AUS,2020-06-09,0
Australia,AUS,2020-06-10,0
Australia,AUS,2020-06-11,0
Australia,AUS,2020-06-12,0
Australia,AUS,2020-06-13,0
Australia,AUS,2020-06-14,0
Australia,AUS,2020-06-15,0
Australia,AUS,2020-06-16,0
Australia,AUS,2020-06-17,0
Australia,AUS,2020-06-18,0
Australia,AUS,2020-06-19,0
Australia,AUS,2020-06-20,0
Australia,AUS,2020-06-21,0
Australia,AUS,2020-06-22,0
Australia,AUS,2020-06-23,0
Australia,AUS,2020-06-24,0
Australia,AUS,2020-06-25,0
Australia,AUS,2020-06-26,0
Australia,AUS,2020-06-27,0
Australia,AUS,2020-06-28,0
Australia,AUS,2020-06-29,0
Australia,AUS,2020-06-30,0
Australia,AUS,2020-07-01,2
Australia,AUS,2020-07-02,2
Australia,AUS,2020-07-03,2
Australia,AUS,2020-07-04,2
Australia,AUS,2020-07-05,2
Australia,AUS,2020-07-06,2
Australia,AUS,2020-07-07,2
Australia,AUS,2020-07-08,3
Australia,AUS,2020-07-09,3
Australia,AUS,2020-07-10,3
Australia,AUS,2020-07-11,3
Australia,AUS,2020-07-12,3
Australia,AUS,2020-07-13,3
Australia,AUS,2020-07-14,3
Australia,AUS,2020-07-15,3
Australia,AUS,2020-07-16,2
Australia,AUS,2020-07-17,2
Australia,AUS,2020-07-18,2
Australia,AUS,2020-07-19,2
Australia,AUS,2020-07-20,2
Australia,AUS,2020-07-21,2
Australia,AUS,2020-07-22,2
Australia,AUS,2020-07-23,2
Australia,AUS,2020-07-24,2
Australia,AUS,2020-07-25,2
Australia,AUS,2020-07-26,2
Australia,AUS,2020-07-27,2
Australia,AUS,2020-07-28,2
Australia,AUS,2020-07-29,2
Australia,AUS,2020-07-30,2
Australia,AUS,2020-07-31,2
Australia,AUS,2020-08-01,2
Australia,AUS,2020-08-02,2
Australia,AUS,2020-08-03,2
Australia,AUS,2020-08-04,2
Australia,AUS,2020-08-05,2
Australia,AUS,2020-08-06,2
