Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",15,12,3,null,0
"Feb 16, 2020",15,12,3,0,0
"Feb 17, 2020",15,12,3,0,0
"Feb 18, 2020",15,12,3,1,0
"Feb 19, 2020",15,12,3,0,0
"Feb 20, 2020",15,10,5,0,0
"Feb 21, 2020",35,29,6,3,0
"Feb 22, 2020",35,29,6,3,0
"Feb 23, 2020",35,28,7,3,0
"Feb 24, 2020",53,48,5,5,0
"Feb 25, 2020",57,51,6,6,0
"Feb 26, 2020",60,54,6,6,0
"Feb 27, 2020",60,54,6,7,0
"Feb 28, 2020",63,57,6,4,0
"Feb 29, 2020",68,60,8,5,1
"Mar 01, 2020",75,65,10,5,1
"Mar 02, 2020",100,85,15,7,6
"Mar 03, 2020",124,106,18,10,9
"Mar 04, 2020",158,138,20,14,11
"Mar 05, 2020",221,200,21,23,12
"Mar 06, 2020",319,289,30,36,15
"Mar 07, 2020",435,401,34,53,19
"Mar 08, 2020",541,504,37,66,22
"Mar 09, 2020",704,663,41,86,26
"Mar 10, 2020",994,949,45,125,30
"Mar 11, 2020",1301,1248,53,163,38
"Mar 12, 2020",2430,2362,68,316,59
"Mar 13, 2020",3161,3087,74,406,64
"Mar 14, 2020",3989,3864,125,507,75
"Mar 15, 2020",5018,4864,154,640,92
"Mar 16, 2020",6378,6186,192,810,114
"Mar 17, 2020",8830,8576,254,1120,143
"Mar 18, 2020",12561,12256,305,1608,191
"Mar 19, 2020",17891,17525,366,2209,249
"Mar 20, 2020",24438,23943,495,3040,326
"Mar 21, 2020",30291,29679,612,3757,395
"Mar 22, 2020",40507,39682,825,5070,565
"Mar 23, 2020",52024,50875,1149,6521,741
"Mar 24, 2020",64940,63383,1557,8016,1007
"Mar 25, 2020",79843,77901,1942,9611,1317
"Mar 26, 2020",98506,94614,3892,11517,1702
"Mar 27, 2020",118856,113674,5182,13488,2234
"Mar 28, 2020",138949,131029,7920,15523,2884
"Mar 29, 2020",159799,148017,11782,17041,3444
"Mar 30, 2020",183814,169231,14583,18827,4298
"Mar 31, 2020",210551,188708,21843,20802,5381
"Apr 01, 2020",238419,210164,28255,22654,6680
"Apr 02, 2020",267219,232284,34935,24102,7884
"Apr 03, 2020",301288,258293,42995,26061,9211
"Apr 04, 2020",334728,283854,50874,27969,10844
"Apr 05, 2020",361867,301133,60734,28867,12355
"Apr 06, 2020",393370,323915,69455,29936,13931
"Apr 07, 2020",427549,348443,79106,31000,16128
"Apr 08, 2020",460596,372296,88300,31739,18396
"Apr 09, 2020",494877,395176,99701,32523,20601
"Apr 10, 2020",529102,418924,110178,32545,22871
"Apr 11, 2020",559848,435886,123962,32160,25033
"Apr 12, 2020",586197,448623,137574,32047,26932
"Apr 13, 2020",613746,460099,153647,31482,28738
"Apr 14, 2020",643622,477354,166268,30868,31261
"Apr 15, 2020",675773,495225,180548,30739,33975
"Apr 16, 2020",706605,504296,202309,30247,36262
"Apr 17, 2020",740558,524872,215686,30208,38908
"Apr 18, 2020",770204,534075,236129,30051,40874
"Apr 19, 2020",796365,543953,252412,30024,42569
"Apr 20, 2020",825120,560036,265084,30196,44589
"Apr 21, 2020",852753,571993,280760,29876,47263
"Apr 22, 2020",884587,592702,291885,29831,49724
"Apr 23, 2020",919055,614026,305029,30350,52139
"Apr 24, 2020",953949,612478,341471,30484,54165
"Apr 25, 2020",989464,628932,360532,31323,56530
"Apr 26, 2020",1017143,644606,372537,31540,57884
"Apr 27, 2020",1041482,654544,386938,30909,59489
"Apr 28, 2020",1068572,669862,398710,30831,61857
"Apr 29, 2020",1098927,687135,411792,30620,64096
"Apr 30, 2020",1130235,703931,426304,30169,66329
"May 01, 2020",1165987,721171,444816,30291,68289
"May 02, 2020",1194743,727481,467262,29325,70120
"May 03, 2020",1221340,737590,483750,29171,71449
"May 04, 2020",1246241,738273,507968,29252,72925
"May 05, 2020",1272034,744106,527928,29066,75005
"May 06, 2020",1297887,750353,547534,28422,77507
"May 07, 2020",1327762,766628,561134,28219,79501
"May 08, 2020",1357119,778387,578732,27304,81146
"May 09, 2020",1382668,779325,603343,26847,82683
"May 10, 2020",1403221,785447,617774,25983,84097
"May 11, 2020",1422001,791223,630778,25108,85253
"May 12, 2020",1446534,781170,665364,24929,87100
