Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",0,0,0,null,0
"Mar 03, 2020",0,0,0,null,0
"Mar 04, 2020",0,0,0,null,0
"Mar 05, 2020",0,0,0,null,0
"Mar 06, 2020",0,0,0,null,0
"Mar 07, 2020",2,2,0,null,0
"Mar 08, 2020",4,4,0,null,0
"Mar 09, 2020",4,4,0,0,0
"Mar 10, 2020",6,6,0,1,0
"Mar 11, 2020",7,6,1,1,1
"Mar 12, 2020",23,22,1,4,1
"Mar 13, 2020",31,30,1,4,1
"Mar 14, 2020",41,39,2,6,2
"Mar 15, 2020",51,49,2,6,2
"Mar 16, 2020",62,60,2,9,2
"Mar 17, 2020",81,79,2,10,2
"Mar 18, 2020",92,90,2,12,2
"Mar 19, 2020",107,104,3,12,3
"Mar 20, 2020",127,123,4,14,3
"Mar 21, 2020",163,157,6,18,3
"Mar 22, 2020",187,181,6,19,3
"Mar 23, 2020",201,195,6,20,3
"Mar 24, 2020",218,212,6,19,3
"Mar 25, 2020",242,235,7,22,3
"Mar 26, 2020",264,253,11,22,3
"Mar 27, 2020",293,281,12,24,3
"Mar 28, 2020",331,313,18,24,7
"Mar 29, 2020",346,324,22,23,8
"Mar 30, 2020",359,334,25,22,8
"Mar 31, 2020",399,374,25,26,8
"Apr 01, 2020",422,392,30,26,10
"Apr 02, 2020",457,422,35,27,10
"Apr 03, 2020",485,441,44,28,14
"Apr 04, 2020",503,452,51,24,17
"Apr 05, 2020",531,474,57,27,20
"Apr 06, 2020",549,488,61,27,22
"Apr 07, 2020",577,512,65,25,23
"Apr 08, 2020",593,527,66,25,24
"Apr 09, 2020",618,546,72,23,24
"Apr 10, 2020",635,556,79,21,25
"Apr 11, 2020",661,571,90,23,28
"Apr 12, 2020",675,578,97,20,29
"Apr 13, 2020",685,582,103,20,32
"Apr 14, 2020",713,597,116,19,35
"Apr 15, 2020",747,606,141,22,36
"Apr 16, 2020",800,640,160,26,38
"Apr 17, 2020",846,664,182,30,41
"Apr 18, 2020",878,684,194,31,41
"Apr 19, 2020",894,691,203,32,42
"Apr 20, 2020",929,719,210,35,43
"Apr 21, 2020",975,760,215,37,45
"Apr 22, 2020",1024,801,223,40,49
"Apr 23, 2020",1097,855,242,42,52
"Apr 24, 2020",1188,941,247,49,54
"Apr 25, 2020",1247,995,252,53,55
"Apr 26, 2020",1300,1039,261,58,56
"Apr 27, 2020",1363,1099,264,62,58
"Apr 28, 2020",1399,1119,280,60,58
"Apr 29, 2020",1447,1140,307,61,64
"Apr 30, 2020",1506,1174,332,58,66
"May 01, 2020",1555,1211,344,52,68
"May 02, 2020",1594,1235,359,50,72
"May 03, 2020",1618,1237,381,45,73
"May 04, 2020",1652,1253,399,42,78
"May 05, 2020",1704,1282,422,43,80
"May 06, 2020",1778,1334,444,48,84
"May 07, 2020",1829,1361,468,46,84
"May 08, 2020",1872,1385,487,45,86
"May 09, 2020",1921,1409,512,47,90
"May 10, 2020",1965,1430,535,49,91
"May 11, 2020",1990,1436,554,49,93
"May 12, 2020",2023,1452,571,45,95
"May 13, 2020",2069,1474,595,42,96
"May 14, 2020",2100,1470,630,38,99
"May 15, 2020",2138,1491,647,38,102
"May 16, 2020",2175,1497,678,37,105
"May 17, 2020",2211,1505,706,35,108
"May 18, 2020",2235,1513,722,35,110
"May 19, 2020",2259,1501,758,34,112
"May 20, 2020",2292,1492,800,31,116
"May 21, 2020",2331,1484,847,33,120
"May 22, 2020",2372,1478,894,34,125
"May 23, 2020",2408,1474,934,33,126
