Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",1,1,0,null,0
"Feb 26, 2020",3,3,0,null,0
"Feb 27, 2020",3,3,0,0,0
"Feb 28, 2020",5,5,0,1,0
"Feb 29, 2020",6,6,0,1,0
"Mar 01, 2020",7,7,0,1,0
"Mar 02, 2020",8,8,0,1,0
"Mar 03, 2020",9,9,0,1,0
"Mar 04, 2020",10,10,0,1,0
"Mar 05, 2020",10,10,0,1,0
"Mar 06, 2020",11,11,0,1,0
"Mar 07, 2020",12,12,0,1,0
"Mar 08, 2020",12,12,0,0,0
"Mar 09, 2020",13,13,0,1,0
"Mar 10, 2020",15,15,0,1,0
"Mar 11, 2020",19,19,0,1,0
"Mar 12, 2020",27,26,1,3,0
"Mar 13, 2020",32,31,1,3,0
"Mar 14, 2020",39,37,2,3,0
"Mar 15, 2020",49,47,2,6,0
"Mar 16, 2020",57,54,3,6,0
"Mar 17, 2020",69,64,5,8,0
"Mar 18, 2020",89,84,5,10,0
"Mar 19, 2020",110,104,6,12,1
"Mar 20, 2020",130,124,6,14,1
"Mar 21, 2020",206,200,6,23,1
"Mar 22, 2020",254,248,6,30,1
"Mar 23, 2020",315,309,6,37,1
"Mar 24, 2020",382,376,6,44,1
"Mar 25, 2020",442,419,23,51,1
"Mar 26, 2020",495,470,25,55,3
"Mar 27, 2020",586,546,40,65,3
"Mar 28, 2020",657,607,50,64,5
"Mar 29, 2020",713,652,61,66,6
"Mar 30, 2020",790,717,73,68,6
"Mar 31, 2020",867,794,73,69,6
"Apr 01, 2020",963,884,79,74,6
"Apr 02, 2020",1011,916,95,74,7
"Apr 03, 2020",1079,979,100,71,8
"Apr 04, 2020",1126,995,131,67,12
"Apr 05, 2020",1182,1042,140,67,15
"Apr 06, 2020",1222,1076,146,61,16
"Apr 07, 2020",1282,1097,185,60,18
"Apr 08, 2020",1343,1145,198,54,19
"Apr 09, 2020",1407,1168,239,56,20
"Apr 10, 2020",1495,1243,252,60,21
"Apr 11, 2020",1534,1190,344,58,21
"Apr 12, 2020",1600,1204,396,60,23
"Apr 13, 2020",1650,1225,425,61,25
"Apr 14, 2020",1704,1258,446,60,31
"Apr 15, 2020",1741,1235,506,57,33
"Apr 16, 2020",1791,1227,564,55,35
"Apr 17, 2020",1814,1178,636,46,36
"Apr 18, 2020",1832,1178,654,42,39
"Apr 19, 2020",1871,1115,756,39,47
"Apr 20, 2020",1881,1063,818,33,47
"Apr 21, 2020",1908,1059,849,29,48
"Apr 22, 2020",1950,1033,917,30,48
"Apr 23, 2020",1981,1048,933,27,50
"Apr 24, 2020",2009,976,1033,28,51
"Apr 25, 2020",2016,928,1088,26,54
"Apr 26, 2020",2030,872,1158,23,55
"Apr 27, 2020",2039,814,1225,22,59
"Apr 28, 2020",2047,752,1295,20,63
"Apr 29, 2020",2062,707,1355,16,67
"Apr 30, 2020",2076,659,1417,14,69
"May 01, 2020",2085,589,1496,11,75
"May 02, 2020",2088,548,1540,10,77
"May 03, 2020",2096,528,1568,9,79
"May 04, 2020",2101,499,1602,9,80
"May 05, 2020",2112,469,1643,10,83
"May 06, 2020",2119,433,1686,8,85
"May 07, 2020",2125,398,1727,7,86
"May 08, 2020",2161,386,1775,11,86
"May 09, 2020",2176,363,1813,12,87
"May 10, 2020",2187,333,1854,13,90
"May 11, 2020",2196,321,1875,14,91
"May 12, 2020",2207,308,1899,13,91
"May 13, 2020",2213,285,1928,14,94
"May 14, 2020",2221,277,1944,13,94
"May 15, 2020",2222,258,1964,9,95
"May 16, 2020",2224,216,2008,7,95
"May 17, 2020",2226,195,2031,6,95
"May 18, 2020",2228,187,2041,4,95
"May 19, 2020",2232,169,2063,4,96
"May 20, 2020",2234,160,2074,3,96
"May 21, 2020",2237,162,2075,2,97
