Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",0,0,0,null,0
"Mar 03, 2020",0,0,0,null,0
"Mar 04, 2020",0,0,0,null,0
"Mar 05, 2020",0,0,0,null,0
"Mar 06, 2020",0,0,0,null,0
"Mar 07, 2020",0,0,0,null,0
"Mar 08, 2020",0,0,0,null,0
"Mar 09, 2020",2,2,0,null,0
"Mar 10, 2020",2,2,0,null,0
"Mar 11, 2020",6,6,0,0,0
"Mar 12, 2020",10,10,0,2,0
"Mar 13, 2020",14,14,0,2,0
"Mar 14, 2020",26,26,0,4,0
"Mar 15, 2020",33,33,0,4,0
"Mar 16, 2020",46,46,0,7,0
"Mar 17, 2020",49,49,0,6,0
"Mar 18, 2020",58,58,0,8,0
"Mar 19, 2020",67,67,0,8,0
"Mar 20, 2020",75,75,0,9,0
"Mar 21, 2020",84,80,4,8,1
"Mar 22, 2020",95,91,4,9,1
"Mar 23, 2020",116,112,4,10,1
"Mar 24, 2020",124,118,6,10,3
"Mar 25, 2020",132,126,6,11,3
"Mar 26, 2020",146,139,7,11,3
"Mar 27, 2020",162,142,20,13,5
"Mar 28, 2020",179,159,20,13,5
"Mar 29, 2020",214,193,21,17,6
"Mar 30, 2020",230,201,29,17,7
"Mar 31, 2020",262,231,31,19,8
"Apr 01, 2020",321,284,37,27,9
"Apr 02, 2020",358,320,38,31,10
"Apr 03, 2020",399,361,38,33,10
"Apr 04, 2020",429,386,43,36,10
"Apr 05, 2020",449,402,47,34,10
"Apr 06, 2020",468,413,55,34,10
"Apr 07, 2020",497,440,57,33,10
"Apr 08, 2020",529,467,62,30,10
"Apr 09, 2020",568,505,63,30,10
"Apr 10, 2020",599,531,68,29,10
"Apr 11, 2020",620,549,71,27,10
"Apr 12, 2020",637,561,76,27,11
"Apr 13, 2020",666,589,77,28,12
"Apr 14, 2020",699,622,77,29,12
"Apr 15, 2020",719,642,77,27,12
"Apr 16, 2020",739,650,89,24,12
"Apr 17, 2020",754,665,89,23,12
"Apr 18, 2020",765,674,91,20,12
"Apr 19, 2020",771,678,93,19,12
"Apr 20, 2020",776,683,93,16,12
"Apr 21, 2020",788,678,110,13,12
"Apr 22, 2020",794,683,111,11,13
"Apr 23, 2020",799,688,111,8,13
"Apr 24, 2020",808,696,112,8,14
"Apr 25, 2020",814,652,162,7,14
"Apr 26, 2020",821,659,162,7,14
"Apr 27, 2020",826,663,163,7,15
"Apr 28, 2020",841,678,163,8,15
"Apr 29, 2020",847,684,163,7,15
"Apr 30, 2020",854,543,311,8,15
"May 01, 2020",861,550,311,8,15
"May 02, 2020",868,557,311,7,15
"May 03, 2020",876,565,311,8,15
"May 04, 2020",878,567,311,8,15
"May 05, 2020",882,571,311,6,15
"May 06, 2020",887,576,311,5,15
"May 07, 2020",893,478,415,6,15
"May 08, 2020",895,480,415,5,15
"May 09, 2020",896,480,416,4,15
"May 10, 2020",902,485,417,3,16
"May 11, 2020",905,488,417,4,16
"May 12, 2020",907,442,465,4,16
"May 13, 2020",909,443,466,3,17
"May 14, 2020",911,413,498,3,17
"May 15, 2020",914,416,498,2,17
"May 16, 2020",918,386,532,3,17
"May 17, 2020",920,388,532,3,17
"May 18, 2020",921,389,532,2,17
"May 19, 2020",922,390,532,2,17
"May 20, 2020",926,393,533,3,17
"May 21, 2020",927,349,578,2,17
"May 22, 2020",931,353,578,3,17
"May 23, 2020",931,320,611,1,17
"May 24, 2020",939,328,611,3,17
"May 25, 2020",941,330,611,3,17
"May 26, 2020",943,332,611,3,17
