Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",1,1,0,null,0
"Mar 03, 2020",1,1,0,null,0
"Mar 04, 2020",1,0,1,null,0
"Mar 05, 2020",1,0,1,null,0
"Mar 06, 2020",1,0,1,0,0
"Mar 07, 2020",1,0,1,0,0
"Mar 08, 2020",3,2,1,0,0
"Mar 09, 2020",6,5,1,1,0
"Mar 10, 2020",8,7,1,1,0
"Mar 11, 2020",10,9,1,1,0
"Mar 12, 2020",16,15,1,2,0
"Mar 13, 2020",17,16,1,3,0
"Mar 14, 2020",26,25,1,3,0
"Mar 15, 2020",30,29,1,4,0
"Mar 16, 2020",34,33,1,4,0
"Mar 17, 2020",60,59,1,8,0
"Mar 18, 2020",71,70,1,8,0
"Mar 19, 2020",86,85,1,10,0
"Mar 20, 2020",109,108,1,13,0
"Mar 21, 2020",121,120,1,14,0
"Mar 22, 2020",136,135,1,15,0
"Mar 23, 2020",180,179,1,21,0
"Mar 24, 2020",197,196,1,20,0
"Mar 25, 2020",221,220,1,21,0
"Mar 26, 2020",244,243,1,23,0
"Mar 27, 2020",280,279,1,24,0
"Mar 28, 2020",305,304,1,26,0
"Mar 29, 2020",347,346,1,30,0
"Mar 30, 2020",376,375,1,28,0
"Mar 31, 2020",398,397,1,29,0
"Apr 01, 2020",446,445,1,32,0
"Apr 02, 2020",458,457,1,31,0
"Apr 03, 2020",493,491,2,30,1
"Apr 04, 2020",509,506,3,29,2
"Apr 05, 2020",533,530,3,27,2
"Apr 06, 2020",542,538,4,24,3
"Apr 07, 2020",548,544,4,21,3
"Apr 08, 2020",577,558,19,19,3
"Apr 09, 2020",589,569,20,19,4
"Apr 10, 2020",612,592,20,17,4
"Apr 11, 2020",630,608,22,17,6
"Apr 12, 2020",651,628,23,17,7
"Apr 13, 2020",653,630,23,16,7
"Apr 14, 2020",657,634,23,15,7
"Apr 15, 2020",666,643,23,13,7
"Apr 16, 2020",675,652,23,12,7
"Apr 17, 2020",682,586,96,10,8
"Apr 18, 2020",712,616,96,12,8
"Apr 19, 2020",727,631,96,11,8
"Apr 20, 2020",739,643,96,12,8
"Apr 21, 2020",748,604,144,13,11
"Apr 22, 2020",761,617,144,14,11
"Apr 23, 2020",778,634,144,14,11
"Apr 24, 2020",784,505,279,15,12
"Apr 25, 2020",804,525,279,13,12
"Apr 26, 2020",812,532,280,12,13
"Apr 27, 2020",818,538,280,11,13
"Apr 28, 2020",836,554,282,13,15
"Apr 29, 2020",849,486,363,13,15
"Apr 30, 2020",858,494,364,11,16
"May 01, 2020",870,506,364,12,16
"May 02, 2020",871,506,365,10,17
"May 03, 2020",879,514,365,9,17
"May 04, 2020",896,530,366,12,18
"May 05, 2020",896,530,366,8,18
"May 06, 2020",900,418,482,7,18
"May 07, 2020",909,427,482,8,18
"May 08, 2020",928,446,482,8,18
"May 09, 2020",930,448,482,8,18
"May 10, 2020",939,457,482,9,18
"May 11, 2020",946,464,482,7,18
"May 12, 2020",950,304,646,8,19
"May 13, 2020",951,305,646,7,19
"May 14, 2020",962,316,646,8,19
"May 15, 2020",970,289,681,6,19
"May 16, 2020",997,316,681,9,19
"May 17, 2020",1008,326,682,10,20
"May 18, 2020",1009,294,715,9,21
"May 19, 2020",1012,297,715,9,21
"May 20, 2020",1016,301,715,9,21
"May 21, 2020",1025,309,716,9,22
"May 22, 2020",1030,296,734,9,22
"May 23, 2020",1046,312,734,7,22
"May 24, 2020",1047,312,735,5,23
"May 25, 2020",1049,314,735,6,23
