Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",1,1,0,null,0
"Feb 29, 2020",1,1,0,null,0
"Mar 01, 2020",1,1,0,null,0
"Mar 02, 2020",1,1,0,null,0
"Mar 03, 2020",1,1,0,0,0
"Mar 04, 2020",1,1,0,0,0
"Mar 05, 2020",1,1,0,0,0
"Mar 06, 2020",1,1,0,0,0
"Mar 07, 2020",1,1,0,0,0
"Mar 08, 2020",1,1,0,0,0
"Mar 09, 2020",1,1,0,0,0
"Mar 10, 2020",1,1,0,0,0
"Mar 11, 2020",1,1,0,0,0
"Mar 12, 2020",1,1,0,0,0
"Mar 13, 2020",1,1,0,0,0
"Mar 14, 2020",1,0,1,0,0
"Mar 15, 2020",1,0,1,0,0
"Mar 16, 2020",1,0,1,0,0
"Mar 17, 2020",1,0,1,0,0
"Mar 18, 2020",1,0,1,0,0
"Mar 19, 2020",1,0,1,0,0
"Mar 20, 2020",1,-1,2,0,1
"Mar 21, 2020",7,5,2,1,1
"Mar 22, 2020",30,28,2,4,1
"Mar 23, 2020",58,56,2,8,1
"Mar 24, 2020",88,86,2,13,1
"Mar 25, 2020",112,109,3,15,2
"Mar 26, 2020",167,163,4,24,3
"Mar 27, 2020",183,177,6,26,4
"Mar 28, 2020",227,221,6,32,4
"Mar 29, 2020",263,257,6,33,4
"Mar 30, 2020",280,271,9,32,4
"Mar 31, 2020",353,344,9,37,4
"Apr 01, 2020",397,386,11,41,6
"Apr 02, 2020",470,459,11,43,6
"Apr 03, 2020",528,517,11,50,6
"Apr 04, 2020",571,559,12,49,7
"Apr 05, 2020",617,604,13,50,8
"Apr 06, 2020",648,633,15,53,10
"Apr 07, 2020",688,672,16,48,11
"Apr 08, 2020",721,705,16,46,11
"Apr 09, 2020",771,755,16,43,11
"Apr 10, 2020",809,792,17,40,12
"Apr 11, 2020",848,818,30,40,13
"Apr 12, 2020",881,823,58,38,14
"Apr 13, 2020",900,812,88,36,15
"Apr 14, 2020",906,794,112,31,16
"Apr 15, 2020",924,757,167,29,20
"Apr 16, 2020",951,768,183,25,20
"Apr 17, 2020",977,750,227,24,21
"Apr 18, 2020",1026,763,263,26,22
"Apr 19, 2020",1119,839,280,34,23
"Apr 20, 2020",1140,787,353,34,26
"Apr 21, 2020",1166,769,397,37,26
"Apr 22, 2020",1188,718,470,38,27
"Apr 23, 2020",1206,678,528,36,27
"Apr 24, 2020",1222,651,571,35,28
"Apr 25, 2020",1235,618,617,30,29
"Apr 26, 2020",1246,598,648,18,31
"Apr 27, 2020",1261,573,688,18,32
"Apr 28, 2020",1263,542,721,14,32
"Apr 29, 2020",1292,521,771,14,32
"Apr 30, 2020",1311,502,809,15,32
"May 01, 2020",1317,469,848,14,32
"May 02, 2020",1321,440,881,12,33
"May 03, 2020",1328,428,900,12,33
"May 04, 2020",1335,429,906,11,33
"May 05, 2020",1339,415,924,10,33
"May 06, 2020",1346,395,951,8,34
"May 07, 2020",1350,373,977,6,35
"May 08, 2020",1361,335,1026,6,35
"May 09, 2020",1386,267,1119,9,35
"May 10, 2020",1400,260,1140,11,36
"May 11, 2020",1409,243,1166,10,36
"May 12, 2020",1418,230,1188,11,39
"May 13, 2020",1431,225,1206,13,39
"May 14, 2020",1440,218,1222,12,39
"May 15, 2020",1452,217,1235,13,41
"May 16, 2020",1466,220,1246,12,42
"May 17, 2020",1476,215,1261,11,43
"May 18, 2020",1482,219,1263,10,45
"May 19, 2020",1494,202,1292,11,45
"May 20, 2020",1510,199,1311,11,46
"May 21, 2020",1525,208,1317,12,46
"May 22, 2020",1537,216,1321,13,46
"May 23, 2020",1548,220,1328,11,47
