Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",0,0,0,null,0
"Mar 03, 2020",0,0,0,null,0
"Mar 04, 2020",0,0,0,null,0
"Mar 05, 2020",0,0,0,null,0
"Mar 06, 2020",0,0,0,null,0
"Mar 07, 2020",3,3,0,null,0
"Mar 08, 2020",3,3,0,null,0
"Mar 09, 2020",4,4,0,0,0
"Mar 10, 2020",5,5,0,1,0
"Mar 11, 2020",7,7,0,1,0
"Mar 12, 2020",9,9,0,1,0
"Mar 13, 2020",12,11,1,2,0
"Mar 14, 2020",18,17,1,2,0
"Mar 15, 2020",21,19,2,3,0
"Mar 16, 2020",30,28,2,4,0
"Mar 17, 2020",38,36,2,4,0
"Mar 18, 2020",48,46,2,6,0
"Mar 19, 2020",53,51,2,6,0
"Mar 20, 2020",64,62,2,8,0
"Mar 21, 2020",73,71,2,8,0
"Mar 22, 2020",90,88,2,10,0
"Mar 23, 2020",107,105,2,11,0
"Mar 24, 2020",110,108,2,10,0
"Mar 25, 2020",129,127,2,11,0
"Mar 26, 2020",134,132,2,12,0
"Mar 27, 2020",139,137,2,11,0
"Mar 28, 2020",149,147,2,11,0
"Mar 29, 2020",151,149,2,8,0
"Mar 30, 2020",156,154,2,7,0
"Mar 31, 2020",169,167,2,9,0
"Apr 01, 2020",188,186,2,8,0
"Apr 02, 2020",196,194,2,9,0
"Apr 03, 2020",202,200,2,9,0
"Apr 04, 2020",213,211,2,9,0
"Apr 05, 2020",227,222,5,11,0
"Apr 06, 2020",241,236,5,12,0
"Apr 07, 2020",293,288,5,18,0
"Apr 08, 2020",299,282,17,16,1
"Apr 09, 2020",337,319,18,20,2
"Apr 10, 2020",350,332,18,21,2
"Apr 11, 2020",370,351,19,22,3
"Apr 12, 2020",378,331,47,22,3
"Apr 13, 2020",384,337,47,20,3
"Apr 14, 2020",393,346,47,15,3
"Apr 15, 2020",399,352,47,14,3
"Apr 16, 2020",412,327,85,11,3
"Apr 17, 2020",422,328,94,10,3
"Apr 18, 2020",426,324,102,8,3
"Apr 19, 2020",427,306,121,7,3
"Apr 20, 2020",431,302,129,7,3
"Apr 21, 2020",443,290,153,7,3
"Apr 22, 2020",444,276,168,6,3
"Apr 23, 2020",445,238,207,5,3
"Apr 24, 2020",447,221,226,4,3
"Apr 25, 2020",448,195,253,3,4
"Apr 26, 2020",448,162,286,3,4
"Apr 27, 2020",450,160,290,2,4
"Apr 28, 2020",458,151,307,3,4
"Apr 29, 2020",463,120,343,2,4
"Apr 30, 2020",465,110,355,3,4
"May 01, 2020",467,96,371,3,4
"May 02, 2020",468,85,383,3,4
"May 03, 2020",477,81,396,4,4
"May 04, 2020",480,77,403,4,4
"May 05, 2020",482,74,408,4,5
"May 06, 2020",484,72,412,3,5
"May 07, 2020",486,68,418,3,5
"May 08, 2020",489,65,424,3,5
"May 09, 2020",490,58,432,3,5
"May 10, 2020",496,58,438,3,5
"May 11, 2020",503,64,439,3,5
"May 12, 2020",506,67,439,3,5
"May 13, 2020",508,66,442,4,6
"May 14, 2020",522,73,449,5,6
"May 15, 2020",532,78,454,6,6
"May 16, 2020",546,90,456,8,6
"May 17, 2020",553,93,460,8,6
"May 18, 2020",558,96,462,8,6
"May 19, 2020",569,103,466,9,6
"May 20, 2020",584,113,471,11,6
"May 21, 2020",599,125,474,11,6
"May 22, 2020",600,125,475,10,6
"May 23, 2020",609,130,479,9,6
"May 24, 2020",610,128,482,8,6
"May 25, 2020",611,120,491,7,6
"May 26, 2020",611,120,491,6,6
