Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",1,1,0,null,0
"Mar 03, 2020",1,1,0,null,0
"Mar 04, 2020",1,1,0,null,0
"Mar 05, 2020",5,5,0,null,0
"Mar 06, 2020",11,11,0,2,0
"Mar 07, 2020",18,18,0,2,0
"Mar 08, 2020",25,25,0,4,0
"Mar 09, 2020",31,31,0,4,0
"Mar 10, 2020",41,41,0,6,0
"Mar 11, 2020",52,52,0,7,0
"Mar 12, 2020",89,88,1,12,0
"Mar 13, 2020",138,137,1,18,0
"Mar 14, 2020",233,231,2,31,0
"Mar 15, 2020",314,311,3,41,0
"Mar 16, 2020",424,420,4,56,1
"Mar 17, 2020",535,530,5,71,2
"Mar 18, 2020",679,671,8,90,4
"Mar 19, 2020",948,939,9,122,5
"Mar 20, 2020",1166,1151,15,147,10
"Mar 21, 2020",1408,1388,20,168,15
"Mar 22, 2020",1722,1691,31,201,26
"Mar 23, 2020",2049,1997,52,232,37
"Mar 24, 2020",2622,2549,73,298,49
"Mar 25, 2020",3102,3013,89,347,65
"Mar 26, 2020",3712,3583,129,394,82
"Mar 27, 2020",4435,4281,154,467,107
"Mar 28, 2020",4998,4824,174,513,127
"Mar 29, 2020",5451,5254,197,533,150
"Mar 30, 2020",6384,6158,226,619,179
"Mar 31, 2020",7249,6988,261,661,214
"Apr 01, 2020",7967,7680,287,695,240
"Apr 02, 2020",8708,8356,352,714,277
"Apr 03, 2020",9417,9040,377,712,302
"Apr 04, 2020",10005,9592,413,715,330
"Apr 05, 2020",10494,10055,439,720,356
"Apr 06, 2020",11254,10702,552,696,397
"Apr 07, 2020",11949,11308,641,672,437
"Apr 08, 2020",12704,12016,688,676,471
"Apr 09, 2020",13370,12644,726,666,499
"Apr 10, 2020",13918,13123,795,643,537
"Apr 11, 2020",14484,13621,863,640,568
"Apr 12, 2020",14925,14016,909,633,602
"Apr 13, 2020",15601,14657,944,621,637
"Apr 14, 2020",16308,15252,1056,623,671
"Apr 15, 2020",16986,15859,1127,612,702
"Apr 16, 2020",17683,16406,1277,616,730
"Apr 17, 2020",18398,17059,1339,640,763
"Apr 18, 2020",18748,17278,1470,609,793
"Apr 19, 2020",19165,17669,1496,606,819
"Apr 20, 2020",19775,18251,1524,596,847
"Apr 21, 2020",20289,18401,1888,569,871
"Apr 22, 2020",20789,18614,2175,543,908
"Apr 23, 2020",21348,19088,2260,523,929
"Apr 24, 2020",21823,19503,2320,490,959
"Apr 25, 2020",22086,19689,2397,477,982
"Apr 26, 2020",22346,19867,2479,454,1006
"Apr 27, 2020",22813,20283,2530,434,1026
"Apr 28, 2020",23266,20674,2592,425,1053
"Apr 29, 2020",23689,20993,2696,415,1067
"Apr 30, 2020",24095,21325,2770,392,1087
"May 01, 2020",24338,21409,2929,359,1104
"May 02, 2020",24542,21566,2976,351,1124
"May 03, 2020",24717,21699,3018,339,1146
"May 04, 2020",25172,22119,3053,337,1156
"May 05, 2020",25579,22477,3102,330,1171
"May 06, 2020",25956,22469,3487,324,1187
"May 07, 2020",26362,22664,3698,324,1196
"May 08, 2020",26691,22800,3891,336,1207
"May 09, 2020",26866,22880,3986,332,1217
"May 10, 2020",27042,22992,4050,332,1226
"May 11, 2020",27369,23303,4066,314,1242
"May 12, 2020",27621,23031,4590,292,1252
"May 13, 2020",27878,23096,4782,274,1257
"May 14, 2020",28177,23367,4810,260,1267
"May 15, 2020",28450,23486,4964,251,1277
"May 16, 2020",28680,23156,5524,259,1290
"May 17, 2020",28895,22464,6431,265,1295
