Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",1,1,0,null,0
"Feb 27, 2020",1,1,0,null,0
"Feb 28, 2020",3,2,1,null,0
"Feb 29, 2020",3,2,1,0,0
"Mar 01, 2020",3,2,1,1,0
"Mar 02, 2020",3,2,1,0,0
"Mar 03, 2020",4,3,1,1,0
"Mar 04, 2020",6,5,1,0,0
"Mar 05, 2020",6,3,3,1,0
"Mar 06, 2020",9,6,3,1,0
"Mar 07, 2020",13,10,3,1,0
"Mar 08, 2020",15,10,5,2,0
"Mar 09, 2020",17,12,5,2,0
"Mar 10, 2020",29,24,5,4,0
"Mar 11, 2020",47,41,6,5,0
"Mar 12, 2020",59,52,7,8,0
"Mar 13, 2020",95,88,7,12,0
"Mar 14, 2020",123,114,9,16,0
"Mar 15, 2020",139,130,9,18,0
"Mar 16, 2020",168,159,9,21,0
"Mar 17, 2020",217,198,19,27,0
"Mar 18, 2020",260,241,19,31,0
"Mar 19, 2020",277,252,25,31,0
"Mar 20, 2020",308,277,31,30,0
"Mar 21, 2020",367,315,52,35,0
"Mar 22, 2020",433,366,67,42,3
"Mar 23, 2020",576,496,80,58,7
"Mar 24, 2020",794,703,91,83,12
"Mar 25, 2020",906,803,103,92,17
"Mar 26, 2020",1029,912,117,107,23
"Mar 27, 2020",1292,1151,141,141,26
"Mar 28, 2020",1452,1276,176,155,37
"Mar 29, 2020",1815,1566,249,197,43
"Mar 30, 2020",2109,1835,274,219,65
"Mar 31, 2020",2245,1943,302,208,82
"Apr 01, 2020",2460,2116,344,222,92
"Apr 02, 2020",2738,2356,382,244,115
"Apr 03, 2020",3183,2767,416,270,133
"Apr 04, 2020",3613,3138,475,309,146
"Apr 05, 2020",3864,3339,525,292,151
"Apr 06, 2020",4057,3475,582,279,176
"Apr 07, 2020",4417,3760,657,310,197
"Apr 08, 2020",4761,4013,748,329,220
"Apr 09, 2020",5202,4307,895,352,248
"Apr 10, 2020",5467,4468,999,326,270
"Apr 11, 2020",5990,4941,1049,340,291
"Apr 12, 2020",6300,5132,1168,348,316
"Apr 13, 2020",6633,5388,1245,368,331
"Apr 14, 2020",6879,5477,1402,351,351
"Apr 15, 2020",7216,5627,1589,351,372
"Apr 16, 2020",7707,5958,1749,358,392
"Apr 17, 2020",8067,6148,1919,371,411
"Apr 18, 2020",8418,6267,2151,347,421
"Apr 19, 2020",8746,6403,2343,350,451
"Apr 20, 2020",8936,6441,2495,329,478
"Apr 21, 2020",9242,6591,2651,337,498
"Apr 22, 2020",9710,6780,2930,356,524
"Apr 23, 2020",10096,7073,3023,342,545
"Apr 24, 2020",10417,7033,3384,335,567
"Apr 25, 2020",10635,7144,3491,317,601
"Apr 26, 2020",11036,7363,3673,327,619
"Apr 27, 2020",11339,7557,3782,344,641
"Apr 28, 2020",11616,7549,4067,339,663
"Apr 29, 2020",11978,7716,4262,324,693
"Apr 30, 2020",12240,7506,4734,306,717
"May 01, 2020",12567,7494,5073,307,745
"May 02, 2020",12732,7413,5319,300,772
"May 03, 2020",13163,7503,5660,304,791
"May 04, 2020",13512,7424,6088,310,819
"May 05, 2020",13837,7541,6296,317,842
"May 06, 2020",14107,7454,6653,304,865
"May 07, 2020",14499,7466,7033,323,889
"May 08, 2020",14811,7464,7347,321,924
"May 09, 2020",15131,7279,7852,342,940
"May 10, 2020",15362,7349,8013,315,962
"May 11, 2020",15588,7360,8228,296,983
"May 12, 2020",15778,7090,8688,277,1003
"May 13, 2020",16002,7004,8998,271,1037
"May 14, 2020",16247,6140,10107,250,1054
"May 15, 2020",16437,5996,10441,232,1071
"May 16, 2020",16704,6035,10669,225,1095
"May 17, 2020",16871,5873,10998,215,1108
"May 18, 2020",17036,5985,11051,207,1121
