Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",0,0,0,null,0
"Mar 03, 2020",0,0,0,null,0
"Mar 04, 2020",0,0,0,null,0
"Mar 05, 2020",0,0,0,null,0
"Mar 06, 2020",1,1,0,null,0
"Mar 07, 2020",3,3,0,null,0
"Mar 08, 2020",5,5,0,0,0
"Mar 09, 2020",7,7,0,1,0
"Mar 10, 2020",7,7,0,1,0
"Mar 11, 2020",10,10,0,2,0
"Mar 12, 2020",21,21,0,3,0
"Mar 13, 2020",32,32,0,4,0
"Mar 14, 2020",44,44,0,6,0
"Mar 15, 2020",61,61,0,8,0
"Mar 16, 2020",72,72,0,9,0
"Mar 17, 2020",97,97,0,13,0
"Mar 18, 2020",105,105,0,14,0
"Mar 19, 2020",124,124,0,14,0
"Mar 20, 2020",137,137,0,15,0
"Mar 21, 2020",178,171,7,20,0
"Mar 22, 2020",185,178,7,17,0
"Mar 23, 2020",186,179,7,17,0
"Mar 24, 2020",204,197,7,15,0
"Mar 25, 2020",216,209,7,16,0
"Mar 26, 2020",226,224,2,14,0
"Mar 27, 2020",269,267,2,19,0
"Mar 28, 2020",292,290,2,16,0
"Mar 29, 2020",314,312,2,19,0
"Mar 30, 2020",336,329,7,21,0
"Mar 31, 2020",363,360,3,23,0
"Apr 01, 2020",400,396,4,26,1
"Apr 02, 2020",426,420,6,29,1
"Apr 03, 2020",450,441,9,26,1
"Apr 04, 2020",471,462,9,25,1
"Apr 05, 2020",485,476,9,25,1
"Apr 06, 2020",534,524,10,28,2
"Apr 07, 2020",581,566,15,31,2
"Apr 08, 2020",682,664,18,40,2
"Apr 09, 2020",701,676,25,40,2
"Apr 10, 2020",715,690,25,38,2
"Apr 11, 2020",728,703,25,36,2
"Apr 12, 2020",742,717,25,37,2
"Apr 13, 2020",769,660,109,34,2
"Apr 14, 2020",835,720,115,36,2
"Apr 15, 2020",863,706,157,26,6
"Apr 16, 2020",977,802,175,39,8
"Apr 17, 2020",1049,865,184,48,9
"Apr 18, 2020",1089,865,224,51,11
"Apr 19, 2020",1161,920,241,60,12
"Apr 20, 2020",1173,909,264,58,13
"Apr 21, 2020",1199,927,272,52,14
"Apr 22, 2020",1244,946,298,54,14
"Apr 23, 2020",1325,1022,303,50,15
"Apr 24, 2020",1360,988,372,45,17
"Apr 25, 2020",1373,970,403,40,17
"Apr 26, 2020",1379,967,412,31,18
"Apr 27, 2020",1381,960,421,30,18
"Apr 28, 2020",1384,941,443,26,20
"Apr 29, 2020",1391,885,506,21,22
"Apr 30, 2020",1396,849,547,11,23
"May 01, 2020",1403,822,581,6,23
"May 02, 2020",1407,775,632,5,24
"May 03, 2020",1408,765,643,4,24
"May 04, 2020",1413,745,668,4,25
"May 05, 2020",1421,655,766,6,25
"May 06, 2020",1429,642,787,5,25
"May 07, 2020",1445,613,832,7,26
"May 08, 2020",1455,524,931,7,26
"May 09, 2020",1455,510,945,7,26
"May 10, 2020",1457,490,967,7,26
"May 11, 2020",1457,472,985,7,26
"May 12, 2020",1465,455,1010,6,27
"May 13, 2020",1469,382,1087,6,27
"May 14, 2020",1477,338,1139,4,27
"May 15, 2020",1480,322,1158,4,27
"May 16, 2020",1493,314,1179,5,28
"May 17, 2020",1494,303,1191,5,28
"May 18, 2020",1495,282,1213,6,28
"May 19, 2020",1495,275,1220,4,28
"May 20, 2020",1496,237,1259,4,28
"May 21, 2020",1502,229,1273,4,28
"May 22, 2020",1503,219,1284,3,28
"May 23, 2020",1504,196,1308,1,28
