Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",0,0,0,null,0
"Mar 01, 2020",0,0,0,null,0
"Mar 02, 2020",0,0,0,null,0
"Mar 03, 2020",0,0,0,null,0
"Mar 04, 2020",1,1,0,null,0
"Mar 05, 2020",6,6,0,null,0
"Mar 06, 2020",8,8,0,1,0
"Mar 07, 2020",12,12,0,2,0
"Mar 08, 2020",16,16,0,2,0
"Mar 09, 2020",25,25,0,4,0
"Mar 10, 2020",34,34,0,5,0
"Mar 11, 2020",57,57,0,8,0
"Mar 12, 2020",96,96,0,12,0
"Mar 13, 2020",141,141,0,19,0
"Mar 14, 2020",181,180,1,25,1
"Mar 15, 2020",219,218,1,29,1
"Mar 16, 2020",253,252,1,32,1
"Mar 17, 2020",275,274,1,35,1
"Mar 18, 2020",286,285,1,32,1
"Mar 19, 2020",319,318,1,32,1
"Mar 20, 2020",341,340,1,29,1
"Mar 21, 2020",383,382,1,29,1
"Mar 22, 2020",414,412,2,27,2
"Mar 23, 2020",442,439,3,27,3
"Mar 24, 2020",480,473,7,30,4
"Mar 25, 2020",528,513,15,34,5
"Mar 26, 2020",562,546,16,35,6
"Mar 27, 2020",632,613,19,42,9
"Mar 28, 2020",684,665,19,43,9
"Mar 29, 2020",730,709,21,45,11
"Mar 30, 2020",756,735,21,45,11
"Mar 31, 2020",802,777,25,46,15
"Apr 01, 2020",841,816,25,44,15
"Apr 02, 2020",897,810,87,48,17
"Apr 03, 2020",934,844,90,43,20
"Apr 04, 2020",977,876,101,42,22
"Apr 05, 2020",997,890,107,38,28
"Apr 06, 2020",1021,889,132,38,30
"Apr 07, 2020",1059,921,138,37,36
"Apr 08, 2020",1091,931,160,36,40
"Apr 09, 2020",1124,953,171,32,43
"Apr 10, 2020",1160,978,182,32,45
"Apr 11, 2020",1188,990,198,30,50
"Apr 12, 2020",1205,1002,203,30,53
"Apr 13, 2020",1212,1005,207,27,55
"Apr 14, 2020",1220,1012,208,23,56
"Apr 15, 2020",1248,1022,226,23,61
"Apr 16, 2020",1268,1033,235,20,61
"Apr 17, 2020",1304,1064,240,21,66
"Apr 18, 2020",1317,1057,260,18,70
"Apr 19, 2020",1330,1064,266,18,74
"Apr 20, 2020",1335,1065,270,18,77
"Apr 21, 2020",1344,1070,274,18,77
"Apr 22, 2020",1353,1069,284,15,79
"Apr 23, 2020",1366,1076,290,14,79
"Apr 24, 2020",1373,1082,291,9,80
"Apr 25, 2020",1388,1088,300,11,81
"Apr 26, 2020",1396,1093,303,9,82
"Apr 27, 2020",1402,1098,304,10,83
"Apr 28, 2020",1408,1099,309,9,86
"Apr 29, 2020",1418,1099,319,9,89
"Apr 30, 2020",1429,1105,324,9,91
"May 01, 2020",1434,1109,325,9,92
"May 02, 2020",1439,1106,333,7,94
"May 03, 2020",1439,1102,337,6,96
"May 04, 2020",1439,1101,338,5,97
"May 05, 2020",1445,1103,342,6,98
"May 06, 2020",1448,1103,345,4,99
"May 07, 2020",1449,1103,346,3,99
"May 08, 2020",1450,1098,352,2,100
"May 09, 2020",1454,1098,356,2,101
"May 10, 2020",1457,1099,358,3,102
"May 11, 2020",1460,1102,358,3,102
"May 12, 2020",1461,1100,361,2,102
"May 13, 2020",1463,1100,363,2,103
"May 14, 2020",1464,1094,370,2,103
"May 15, 2020",1465,1092,373,3,103
"May 16, 2020",1465,1090,375,1,103
"May 17, 2020",1466,1089,377,1,104
"May 18, 2020",1466,27,1439,1,104
"May 19, 2020",1467,25,1442,1,104
"May 20, 2020",1468,23,1445,1,105
"May 21, 2020",1468,22,1446,0,106
