Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",710,708,2,null,0
"Feb 16, 2020",736,734,2,24,0
"Feb 17, 2020",764,762,2,25,0
"Feb 18, 2020",792,790,2,26,0
"Feb 19, 2020",810,808,2,26,0
"Feb 20, 2020",867,865,2,30,0
"Feb 21, 2020",929,927,2,36,0
"Feb 22, 2020",989,987,2,40,0
"Feb 23, 2020",1064,1062,2,47,0
"Feb 24, 2020",1172,1170,2,58,0
"Feb 25, 2020",1301,1299,2,73,0
"Feb 26, 2020",1448,1446,2,91,0
"Feb 27, 2020",1628,1626,2,109,0
"Feb 28, 2020",1945,1943,2,145,0
"Feb 29, 2020",2183,2181,2,170,0
"Mar 01, 2020",2859,2857,2,257,0
"Mar 02, 2020",3644,3642,2,353,0
"Mar 03, 2020",4420,4417,3,446,1
"Mar 04, 2020",5354,5350,4,558,2
"Mar 05, 2020",6610,6604,6,711,3
"Mar 06, 2020",8197,8183,14,893,8
"Mar 07, 2020",10011,9971,40,1119,10
"Mar 08, 2020",12154,12105,49,1328,17
"Mar 09, 2020",15482,15420,62,1691,30
"Mar 10, 2020",20050,19879,171,2233,36
"Mar 11, 2020",24670,24431,239,2759,56
"Mar 12, 2020",30471,30194,277,3409,88
"Mar 13, 2020",38098,37768,330,4271,137
"Mar 14, 2020",45374,44655,719,5052,202
"Mar 15, 2020",53120,52299,821,5852,304
"Mar 16, 2020",62370,61486,884,6699,354
"Mar 17, 2020",70987,69407,1580,7276,552
"Mar 18, 2020",79736,77994,1742,7867,661
"Mar 19, 2020",88180,86212,1968,8244,861
"Mar 20, 2020",98581,95860,2721,8641,1133
"Mar 21, 2020",105832,102276,3556,8636,1431
"Mar 22, 2020",112441,108030,4411,8475,1836
"Mar 23, 2020",120519,114769,5750,8307,2395
"Mar 24, 2020",127471,120577,6894,8069,3100
"Mar 25, 2020",134248,125101,9147,7787,3780
"Mar 26, 2020",140451,128912,11539,7468,4524
"Mar 27, 2020",146369,131687,14682,6827,5325
"Mar 28, 2020",151602,133117,18485,6538,6200
"Mar 29, 2020",155746,133986,21760,6187,7051
"Mar 30, 2020",160772,135995,24777,5750,7997
"Mar 31, 2020",165084,137053,28031,5373,8772
"Apr 01, 2020",170437,138061,32376,5170,9729
"Apr 02, 2020",174786,137318,37468,4905,10725
"Apr 03, 2020",179149,137030,42119,4683,11606
"Apr 04, 2020",182733,136132,46601,4447,12382
"Apr 05, 2020",185870,134689,51181,4304,13101
"Apr 06, 2020",189325,135062,54263,4079,13826
"Apr 07, 2020",192444,134680,57764,3908,14556
"Apr 08, 2020",195838,132487,63351,3629,15330
"Apr 09, 2020",199046,130872,68174,3466,16009
"Apr 10, 2020",202146,129812,72334,3285,16666
"Apr 11, 2020",204964,128645,76319,3176,17210
"Apr 12, 2020",207180,126954,80226,3044,17835
"Apr 13, 2020",209326,126197,83129,2857,18402
"Apr 14, 2020",211534,125111,86423,2728,18919
"Apr 15, 2020",213869,123520,90349,2575,19496
"Apr 16, 2020",216111,121488,94623,2438,19826
"Apr 17, 2020",217982,122998,94984,2263,20187
"Apr 18, 2020",219618,122854,96764,2093,20773
"Apr 19, 2020",220740,119659,101081,1937,21198
"Apr 20, 2020",222193,118687,103506,1838,21612
"Apr 21, 2020",223498,117502,105996,1709,22058
"Apr 22, 2020",224947,115206,109741,1583,22509
"Apr 23, 2020",226114,112388,113726,1429,22965
"Apr 24, 2020",227215,94741,132474,1319,23345
"Apr 25, 2020",227966,90667,137299,1193,23737
"Apr 26, 2020",228517,86755,141762,1111,24035
"Apr 27, 2020",229216,84006,145210,1003,24378
"Apr 28, 2020",230054,81461,148593,936,24690
"Apr 29, 2020",230796,72708,158088,836,25159
"Apr 30, 2020",231531,68139,163392,774,25437
"May 01, 2020",232272,64103,168169,722,25728
"May 02, 2020",232921,60652,172269,708,26014
"May 03, 2020",233369,58627,174742,693,26184
"May 04, 2020",233889,55902,177987,668,26354
"May 05, 2020",234213,52949,181264,594,26546
"May 06, 2020",234522,48364,186158,532,26799
"May 07, 2020",234847,43908,190939,474,27020
"May 08, 2020",235164,39499,195665,413,27257
