Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",15,5,10,null,0
"Feb 16, 2020",15,5,10,0,0
"Feb 17, 2020",15,5,10,0,0
"Feb 18, 2020",15,5,10,0,0
"Feb 19, 2020",15,5,10,0,0
"Feb 20, 2020",17,6,11,0,0
"Feb 21, 2020",19,8,11,1,0
"Feb 22, 2020",21,10,11,1,0
"Feb 23, 2020",22,11,11,1,0
"Feb 24, 2020",22,11,11,1,0
"Feb 25, 2020",22,7,15,1,0
"Feb 26, 2020",23,8,15,1,0
"Feb 27, 2020",23,8,15,1,0
"Feb 28, 2020",25,10,15,1,0
"Feb 29, 2020",25,10,15,0,0
"Mar 01, 2020",29,13,16,1,1
"Mar 02, 2020",33,17,16,2,1
"Mar 03, 2020",39,17,22,2,1
"Mar 04, 2020",53,30,23,4,2
"Mar 05, 2020",60,36,24,6,2
"Mar 06, 2020",63,39,24,5,2
"Mar 07, 2020",74,49,25,7,3
"Mar 08, 2020",83,58,25,8,3
"Mar 09, 2020",93,68,25,8,3
"Mar 10, 2020",116,91,25,11,3
"Mar 11, 2020",128,101,27,11,3
"Mar 12, 2020",156,127,29,14,3
"Mar 13, 2020",198,169,29,19,3
"Mar 14, 2020",245,215,30,25,3
"Mar 15, 2020",295,263,32,30,5
"Mar 16, 2020",394,362,32,43,5
"Mar 17, 2020",446,414,32,47,5
"Mar 18, 2020",583,534,49,65,6
"Mar 19, 2020",739,686,53,83,7
"Mar 20, 2020",907,854,53,102,7
"Mar 21, 2020",1047,994,53,114,7
"Mar 22, 2020",1569,1475,94,182,7
"Mar 23, 2020",1839,1715,124,207,7
"Mar 24, 2020",2257,2132,125,258,8
"Mar 25, 2020",2606,2478,128,289,11
"Mar 26, 2020",2970,2790,180,319,13
"Mar 27, 2020",3289,3109,180,340,13
"Mar 28, 2020",3539,3358,181,356,14
"Mar 29, 2020",4052,3796,256,355,17
"Mar 30, 2020",4341,4083,258,357,19
"Mar 31, 2020",4636,4278,358,340,20
"Apr 01, 2020",4913,4552,361,330,23
"Apr 02, 2020",5171,4574,597,314,25
"Apr 03, 2020",5307,4707,600,289,28
"Apr 04, 2020",5401,4799,602,266,30
"Apr 05, 2020",5595,4503,1092,220,37
"Apr 06, 2020",5736,3317,2419,199,45
"Apr 07, 2020",5827,3292,2535,170,49
"Apr 08, 2020",5889,3068,2821,140,50
"Apr 09, 2020",5987,2973,3014,116,51
"Apr 10, 2020",6071,2928,3143,110,54
"Apr 11, 2020",6134,2888,3246,104,56
"Apr 12, 2020",6144,2837,3307,79,59
"Apr 13, 2020",6189,2719,3470,64,61
"Apr 14, 2020",6229,2664,3565,58,61
"Apr 15, 2020",6274,2608,3666,55,63
"Apr 16, 2020",6295,2580,3715,44,63
"Apr 17, 2020",6358,2556,3802,41,65
"Apr 18, 2020",6409,2255,4154,39,70
"Apr 19, 2020",6435,2235,4200,42,71
"Apr 20, 2020",6448,2203,4245,37,71
"Apr 21, 2020",6468,1812,4656,34,71
"Apr 22, 2020",6472,1583,4889,28,74
"Apr 23, 2020",6490,1481,5009,28,75
"Apr 24, 2020",6498,1406,5092,20,79
"Apr 25, 2020",6518,1189,5329,16,80
"Apr 26, 2020",6539,1042,5497,14,83
"Apr 27, 2020",6543,1005,5538,14,83
"Apr 28, 2020",6561,970,5591,13,88
"Apr 29, 2020",6569,944,5625,14,89
"Apr 30, 2020",6577,904,5673,13,92
"May 01, 2020",6590,885,5705,13,93
"May 02, 2020",6604,854,5750,12,93
"May 03, 2020",6624,849,5775,12,95
"May 04, 2020",6648,828,5820,15,95
"May 05, 2020",6672,823,5849,16,96
"May 06, 2020",6698,755,5943,18,97
"May 07, 2020",6719,726,5993,21,97
"May 08, 2020",6737,702,6035,21,97
"May 09, 2020",6752,662,6090,21,97
"May 10, 2020",6764,645,6119,20,97
"May 11, 2020",6771,636,6135,17,97
"May 12, 2020",6787,608,6179,17,97
"May 13, 2020",6803,578,6225,15,98
"May 14, 2020",6812,567,6245,13,98
"May 15, 2020",6842,560,6282,15,98
"May 16, 2020",6859,548,6311,15,98
"May 17, 2020",6868,553,6315,15,98
"May 18, 2020",6883,535,6348,16,99
"May 19, 2020",6891,523,6368,15,100
"May 20, 2020",6902,500,6402,14,100
"May 21, 2020",6904,477,6427,13,100
"May 22, 2020",6918,481,6437,11,101
"May 23, 2020",6934,477,6457,11,102
"May 24, 2020",6937,470,6467,10,102
"May 25, 2020",6941,451,6490,8,102
"May 26, 2020",6956,445,6511,9,102
"May 27, 2020",6962,436,6526,9,102
"May 28, 2020",6973,439,6534,10,102
"May 29, 2020",6996,453,6543,11,102
"May 30, 2020",7008,439,6569,11,102
"May 31, 2020",7018,444,6574,11,102
"Jun 01, 2020",7027,448,6579,12,102
"Jun 02, 2020",7044,460,6584,13,102
"Jun 03, 2020",7052,452,6600,13,102
"Jun 04, 2020",7063,436,6627,13,102
"Jun 05, 2020",7074,431,6643,11,102
"Jun 06, 2020",7078,425,6653,10,102
"Jun 07, 2020",7083,418,6665,9,102
"Jun 08, 2020",7088,421,6667,9,102
"Jun 09, 2020",7090,410,6680,6,102
"Jun 10, 2020",7099,395,6704,7,102
"Jun 11, 2020",7108,288,6820,7,102
"Jun 12, 2020",7113,125,6988,5,102
"Jun 13, 2020",7125,118,7007,7,102
"Jun 14, 2020",7143,109,7034,8,102
"Jun 15, 2020",7158,112,7046,10,102
"Jun 16, 2020",7170,117,7053,12,102
"Jun 17, 2020",7193,135,7058,13,102
"Jun 18, 2020",7214,149,7065,15,102
"Jun 19, 2020",7232,162,7070,17,102
"Jun 20, 2020",7259,181,7078,20,102
"Jun 21, 2020",7284,197,7087,20,102
"Jun 22, 2020",7297,203,7094,20,102
"Jun 23, 2020",7315,207,7108,20,102
"Jun 24, 2020",7344,227,7117,22,103
"Jun 25, 2020",7381,158,7223,24,104
"Jun 26, 2020",7418,179,7239,26,104
"Jun 27, 2020",7463,200,7263,29,104
"Jun 28, 2020",7507,227,7280,32,104
"Jun 29, 2020",7586,284,7302,42,104
"Jun 30, 2020",7653,315,7338,48,104
"Jul 01, 2020",7735,362,7373,56,104
"Jul 02, 2020",7814,405,7409,62,104
"Jul 03, 2020",8061,430,7631,91,104
"Jul 04, 2020",8166,494,7672,101,104
"Jul 05, 2020",8251,534,7717,106,104
"Jul 06, 2020",8385,636,7749,114,106
"Jul 07, 2020",8550,760,7790,128,106
"Jul 08, 2020",8678,849,7829,135,106
"Jul 09, 2020",8846,920,7926,148,106
"Jul 10, 2020",9138,1160,7978,153,106
"Jul 11, 2020",9326,1237,8089,166,107
"Jul 12, 2020",9562,1468,8094,187,108
"Jul 13, 2020",9741,1601,8140,194,108
"Jul 14, 2020",10003,1798,8205,208,108
"Jul 15, 2020",10233,1939,8294,222,111
"Jul 16, 2020",10548,2134,8414,243,113
"Jul 17, 2020",10961,2462,8499,260,116
"Jul 18, 2020",11161,2612,8549,263,118
"Jul 19, 2020",11512,2844,8668,278,122
"Jul 20, 2020",11771,2926,8845,290,123
"Jul 21, 2020",12120,3159,8961,303,126
"Jul 22, 2020",12576,3428,9148,334,128
"Jul 23, 2020",12976,3655,9321,347,133
"Jul 24, 2020",13257,3762,9495,328,139
"Jul 25, 2020",13602,4017,9585,349,145
"Jul 26, 2020",14043,4258,9785,361,156
"Jul 27, 2020",14560,4563,9997,399,162
"Jul 28, 2020",14919,4803,10116,400,168
"Jul 29, 2020",15189,4883,10306,373,178
"Jul 30, 2020",15890,5432,10458,416,192
"Jul 31, 2020",16476,5794,10682,460,200
"Aug 01, 2020",16843,5979,10864,463,204
"Aug 02, 2020",17467,6383,11084,489,211
"Aug 03, 2020",17852,6553,11299,471,225
"Aug 04, 2020",18254,6770,11484,476,237
"Aug 05, 2020",18949,7280,11669,537,253
"Aug 06, 2020",19355,7503,11852,495,261
"Aug 07, 2020",19755,7689,12066,469,273
"Aug 08, 2020",20169,7849,12320,475,286
"Aug 09, 2020",20545,7892,12653,439,304
"Aug 10, 2020",20850,7907,12943,429,323
"Aug 11, 2020",21158,7927,13231,415,342
"Aug 12, 2020",21562,7926,13636,373,364
"Aug 13, 2020",21787,7908,13879,347,374
"Aug 14, 2020",22162,7916,14246,344,389
"Aug 15, 2020",22446,7910,14536,325,393
"Aug 16, 2020",22692,7701,14991,307,411
"Aug 17, 2020",22955,7499,15456,301,437
"Aug 18, 2020",23163,7289,15874,286,455
"Aug 19, 2020",23377,7168,16209,260,468
"Aug 20, 2020",23613,4918,18695,260,482
"Aug 21, 2020",23780,4475,19305,232,492
"Aug 22, 2020",23969,4353,19616,217,506
"Aug 23, 2020",24173,4065,20108,212,524
"Aug 24, 2020",24275,3780,20495,188,540
"Aug 25, 2020",24409,3688,20721,178,548
"Aug 26, 2020",24556,3515,21041,169,573
"Aug 27, 2020",24671,3327,21344,151,597
"Aug 28, 2020",24794,3160,21634,145,609
"Aug 29, 2020",24891,3018,21873,131,627
"Aug 30, 2020",25011,2868,22143,120,639
"Aug 31, 2020",25085,2651,22434,116,683
"Sep 01, 2020",25156,2554,22602,107,688
