Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",1,1,0,null,0
"Feb 26, 2020",1,1,0,null,0
"Feb 27, 2020",1,1,0,null,0
"Feb 28, 2020",3,3,0,null,0
"Feb 29, 2020",7,7,0,1,0
"Mar 01, 2020",8,8,0,1,0
"Mar 02, 2020",12,12,0,2,0
"Mar 03, 2020",17,17,0,2,0
"Mar 04, 2020",23,23,0,3,0
"Mar 05, 2020",37,35,2,5,0
"Mar 06, 2020",46,44,2,6,0
"Mar 07, 2020",75,73,2,10,0
"Mar 08, 2020",98,96,2,13,0
"Mar 09, 2020",126,124,2,16,0
"Mar 10, 2020",148,146,2,19,0
"Mar 11, 2020",203,200,3,26,0
"Mar 12, 2020",311,306,5,39,1
"Mar 13, 2020",407,399,8,51,1
"Mar 14, 2020",588,580,8,74,1
"Mar 15, 2020",771,759,12,96,2
"Mar 16, 2020",941,924,17,116,3
"Mar 17, 2020",976,945,31,119,6
"Mar 18, 2020",1016,982,34,116,7
"Mar 19, 2020",1045,1006,39,105,10
"Mar 20, 2020",1079,1034,45,96,12
"Mar 21, 2020",1132,1079,53,77,15
"Mar 22, 2020",1214,1149,65,64,18
"Mar 23, 2020",1288,1210,78,49,22
"Mar 24, 2020",1841,1704,137,124,30
"Mar 25, 2020",2486,2274,212,210,38
"Mar 26, 2020",3154,2869,285,301,44
"Mar 27, 2020",4162,3776,386,440,53
"Mar 28, 2020",4946,4390,556,545,66
"Mar 29, 2020",5556,4876,680,621,78
"Mar 30, 2020",6100,5291,809,687,91
"Mar 31, 2020",6764,5776,988,703,109
"Apr 01, 2020",7311,6155,1156,690,124
"Apr 02, 2020",7857,6560,1297,671,135
"Apr 03, 2020",8290,6799,1491,590,153
"Apr 04, 2020",8699,6950,1749,536,169
"Apr 05, 2020",8947,6882,2065,485,187
"Apr 06, 2020",9130,6840,2290,433,207
"Apr 07, 2020",9433,6649,2784,381,235
"Apr 08, 2020",9721,6547,3174,344,261
"Apr 09, 2020",10008,6316,3692,307,277
"Apr 10, 2020",10284,6073,4211,285,299
"Apr 11, 2020",10641,5876,4765,278,320
"Apr 12, 2020",10844,5698,5146,271,337
"Apr 13, 2020",10955,5509,5446,260,348
"Apr 14, 2020",11042,5290,5752,230,369
"Apr 15, 2020",11191,4937,6254,210,381
"Apr 16, 2020",11319,4600,6719,188,397
"Apr 17, 2020",11431,4284,7147,163,417
"Apr 18, 2020",11530,3994,7536,127,431
"Apr 19, 2020",11589,3799,7790,107,448
"Apr 20, 2020",11636,3680,7956,97,465
"Apr 21, 2020",11701,3372,8329,94,474
"Apr 22, 2020",11771,3022,8749,83,491
"Apr 23, 2020",11841,2845,8996,75,503
"Apr 24, 2020",11901,2667,9234,67,510
"Apr 25, 2020",11980,2510,9470,64,516
"Apr 26, 2020",12042,2430,9612,65,529
"Apr 27, 2020",12078,2357,9721,63,538
"Apr 28, 2020",12146,2235,9911,64,544
"Apr 29, 2020",12195,2120,10075,60,558
"Apr 30, 2020",12255,2017,10238,59,565
"May 01, 2020",12309,1880,10429,59,572
"May 02, 2020",12346,1809,10537,52,576
"May 03, 2020",12374,1756,10618,47,579
"May 04, 2020",12386,1704,10682,44,587
"May 05, 2020",12416,1592,10824,39,591
"May 06, 2020",12470,1529,10941,39,594
"May 07, 2020",12516,1463,11053,37,601
"May 08, 2020",12556,1392,11164,36,604
"May 09, 2020",12605,1286,11319,37,609
"May 10, 2020",12635,1243,11392,37,616
"May 11, 2020",12650,1203,11447,38,619
"May 12, 2020",12715,1180,11535,42,622
"May 13, 2020",12753,1135,11618,41,623
"May 14, 2020",12805,1113,11692,41,626
"May 15, 2020",12859,1095,11764,43,629
"May 16, 2020",12934,1107,11827,47,629
"May 17, 2020",12949,1071,11878,45,630
