Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",1,0,1,null,0
"Feb 16, 2020",1,0,1,0,0
"Feb 17, 2020",1,0,1,0,0
"Feb 18, 2020",1,0,1,0,0
"Feb 19, 2020",1,0,1,0,0
"Feb 20, 2020",1,0,1,0,0
"Feb 21, 2020",1,0,1,0,0
"Feb 22, 2020",1,0,1,0,0
"Feb 23, 2020",1,0,1,0,0
"Feb 24, 2020",1,0,1,0,0
"Feb 25, 2020",1,0,1,0,0
"Feb 26, 2020",1,0,1,0,0
"Feb 27, 2020",1,0,1,0,0
"Feb 28, 2020",1,0,1,0,0
"Feb 29, 2020",2,1,1,0,0
"Mar 01, 2020",19,18,1,3,0
"Mar 02, 2020",38,37,1,5,0
"Mar 03, 2020",72,71,1,10,0
"Mar 04, 2020",125,124,1,18,0
"Mar 05, 2020",206,205,1,29,0
"Mar 06, 2020",316,315,1,45,0
"Mar 07, 2020",343,342,1,49,0
"Mar 08, 2020",407,406,1,55,0
"Mar 09, 2020",501,500,1,66,0
"Mar 10, 2020",600,599,1,76,0
"Mar 11, 2020",774,772,2,93,1
"Mar 12, 2020",1024,1019,5,116,4
"Mar 13, 2020",1362,1356,6,150,5
"Mar 14, 2020",1541,1532,9,171,8
"Mar 15, 2020",1755,1741,14,193,13
"Mar 16, 2020",2142,2109,33,234,19
"Mar 17, 2020",2564,2503,61,281,30
"Mar 18, 2020",3098,2893,205,332,40
"Mar 19, 2020",3811,3606,205,398,1
"Mar 20, 2020",4473,4208,265,444,2
"Mar 21, 2020",4942,4674,268,486,5
"Mar 22, 2020",5428,5019,409,525,8
"Mar 23, 2020",6756,6280,476,659,15
"Mar 24, 2020",7951,7382,569,769,22
"Mar 25, 2020",9150,8442,708,865,33
"Mar 26, 2020",10513,9607,906,957,48
"Mar 27, 2020",12031,10895,1136,1080,73
"Mar 28, 2020",12875,11408,1467,1133,108
"Mar 29, 2020",13558,11883,1675,1162,148
