Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",8,7,1,null,0
"Feb 16, 2020",8,7,1,0,0
"Feb 17, 2020",8,7,1,1,0
"Feb 18, 2020",8,7,1,0,0
"Feb 19, 2020",8,7,1,0,0
"Feb 20, 2020",8,6,2,0,0
"Feb 21, 2020",9,6,3,0,0
"Feb 22, 2020",9,6,3,0,0
"Feb 23, 2020",10,7,3,1,0
"Feb 24, 2020",11,8,3,0,0
"Feb 25, 2020",11,8,3,0,0
"Feb 26, 2020",12,9,3,1,0
"Feb 27, 2020",14,11,3,1,0
"Feb 28, 2020",15,12,3,1,0
"Feb 29, 2020",20,16,4,1,0
"Mar 01, 2020",24,20,4,2,0
"Mar 02, 2020",27,20,7,3,0
"Mar 03, 2020",30,23,7,2,0
"Mar 04, 2020",34,27,7,3,0
"Mar 05, 2020",37,29,8,4,0
"Mar 06, 2020",54,46,8,5,0
"Mar 07, 2020",60,52,8,6,0
"Mar 08, 2020",66,58,8,6,0
"Mar 09, 2020",77,68,9,7,1
"Mar 10, 2020",95,86,9,9,1
"Mar 11, 2020",110,100,10,11,1
"Mar 12, 2020",142,130,12,15,1
"Mar 13, 2020",198,186,12,21,1
"Mar 14, 2020",252,240,12,27,1
"Mar 15, 2020",341,329,12,40,1
"Mar 16, 2020",441,429,12,52,1
"Mar 17, 2020",598,582,16,71,4
"Mar 18, 2020",727,708,19,89,7
"Mar 19, 2020",873,853,20,104,8
"Mar 20, 2020",1087,1063,24,127,10
"Mar 21, 2020",1328,1303,25,154,11
"Mar 22, 2020",1470,1441,29,161,15
"Mar 23, 2020",2091,1964,127,236,15
"Mar 24, 2020",2792,2662,130,313,18
"Mar 25, 2020",3409,3205,204,383,19
"Mar 26, 2020",4043,3793,250,453,22
"Mar 27, 2020",4757,4379,378,524,24
"Mar 28, 2020",5655,5224,431,619,35
"Mar 29, 2020",6320,5706,614,692,41
"Mar 30, 2020",7448,6313,1135,766,42
"Mar 31, 2020",8612,7314,1298,831,56
"Apr 01, 2020",9731,7932,1799,903,63
"Apr 02, 2020",11283,9232,2051,1035,72
"Apr 03, 2020",12375,10051,2324,1088,138
"Apr 04, 2020",13912,11130,2782,1179,187
"Apr 05, 2020",15512,12339,3173,1314,231
"Apr 06, 2020",16667,12771,3896,1317,280
"Apr 07, 2020",17897,13546,4351,1326,323
"Apr 08, 2020",19438,14511,4927,1387,379
"Apr 09, 2020",20765,15020,5745,1354,434
"Apr 10, 2020",22148,15627,6521,1396,508
"Apr 11, 2020",23318,16322,6996,1344,568
"Apr 12, 2020",24383,16559,7824,1267,652
"Apr 13, 2020",25680,17208,8472,1288,716
"Apr 14, 2020",27063,18049,9014,1309,779
"Apr 15, 2020",28379,18498,9881,1278,902
"Apr 16, 2020",30106,19368,10738,1334,1009
"Apr 17, 2020",31927,20193,11734,1397,1191
"Apr 18, 2020",33383,20870,12513,1438,1306
"Apr 19, 2020",35056,21749,13307,1525,1464
"Apr 20, 2020",36829,22666,14163,1592,1577
"Apr 21, 2020",38422,23547,14875,1623,1687
"Apr 22, 2020",40190,24373,15817,1687,1831
"Apr 23, 2020",42110,25378,16732,1715,1971
"Apr 24, 2020",43888,26276,17612,1709,2143
"Apr 25, 2020",45354,26630,18724,1710,2299
"Apr 26, 2020",46895,27113,19782,1691,2461
"Apr 27, 2020",48500,27677,20823,1668,2555
"Apr 28, 2020",50026,28135,21891,1657,2701
"Apr 29, 2020",51597,28417,23180,1630,2853
"Apr 30, 2020",53236,28823,24413,1589,2990
"May 01, 2020",55061,29134,25927,1597,3176
"May 02, 2020",56714,29531,27183,1622,3382
"May 03, 2020",59474,31010,28464,1797,3556
"May 04, 2020",60772,31084,29688,1754,3671
"May 05, 2020",62046,31210,30836,1717,3843
"May 06, 2020",63496,31294,32202,1700,4031
"May 07, 2020",64922,31730,33192,1669,4220
"May 08, 2020",66434,31633,34801,1625,4395
"May 09, 2020",67702,31897,35805,1569,4556
"May 10, 2020",68848,32073,36775,1340,4679
"May 11, 2020",69981,32130,37851,1315,4857
"May 12, 2020",71157,32136,39021,1302,4979
"May 13, 2020",72278,31959,40319,1254,5155
"May 14, 2020",73401,32022,41379,1212,5288
"May 15, 2020",74613,32262,42351,1168,5456
"May 16, 2020",75864,32499,43365,1166,5546
"May 17, 2020",77002,32789,44213,1165,5663
"May 18, 2020",78072,33078,44994,1156,5766
"May 19, 2020",79112,33236,45876,1136,5826
"May 20, 2020",80142,33471,46671,1124,5895
"May 21, 2020",81324,33596,47728,1131,6013
"May 22, 2020",82480,33751,48729,1124,6135
"May 23, 2020",83621,34084,49537,1108,6232
"May 24, 2020",84699,34379,50320,1100,6335
"May 25, 2020",85711,34669,51042,1091,6404
"May 26, 2020",86647,34783,51864,1077,6525
"May 27, 2020",87519,34736,52783,1054,6619
"May 28, 2020",88512,34927,53585,1026,6745
"May 29, 2020",89418,35043,54375,992,6857
"May 30, 2020",90190,35128,55062,938,6959
"May 31, 2020",90947,35015,55932,893,7053
"Jun 01, 2020",91705,34704,57001,856,7275
"Jun 02, 2020",92410,34747,57663,823,7306
"Jun 03, 2020",93085,34662,58423,795,7375
"Jun 04, 2020",93726,34509,59217,745,7478
"Jun 05, 2020",94335,34150,60185,703,7617
"Jun 06, 2020",95057,33760,61297,695,7683
"Jun 07, 2020",95699,33716,61983,679,7750
"Jun 08, 2020",96244,33468,62776,648,7776
"Jun 09, 2020",96653,33270,63383,606,7811
"Jun 10, 2020",97125,32615,64510,577,7871
"Jun 11, 2020",97530,31939,65591,544,7933
"Jun 12, 2020",97943,31452,66491,515,7968
"Jun 13, 2020",98410,31035,67375,479,8021
"Jun 14, 2020",98787,30436,68351,441,8079
"Jun 15, 2020",99147,29987,69160,415,8118
"Jun 16, 2020",99467,29877,69590,402,8147
"Jun 17, 2020",99853,29651,70202,390,8185
"Jun 18, 2020",100220,29498,70722,384,8226
"Jun 19, 2020",100629,29354,71275,384,8272
"Jun 20, 2020",101019,29213,71806,373,8318
"Jun 21, 2020",101337,29070,72267,364,8381
"Jun 22, 2020",101637,28905,72732,356,8398
"Jun 23, 2020",101963,28855,73108,356,8404
"Jun 24, 2020",102242,28729,73513,341,8422
"Jun 25, 2020",102622,28746,73876,344,8451
"Jun 26, 2020",102794,28597,74197,309,8471
"Jun 27, 2020",103032,28584,74448,287,8475
"Jun 28, 2020",103250,28577,74673,274,8482
"Jun 29, 2020",103918,28252,75666,326,8488
"Jun 30, 2020",104204,28078,76126,320,8532
"Jul 01, 2020",104271,27971,76300,290,8556
"Jul 02, 2020",104772,27866,76906,307,8559
"Jul 03, 2020",105091,27792,77299,328,8606
"Jul 04, 2020",105317,27700,77617,326,8627
"Jul 05, 2020",105536,27659,77877,327,8638
"Jul 06, 2020",105935,27717,78218,288,8648
"Jul 07, 2020",106167,27627,78540,280,8657
"Jul 08, 2020",106434,27512,78922,309,8675
"Jul 09, 2020",106805,27530,79275,291,8701
"Jul 10, 2020",107126,27513,79613,291,8712
"Jul 11, 2020",107347,27358,79989,290,8723
"Jul 12, 2020",107590,27386,80204,293,8737
"Jul 13, 2020",108155,27567,80588,317,8747
"Jul 14, 2020",108486,27563,80923,331,8753
"Jul 15, 2020",108829,27583,81246,343,8761
"Jul 16, 2020",109264,27655,81609,351,8773
"Jul 17, 2020",109669,4190,105479,363,8790
"Jul 18, 2020",109999,4283,105716,379,8802
"Jul 19, 2020",110338,4476,105862,393,8811
"Jul 20, 2020",111124,4835,106289,424,8815
"Jul 21, 2020",111697,5119,106578,458,8821
"Jul 22, 2020",112240,5273,106967,488,8825
"Jul 23, 2020",112672,5320,107352,487,8833
"Jul 24, 2020",113206,5496,107710,505,8837
"Jul 25, 2020",113556,5597,107959,508,8844
"Jul 26, 2020",113911,5708,108203,510,8848
"Jul 27, 2020",114597,5885,108712,497,8852
"Jul 28, 2020",114994,5997,108997,471,8863
"Jul 29, 2020",115470,6131,109339,461,8874
"Jul 30, 2020",115799,6056,109743,447,8881
"Jul 31, 2020",116312,6194,110118,443,8891
"Aug 01, 2020",116599,6266,110333,435,8897
"Aug 02, 2020",116884,6407,110477,425,8903
"Aug 03, 2020",117031,6527,110504,348,8907
"Aug 04, 2020",117792,6433,111359,399,8909
"Aug 05, 2020",118187,6479,111708,388,8920
"Aug 06, 2020",118561,6531,112030,395,8924
"Aug 07, 2020",118985,6622,112363,382,8928
"Aug 08, 2020",119221,6723,112498,374,8932
"Aug 09, 2020",119451,6785,112666,367,8938
"Aug 10, 2020",120132,4834,115298,443,8943
"Aug 11, 2020",120421,4726,115695,376,8949
"Aug 12, 2020",120844,4743,116101,379,8953
"Aug 13, 2020",121234,4713,116521,382,8968
"Aug 14, 2020",121652,4733,116919,381,8977
"Aug 15, 2020",121889,4689,117200,381,8982
"Aug 16, 2020",122087,4617,117470,377,8986
"Aug 17, 2020",122872,4825,118047,391,8988
"Aug 18, 2020",123154,4803,118351,391,8994
"Aug 19, 2020",123490,4661,118829,378,9007
"Aug 20, 2020",123873,4573,119300,377,9012
"Aug 21, 2020",124372,4708,119664,388,9016
"Aug 22, 2020",124629,4725,119904,392,9026
"Aug 23, 2020",124896,4751,120145,401,9033
"Aug 24, 2020",125647,4918,120729,396,9035
"Aug 25, 2020",125969,4874,121095,403,9045
"Aug 26, 2020",126417,4910,121507,418,9052
"Aug 27, 2020",126848,4967,121881,425,9056
"Aug 28, 2020",127358,5060,122298,426,9064
"Aug 29, 2020",127673,5097,122576,435,9075
"Aug 30, 2020",127940,5201,122739,435,9075
"Aug 31, 2020",128948,5642,123306,472,9079
"Sep 01, 2020",129425,5730,123695,493,9088
"Sep 02, 2020",129923,5779,124144,501,9094
"Sep 03, 2020",130493,5952,124541,521,9097
"Sep 04, 2020",131124,6095,125029,538,9103
"Sep 05, 2020",131495,6255,125240,546,9104
"Sep 06, 2020",131895,6432,125463,565,9106
"Sep 07, 2020",132142,6576,125566,456,9107
"Sep 08, 2020",133748,7075,126673,618,9108
"Sep 09, 2020",134294,6908,127386,624,9115
"Sep 10, 2020",134924,6817,128107,633,9117
"Sep 11, 2020",135626,6827,128799,643,9125
"Sep 12, 2020",136141,6940,129201,664,9126
"Sep 13, 2020",136659,7096,129563,681,9132
"Sep 14, 2020",138010,7653,130357,838,9133
"Sep 15, 2020",138803,7822,130981,722,9141
