Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",1,1,0,null,0
"Feb 28, 2020",2,2,0,null,0
"Feb 29, 2020",3,3,0,null,0
"Mar 01, 2020",4,4,0,0,0
"Mar 02, 2020",4,4,0,1,0
"Mar 03, 2020",10,10,0,1,0
"Mar 04, 2020",14,14,0,2,0
"Mar 05, 2020",19,18,1,3,0
"Mar 06, 2020",21,20,1,3,0
"Mar 07, 2020",27,26,1,3,0
"Mar 08, 2020",35,34,1,5,0
"Mar 09, 2020",90,89,1,12,0
"Mar 10, 2020",262,261,1,36,0
"Mar 11, 2020",514,513,1,71,0
"Mar 12, 2020",674,673,1,94,0
"Mar 13, 2020",804,803,1,112,0
"Mar 14, 2020",836,834,2,115,1
"Mar 15, 2020",864,861,3,119,2
"Mar 16, 2020",914,909,5,117,4
"Mar 17, 2020",977,972,5,103,4
"Mar 18, 2020",1057,1052,5,77,4
"Mar 19, 2020",1151,1144,7,68,6
"Mar 20, 2020",1255,1245,10,65,9
"Mar 21, 2020",1326,1312,14,70,13
"Mar 22, 2020",1395,1381,14,76,13
"Mar 23, 2020",1460,1435,25,78,24
"Mar 24, 2020",1591,1558,33,87,32
"Mar 25, 2020",1724,1689,35,96,34
"Mar 26, 2020",1877,1835,42,103,41
"Mar 27, 2020",2046,1993,53,113,52
"Mar 28, 2020",2201,2135,66,125,65
"Mar 29, 2020",2395,2322,73,143,72
"Mar 30, 2020",2577,2499,78,160,77
"Mar 31, 2020",2860,2769,91,181,90
"Apr 01, 2020",3107,2109,998,198,104
"Apr 02, 2020",3386,2173,1213,215,124
"Apr 03, 2020",3757,2424,1333,245,140
"Apr 04, 2020",4077,2631,1446,268,163
"Apr 05, 2020",4369,2860,1509,282,182
"Apr 06, 2020",4681,3113,1568,300,190
"Apr 07, 2020",5071,3374,1697,316,206
"Apr 08, 2020",5402,3560,1842,328,221
"Apr 09, 2020",5635,3658,1977,321,241
"Apr 10, 2020",5819,3795,2024,295,251
"Apr 11, 2020",5996,3777,2219,274,264
"Apr 12, 2020",6174,3774,2400,258,277
"Apr 13, 2020",6318,3794,2524,234,289
"Apr 14, 2020",6511,3693,2818,205,303
"Apr 15, 2020",6681,3620,3061,183,313
"Apr 16, 2020",6879,3531,3348,178,325
"Apr 17, 2020",7073,3344,3729,179,340
"Apr 18, 2020",7242,3045,4197,178,350
"Apr 19, 2020",7384,2884,4500,173,359
"Apr 20, 2020",7515,2835,4680,171,368
"Apr 21, 2020",7695,2621,5074,169,374
"Apr 22, 2020",7912,2437,5475,176,388
"Apr 23, 2020",8073,2291,5782,170,398
"Apr 24, 2020",8210,2277,5933,163,407
"Apr 25, 2020",8445,2354,6091,172,422
"Apr 26, 2020",8575,2344,6231,170,426
"Apr 27, 2020",8698,2308,6390,169,431
"Apr 28, 2020",8851,2292,6559,165,438
"Apr 29, 2020",9008,2195,6813,156,447
"Apr 30, 2020",9158,2156,7002,155,456
"May 01, 2020",9311,2118,7193,158,464
"May 02, 2020",9407,2039,7368,137,479
"May 03, 2020",9523,2048,7475,136,488
"May 04, 2020",9670,2085,7585,138,497
"May 05, 2020",9821,2018,7803,139,507
"May 06, 2020",9938,1935,8003,133,510
"May 07, 2020",10083,1854,8229,132,518
"May 08, 2020",10218,1765,8453,130,526
"May 09, 2020",10319,1696,8623,130,530
"May 10, 2020",10429,1681,8748,129,531
"May 11, 2020",10513,1654,8859,121,531
"May 12, 2020",10591,1480,9111,110,531
"May 13, 2020",10667,1467,9200,104,537
"May 14, 2020",10713,1367,9346,90,541
"May 15, 2020",10791,1291,9500,82,541
"May 16, 2020",10858,1204,9654,77,547
"May 17, 2020",10927,1149,9778,71,551
