Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",1,0,1,null,0
"Feb 16, 2020",1,0,1,0,0
"Feb 17, 2020",1,0,1,0,0
"Feb 18, 2020",1,0,1,0,0
"Feb 19, 2020",1,0,1,0,0
"Feb 20, 2020",1,0,1,0,0
"Feb 21, 2020",2,1,1,0,0
"Feb 22, 2020",2,1,1,0,0
"Feb 23, 2020",2,1,1,0,0
"Feb 24, 2020",2,1,1,1,0
"Feb 25, 2020",3,2,1,0,0
"Feb 26, 2020",4,3,1,0,0
"Feb 27, 2020",7,6,1,1,0
"Feb 28, 2020",8,7,1,1,0
"Feb 29, 2020",9,8,1,1,0
"Mar 01, 2020",9,8,1,1,0
"Mar 02, 2020",13,12,1,2,0
"Mar 03, 2020",19,18,1,2,0
"Mar 04, 2020",20,19,1,2,0
"Mar 05, 2020",27,25,2,3,1
"Mar 06, 2020",34,32,2,4,1
"Mar 07, 2020",43,41,2,5,1
"Mar 08, 2020",60,58,2,7,1
"Mar 09, 2020",114,112,2,14,1
"Mar 10, 2020",191,189,2,25,1
"Mar 11, 2020",251,249,2,33,1
"Mar 12, 2020",281,278,3,36,2
"Mar 13, 2020",310,306,4,40,3
"Mar 14, 2020",361,348,13,45,3
"Mar 15, 2020",411,397,14,50,4
"Mar 16, 2020",456,440,16,49,6
"Mar 17, 2020",546,530,16,51,6
"Mar 18, 2020",645,628,17,56,7
"Mar 19, 2020",732,714,18,64,8
"Mar 20, 2020",819,799,20,73,10
"Mar 21, 2020",897,876,21,77,11
"Mar 22, 2020",982,957,25,81,15
"Mar 23, 2020",1081,1055,26,90,16
"Mar 24, 2020",1185,1154,31,91,21
"Mar 25, 2020",1298,1263,35,93,25
"Mar 26, 2020",1392,1355,37,94,27
"Mar 27, 2020",1468,1427,41,93,31
"Mar 28, 2020",1538,1487,51,92,41
"Mar 29, 2020",1666,1605,61,97,51
"Mar 30, 2020",1791,1723,68,102,58
"Mar 31, 2020",1939,1867,72,108,62
