Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",12,-3,15,null,11
"Feb 16, 2020",12,-3,15,0,11
"Feb 17, 2020",12,-4,16,0,11
"Feb 18, 2020",12,-6,18,1,11
"Feb 19, 2020",12,-6,18,0,11
"Feb 20, 2020",12,-6,18,0,11
"Feb 21, 2020",12,-6,18,0,11
"Feb 22, 2020",12,-9,21,0,11
"Feb 23, 2020",12,-9,21,0,11
"Feb 24, 2020",12,-10,22,0,11
"Feb 25, 2020",14,-8,22,0,11
"Feb 26, 2020",18,-4,22,1,11
"Feb 27, 2020",37,15,22,4,11
"Feb 28, 2020",55,33,22,6,11
"Feb 29, 2020",94,71,23,12,11
"Mar 01, 2020",121,98,23,15,11
"Mar 02, 2020",177,154,23,24,11
"Mar 03, 2020",197,174,23,26,11
"Mar 04, 2020",264,241,23,35,11
"Mar 05, 2020",390,367,23,50,11
"Mar 06, 2020",599,576,23,78,11
"Mar 07, 2020",868,840,28,111,16
"Mar 08, 2020",1104,1073,31,140,19
"Mar 09, 2020",1289,1247,42,159,30
"Mar 10, 2020",1627,1582,45,204,33
"Mar 11, 2020",2079,2019,60,260,48
"Mar 12, 2020",2619,2546,73,318,61
"Mar 13, 2020",3333,3242,91,391,79
"Mar 14, 2020",4094,3991,103,460,91
"Mar 15, 2020",4934,4795,139,548,127
"Mar 16, 2020",6034,5874,160,677,148
"Mar 17, 2020",7031,6254,777,772,175
"Mar 18, 2020",8308,7442,866,890,264
"Mar 19, 2020",9999,8332,1667,1055,372
"Mar 20, 2020",11468,9431,2037,1162,450
"Mar 21, 2020",13146,10997,2149,1293,562
"Mar 22, 2020",14563,11689,2874,1375,674
"Mar 23, 2020",18051,14991,3060,1717,860
"Mar 24, 2020",20275,15894,4381,1892,1100
"Mar 25, 2020",22937,17706,5231,2090,1331
"Mar 26, 2020",26501,19857,6644,2357,1696
"Mar 27, 2020",29963,22268,7695,2643,1995
"Mar 28, 2020",34154,26140,8014,3001,2314
"Mar 29, 2020",36516,26708,9808,3136,2606
"Mar 30, 2020",40493,29542,10951,3206,3024
"Mar 31, 2020",47380,34414,12966,3872,3522
"Apr 01, 2020",51798,36833,14965,4123,4030
"Apr 02, 2020",53721,35909,17812,3889,5384
"Apr 03, 2020",58476,37965,20511,4073,6503
"Apr 04, 2020",62353,39360,22993,4028,7555
"Apr 05, 2020",64056,39801,24255,3935,8072
"Apr 06, 2020",67611,41457,26154,3874,8904
"Apr 07, 2020",71043,41386,29657,3380,10320
"Apr 08, 2020",74569,42455,32114,3253,10860
"Apr 09, 2020",78464,43059,35405,3535,12199
"Apr 10, 2020",82410,44293,38117,3419,13185
"Apr 11, 2020",85239,45029,40210,3269,13819
"Apr 12, 2020",86705,45139,41566,3236,14380
"Apr 13, 2020",89133,46461,42672,3074,14954
"Apr 14, 2020",94129,49609,44520,3298,15715
"Apr 15, 2020",96522,48415,48107,3137,17152
"Apr 16, 2020",98922,48206,50716,2922,17904
"Apr 17, 2020",99290,46206,53084,2412,18664
"Apr 18, 2020",101625,46337,55288,2340,19305
"Apr 19, 2020",102339,46061,56278,2234,19700
"Apr 20, 2020",104203,46548,57655,2153,20246
"Apr 21, 2020",106626,46669,59957,1785,20776
"Apr 22, 2020",108287,46311,61976,1681,21319
"Apr 23, 2020",109789,45867,63922,1552,21834
"Apr 24, 2020",111400,45684,65716,1730,22223
"Apr 25, 2020",112797,45611,67186,1596,22592
"Apr 26, 2020",113216,45479,67737,1554,22834
"Apr 27, 2020",116636,47853,68783,1776,23270
"Apr 28, 2020",118017,47494,70523,1627,23637
"Apr 29, 2020",119692,47401,72291,1630,24063
"Apr 30, 2020",120753,46925,73828,1566,24352
"May 01, 2020",121316,46534,74782,1417,24570
"May 02, 2020",122056,46758,75298,1322,24736
"May 03, 2020",122343,46688,75655,1304,24871
"May 04, 2020",122880,46332,76548,892,25177
"May 05, 2020",123909,45666,78243,842,25507
"May 06, 2020",127807,48050,79757,1159,25785
"May 07, 2020",128393,47403,80990,1092,25963
"May 08, 2020",128991,46943,82048,1096,26206
"May 09, 2020",129394,43060,86334,1048,26286
"May 10, 2020",129589,38913,90676,1035,26356
"May 11, 2020",130014,36224,93790,1020,26619
"May 12, 2020",130673,35270,95403,966,26967
"May 13, 2020",131146,33070,98076,477,27050
"May 14, 2020",131726,28153,103573,476,27401
"May 15, 2020",132250,26044,106206,466,27505
"May 16, 2020",132597,23827,108770,457,27601
"May 17, 2020",132709,23716,108993,446,27747
"May 18, 2020",133168,21683,111485,450,27878
"May 19, 2020",133657,21051,112606,427,27997
"May 20, 2020",134046,19389,114657,414,28107
"May 21, 2020",134342,17018,117324,374,28190
"May 22, 2020",134708,15557,119151,351,28264
"May 23, 2020",134941,14137,120804,335,28307
"May 24, 2020",135048,12471,122577,334,28342
"May 25, 2020",135382,11473,123909,316,28407
"May 26, 2020",135639,7832,127807,283,28505
"May 27, 2020",135817,7424,128393,253,28571
"May 28, 2020",138915,9924,128991,654,28637
"May 29, 2020",139471,10077,129394,680,28689
"May 30, 2020",141174,11585,129589,890,28746
"May 31, 2020",141413,11399,130014,910,28777
"Jun 01, 2020",141728,11055,130673,906,28808
"Jun 02, 2020",142011,10865,131146,911,28915
"Jun 03, 2020",142341,10615,131726,932,28996
"Jun 04, 2020",143061,10811,132250,592,29040
"Jun 05, 2020",143634,11037,132597,595,29086
"Jun 06, 2020",144177,11468,132709,429,29117
"Jun 07, 2020",144499,11331,133168,440,29130
"Jun 08, 2020",144697,11040,133657,425,29184
"Jun 09, 2020",145075,11029,134046,437,29271
"Jun 10, 2020",145586,11244,134342,464,29294
