Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",16,13,3,null,0
"Feb 16, 2020",16,13,3,1,0
"Feb 17, 2020",16,9,7,0,0
"Feb 18, 2020",16,7,9,0,0
"Feb 19, 2020",16,7,9,0,0
"Feb 20, 2020",16,3,13,0,0
"Feb 21, 2020",16,2,14,0,0
"Feb 22, 2020",16,2,14,0,0
"Feb 23, 2020",16,2,14,0,0
"Feb 24, 2020",16,2,14,0,0
"Feb 25, 2020",18,3,15,0,0
"Feb 26, 2020",26,11,15,2,0
"Feb 27, 2020",48,32,16,4,0
"Feb 28, 2020",74,58,16,9,0
"Feb 29, 2020",79,63,16,9,0
"Mar 01, 2020",130,114,16,16,0
"Mar 02, 2020",165,149,16,21,0
"Mar 03, 2020",203,187,16,27,0
"Mar 04, 2020",262,246,16,33,0
"Mar 05, 2020",545,528,17,71,0
"Mar 06, 2020",670,652,18,85,0
"Mar 07, 2020",800,782,18,103,0
"Mar 08, 2020",1040,1022,18,130,0
"Mar 09, 2020",1224,1204,20,152,2
"Mar 10, 2020",1565,1545,20,194,2
"Mar 11, 2020",1966,1938,28,244,3
"Mar 12, 2020",2745,2714,31,314,6
"Mar 13, 2020",3675,3621,54,429,8
"Mar 14, 2020",4599,4544,55,543,9
"Mar 15, 2020",5813,5754,59,682,13
"Mar 16, 2020",7272,7188,84,864,17
"Mar 17, 2020",9367,9274,93,1114,26
"Mar 18, 2020",12327,12194,133,1481,28
"Mar 19, 2020",15320,15161,159,1796,44
"Mar 20, 2020",19848,19600,248,2310,68
"Mar 21, 2020",22364,22071,293,2538,84
"Mar 22, 2020",24873,24513,360,2723,94
"Mar 23, 2020",29056,28480,576,3112,123
"Mar 24, 2020",32991,29542,3449,3375,159
"Mar 25, 2020",37323,33570,3753,3571,206
"Mar 26, 2020",43938,37998,5940,4088,267
"Mar 27, 2020",50871,43862,7009,4432,351
"Mar 28, 2020",57695,48781,8914,5047,433
"Mar 29, 2020",62435,52683,9752,5366,541
"Mar 30, 2020",66885,52740,14145,5404,645
"Mar 31, 2020",71808,54933,16875,5546,775
"Apr 01, 2020",77981,58349,19632,5808,932
"Apr 02, 2020",84794,61245,23549,5837,1109
"Apr 03, 2020",91159,65306,25853,5755,1278
"Apr 04, 2020",96092,68244,27848,5485,1448
"Apr 05, 2020",100123,69834,30289,5384,1589
"Apr 06, 2020",103375,72859,30516,5213,1816
"Apr 07, 2020",107663,69559,38104,5122,2023
