Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",0,0,0,null,0
"Feb 29, 2020",1,1,0,null,0
"Mar 01, 2020",1,0,1,null,1
"Mar 02, 2020",1,0,1,null,1
"Mar 03, 2020",2,1,1,null,1
"Mar 04, 2020",5,4,1,0,1
"Mar 05, 2020",8,7,1,2,1
"Mar 06, 2020",13,12,1,1,1
"Mar 07, 2020",16,15,1,3,1
"Mar 08, 2020",18,17,1,2,1
"Mar 09, 2020",25,24,1,3,1
"Mar 10, 2020",37,36,1,5,1
"Mar 11, 2020",49,47,2,7,2
"Mar 12, 2020",78,76,2,10,2
"Mar 13, 2020",110,108,2,14,2
"Mar 14, 2020",143,140,3,18,3
"Mar 15, 2020",170,166,4,21,3
"Mar 16, 2020",268,260,8,35,3
"Mar 17, 2020",347,339,8,44,3
"Mar 18, 2020",431,422,9,55,4
"Mar 19, 2020",573,563,10,71,5
"Mar 20, 2020",699,686,13,84,8
"Mar 21, 2020",823,805,18,97,13
"Mar 22, 2020",951,931,20,112,15
"Mar 23, 2020",1149,1122,27,125,22
"Mar 24, 2020",1369,1334,35,146,30
"Mar 25, 2020",1617,1573,44,170,39
"Mar 26, 2020",1879,1820,59,186,54
"Mar 27, 2020",2188,2125,63,213,58
"Mar 28, 2020",2446,2369,77,232,72
"Mar 29, 2020",2640,2542,98,241,93
"Mar 30, 2020",2943,2829,114,257,109
"Mar 31, 2020",3233,3099,134,266,129
"Apr 01, 2020",3599,3443,156,283,151
"Apr 02, 2020",3959,3779,180,297,175
"Apr 03, 2020",4386,4150,236,314,211
"Apr 04, 2020",4849,4571,278,343,253
"Apr 05, 2020",5525,5211,314,413,289
"Apr 06, 2020",5910,5562,348,423,323
"Apr 07, 2020",6374,5975,399,449,374
"Apr 08, 2020",6987,6554,433,484,408
"Apr 09, 2020",7685,7206,479,532,454
"Apr 10, 2020",8390,7863,527,572,502
"Apr 11, 2020",9359,8787,572,645,547
"Apr 12, 2020",10252,9623,629,675,604
"Apr 13, 2020",11118,10442,676,744,651
"Apr 14, 2020",12248,11522,726,839,701
"Apr 15, 2020",12828,11999,829,835,752
"Apr 16, 2020",13549,12677,872,837,795
"Apr 17, 2020",14402,13476,926,859,849
"Apr 18, 2020",14957,13986,971,800,894
"Apr 19, 2020",15223,14216,1007,710,933
"Apr 20, 2020",15618,14546,1072,643,972
"Apr 21, 2020",16128,14933,1195,554,1016
"Apr 22, 2020",17074,15664,1410,607,1051
"Apr 23, 2020",17611,15988,1623,580,1085
"Apr 24, 2020",18060,16368,1692,523,1133
"Apr 25, 2020",18724,16807,1917,538,1151
"Apr 26, 2020",19123,16889,2234,557,1190
"Apr 27, 2020",19490,16956,2534,553,1211
"Apr 28, 2020",19856,17159,2697,533,1230
"Apr 29, 2020",20252,17263,2989,454,1258
"Apr 30, 2020",20523,17223,3300,416,1286
"May 01, 2020",20874,17371,3503,402,1310
"May 02, 2020",21257,17346,3911,361,1337
"May 03, 2020",21462,17119,4343,335,1362
"May 04, 2020",21711,17035,4676,317,1380
"May 05, 2020",21992,16922,5070,305,1404
"May 06, 2020",22129,16696,5433,268,1433
"May 07, 2020",22315,16547,5768,256,1451
"May 08, 2020",22472,16347,6125,228,1469
"May 09, 2020",22733,16111,6622,211,1483
"May 10, 2020",22914,14785,8129,208,1494
"May 11, 2020",22999,14028,8971,184,1506
"May 12, 2020",23123,13440,9683,161,1512
"May 13, 2020",23486,12805,10681,194,1527
"May 14, 2020",23719,12208,11511,201,1534
"May 15, 2020",23824,11243,12581,193,1548
"May 16, 2020",23908,10610,13298,168,1556
"May 17, 2020",24038,10029,14009,160,1568
