Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",7,7,0,null,0
"Feb 16, 2020",7,7,0,1,0
"Feb 17, 2020",7,7,0,1,0
"Feb 18, 2020",7,7,0,0,0
"Feb 19, 2020",7,7,0,0,0
"Feb 20, 2020",7,6,1,0,0
"Feb 21, 2020",8,7,1,0,0
"Feb 22, 2020",8,7,1,0,0
"Feb 23, 2020",8,7,1,0,0
"Feb 24, 2020",9,8,1,1,0
"Feb 25, 2020",9,8,1,0,0
"Feb 26, 2020",9,8,1,0,0
"Feb 27, 2020",10,9,1,1,0
"Feb 28, 2020",13,12,1,0,0
"Feb 29, 2020",13,12,1,1,0
"Mar 01, 2020",14,13,1,1,0
"Mar 02, 2020",19,18,1,1,0
"Mar 03, 2020",22,21,1,2,0
"Mar 04, 2020",22,21,1,2,0
"Mar 05, 2020",31,30,1,3,0
"Mar 06, 2020",35,34,1,3,0
"Mar 07, 2020",39,38,1,4,0
"Mar 08, 2020",48,47,1,5,0
"Mar 09, 2020",52,51,1,5,0
"Mar 10, 2020",85,84,1,9,0
"Mar 11, 2020",104,103,1,11,0
"Mar 12, 2020",126,125,1,14,0
"Mar 13, 2020",161,159,2,18,0
"Mar 14, 2020",190,188,2,21,0
"Mar 15, 2020",230,228,2,26,0
"Mar 16, 2020",303,301,2,36,0
"Mar 17, 2020",397,393,4,45,0
"Mar 18, 2020",522,516,6,60,0
"Mar 19, 2020",658,648,10,76,0
"Mar 20, 2020",826,814,12,95,1
"Mar 21, 2020",1035,1023,12,120,1
"Mar 22, 2020",1287,1270,17,151,1
"Mar 23, 2020",1637,1614,23,191,1
"Mar 24, 2020",2057,2026,31,237,4
"Mar 25, 2020",2480,2442,38,280,5
"Mar 26, 2020",2999,2947,52,334,10
"Mar 27, 2020",3431,3359,72,372,12
"Mar 28, 2020",3907,3825,82,411,13
"Mar 29, 2020",4435,4336,99,449,16
"Mar 30, 2020",4986,4853,133,479,17
"Mar 31, 2020",5723,5543,180,523,21
"Apr 01, 2020",6417,6197,220,563,29
"Apr 02, 2020",7141,6833,308,592,38
"Apr 03, 2020",7741,7374,367,615,43
"Apr 04, 2020",8169,7744,425,609,49
"Apr 05, 2020",8753,8220,533,617,56
"Apr 06, 2020",9202,8543,659,602,64
"Apr 07, 2020",9578,8791,787,551,72
"Apr 08, 2020",9918,9017,901,500,80
"Apr 09, 2020",10258,9238,1020,445,89
"Apr 10, 2020",10613,9460,1153,411,97
"Apr 11, 2020",10955,9676,1279,398,103
"Apr 12, 2020",11506,9963,1543,393,109
"Apr 13, 2020",11943,10113,1830,392,118
"Apr 14, 2020",12337,10213,2124,394,126
"Apr 15, 2020",12642,10229,2413,389,139
"Apr 16, 2020",12938,10190,2748,383,146
"Apr 17, 2020",13235,10122,3113,374,155
