Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",3,3,0,null,0
"Feb 16, 2020",3,3,0,0,0
"Feb 17, 2020",3,3,0,0,0
"Feb 18, 2020",3,3,0,0,0
"Feb 19, 2020",3,3,0,0,0
"Feb 20, 2020",4,4,0,0,0
"Feb 21, 2020",21,19,2,3,1
"Feb 22, 2020",79,75,4,11,2
"Feb 23, 2020",157,152,5,22,3
"Feb 24, 2020",229,220,9,32,7
"Feb 25, 2020",323,310,13,46,11
"Feb 26, 2020",470,455,15,66,12
"Feb 27, 2020",655,593,62,93,17
"Feb 28, 2020",891,824,67,125,21
"Feb 29, 2020",1133,1054,79,150,29
"Mar 01, 2020",1710,1586,124,222,41
"Mar 02, 2020",2049,1848,201,260,52
"Mar 03, 2020",2518,2279,239,314,79
"Mar 04, 2020",3109,2726,383,377,107
"Mar 05, 2020",3884,3322,562,461,148
"Mar 06, 2020",4668,3948,720,539,197
"Mar 07, 2020",5924,5102,822,685,233
"Mar 08, 2020",7429,6440,989,817,367
"Mar 09, 2020",9240,8052,1188,1027,464
"Mar 10, 2020",10223,8585,1638,1101,633
"Mar 11, 2020",12552,10676,1876,1349,830
"Mar 12, 2020",15224,12944,2280,1620,1020
"Mar 13, 2020",17789,15077,2712,1874,1271
"Mar 14, 2020",21313,17897,3416,2199,1447
"Mar 15, 2020",24933,20778,4155,2500,1816
"Mar 16, 2020",28191,23271,4920,2708,2166
"Mar 17, 2020",31743,26285,5458,3074,2512
"Mar 18, 2020",35981,28959,7022,3347,2989
"Mar 19, 2020",41343,33476,7867,3731,3418
"Mar 20, 2020",47375,38187,9188,4227,4048
"Mar 21, 2020",53977,43047,10930,4666,4845
"Mar 22, 2020",59578,47040,12538,4949,5499
"Mar 23, 2020",64395,50844,13551,5172,6103
"Mar 24, 2020",69672,54479,15193,5419,6849
"Mar 25, 2020",74907,57989,16918,5561,7535
"Mar 26, 2020",81154,62520,18634,5687,8250
"Mar 27, 2020",87104,66958,20146,5675,9172
"Mar 28, 2020",93121,70646,22475,5592,10064
"Mar 29, 2020",98373,74491,23882,5543,10823
"Mar 30, 2020",102450,76158,26292,5436,11639
"Mar 31, 2020",106533,78288,28245,5266,12480
"Apr 01, 2020",111350,81254,30096,5206,13210
"Apr 02, 2020",116052,83759,32293,4985,13973
"Apr 03, 2020",120670,86123,34547,4796,14743
"Apr 04, 2020",125511,89039,36472,4627,15427
"Apr 05, 2020",129860,92040,37820,4498,15954
"Apr 06, 2020",133486,94003,39483,4434,16593
"Apr 07, 2020",136543,94894,41649,4287,17200
"Apr 08, 2020",140404,96107,44297,4150,17744
"Apr 09, 2020",144638,97744,46894,4084,18357
"Apr 10, 2020",148616,99159,49457,3992,18930
"Apr 11, 2020",153347,101184,52163,3977,19552
"Apr 12, 2020",157471,103194,54277,3944,19985
"Apr 13, 2020",160646,104573,56073,3880,20554
"Apr 14, 2020",163639,105262,58377,3871,21159
"Apr 15, 2020",166324,106402,59922,3703,21740
"Apr 16, 2020",170138,107612,62526,3643,22267
"Apr 17, 2020",173657,107995,65662,3577,22834
"Apr 18, 2020",177174,108821,68353,3404,23318
"Apr 19, 2020",180241,109320,70921,3253,23753
"Apr 20, 2020",182508,109305,73203,3123,24209
"Apr 21, 2020",185254,108785,76469,3088,24745
"Apr 22, 2020",188647,108789,79858,3189,25184
"Apr 23, 2020",191310,107946,83364,3024,25650
"Apr 24, 2020",194352,107638,86714,2957,26071
"Apr 25, 2020",196726,106968,89758,2793,26487
"Apr 26, 2020",199068,107237,91831,2690,26748
"Apr 27, 2020",200818,106953,93865,2615,27082
"Apr 28, 2020",202924,106353,96571,2525,27465
"Apr 29, 2020",205024,105813,99211,2339,27788
