Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",1,1,0,null,0
"Feb 28, 2020",2,2,0,null,0
"Feb 29, 2020",7,7,0,null,0
"Mar 01, 2020",10,10,0,2,0
"Mar 02, 2020",18,18,0,2,0
"Mar 03, 2020",23,23,0,4,0
"Mar 04, 2020",38,38,0,5,0
"Mar 05, 2020",82,81,1,12,1
"Mar 06, 2020",128,127,1,18,1
"Mar 07, 2020",188,185,3,26,3
"Mar 08, 2020",265,261,4,36,4
"Mar 09, 2020",321,317,4,43,4
"Mar 10, 2020",382,377,5,52,5
"Mar 11, 2020",503,498,5,66,5
"Mar 12, 2020",614,602,12,76,10
"Mar 13, 2020",804,790,14,97,12
"Mar 14, 2020",959,937,22,110,20
"Mar 15, 2020",1135,1109,26,124,24
"Mar 16, 2020",1413,1368,45,156,43
"Mar 17, 2020",1705,1645,60,189,58
"Mar 18, 2020",2051,1973,78,221,76
"Mar 19, 2020",2460,2352,108,264,106
"Mar 20, 2020",2994,2856,138,313,136
"Mar 21, 2020",3631,3450,181,381,179
"Mar 22, 2020",4204,3989,215,439,213
"Mar 23, 2020",4749,4471,278,476,276
"Mar 24, 2020",5560,5202,358,551,356
"Mar 25, 2020",6412,5975,437,623,434
"Mar 26, 2020",7431,6882,549,710,546
"Mar 27, 2020",8603,7961,642,802,639
"Mar 28, 2020",9762,8988,774,875,771
"Mar 29, 2020",10866,9752,1114,952,864
"Mar 30, 2020",11750,10461,1289,1000,1039
"Mar 31, 2020",12595,11172,1423,1005,1173
"Apr 01, 2020",13614,12025,1589,1029,1339
"Apr 02, 2020",14697,12960,1737,1038,1487
"Apr 03, 2020",15723,13822,1901,1017,1651
"Apr 04, 2020",16627,14611,2016,981,1766
"Apr 05, 2020",17851,15734,2117,998,1867
"Apr 06, 2020",18803,16452,2351,1007,2101
"Apr 07, 2020",19580,17082,2498,998,2248
"Apr 08, 2020",20549,17903,2646,991,2396
"Apr 09, 2020",21762,19001,2761,1009,2511
"Apr 10, 2020",23097,20204,2893,1054,2643
"Apr 11, 2020",24413,21426,2987,1112,2737
"Apr 12, 2020",25587,22514,3073,1105,2823
"Apr 13, 2020",26551,23356,3195,1107,2945
"Apr 14, 2020",27419,24035,3384,1120,3134
"Apr 15, 2020",28153,24588,3565,1086,3315
"Apr 16, 2020",29214,25505,3709,1065,3459
"Apr 17, 2020",30449,26598,3851,1050,3601
"Apr 18, 2020",31589,27655,3934,1025,3684
"Apr 19, 2020",32655,28654,4001,1010,3751
"Apr 20, 2020",33405,29239,4166,979,3916
"Apr 21, 2020",34134,29792,4342,959,4054
"Apr 22, 2020",34842,29970,4872,956,4177
"Apr 23, 2020",35729,30057,5672,931,4289
"Apr 24, 2020",36535,30003,6532,869,4409
"Apr 25, 2020",37190,29693,7497,800,4475
"Apr 26, 2020",37845,29199,8646,742,4518
"Apr 27, 2020",38245,28435,9810,691,4566
"Apr 28, 2020",38416,27405,11011,612,4711
"Apr 29, 2020",38802,26968,11834,565,4795
"Apr 30, 2020",39316,26623,12693,513,4893
"May 01, 2020",39791,26083,13708,465,4987
"May 02, 2020",40236,25470,14766,435,5056
"May 03, 2020",40571,24822,15749,390,5082
"May 04, 2020",40770,24057,16713,360,5168
"May 05, 2020",41087,23200,17887,382,5204
"May 06, 2020",41319,22432,18887,359,5288
"May 07, 2020",41774,22123,19651,352,5359
"May 08, 2020",42093,21481,20612,328,5422
"May 09, 2020",42382,20602,21780,307,5440
"May 10, 2020",42627,19514,23113,294,5456
"May 11, 2020",42788,18321,24467,288,5510
"May 12, 2020",42984,17345,25639,271,5562
"May 13, 2020",43211,16632,26579,270,5590
"May 14, 2020",43481,16009,27472,244,5643
