Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",0,0,0,null,0
"Feb 27, 2020",0,0,0,null,0
"Feb 28, 2020",1,1,0,null,0
"Feb 29, 2020",1,1,0,null,0
"Mar 01, 2020",1,1,0,null,0
"Mar 02, 2020",1,1,0,null,0
"Mar 03, 2020",2,2,0,0,0
"Mar 04, 2020",3,3,0,0,0
"Mar 05, 2020",4,4,0,1,0
"Mar 06, 2020",4,4,0,0,0
"Mar 07, 2020",5,5,0,1,0
"Mar 08, 2020",5,5,0,0,0
"Mar 09, 2020",5,5,0,1,0
"Mar 10, 2020",5,5,0,0,0
"Mar 11, 2020",5,5,0,1,0
"Mar 12, 2020",5,5,0,0,0
"Mar 13, 2020",6,6,0,0,0
"Mar 14, 2020",8,8,0,1,0
"Mar 15, 2020",8,8,0,0,0
"Mar 16, 2020",8,8,0,0,0
"Mar 17, 2020",20,20,0,3,0
"Mar 18, 2020",20,20,0,2,0
"Mar 19, 2020",28,28,0,3,0
"Mar 20, 2020",52,52,0,7,0
"Mar 21, 2020",52,52,0,6,0
"Mar 22, 2020",102,102,0,13,0
"Mar 23, 2020",102,102,0,14,0
"Mar 24, 2020",205,183,22,26,0
"Mar 25, 2020",283,256,27,38,0
"Mar 26, 2020",368,331,37,48,0
"Mar 27, 2020",368,331,37,45,0
"Mar 28, 2020",514,457,57,66,1
"Mar 29, 2020",514,457,57,59,1
"Mar 30, 2020",589,525,64,70,1
"Mar 31, 2020",647,572,75,63,1
"Apr 01, 2020",708,624,84,61,1
"Apr 02, 2020",797,704,93,61,1
"Apr 03, 2020",868,764,104,71,1
"Apr 04, 2020",950,822,128,63,1
"Apr 05, 2020",1039,882,157,75,1
"Apr 06, 2020",1106,929,177,74,1
"Apr 07, 2020",1160,918,242,73,1
"Apr 08, 2020",1210,927,283,72,1
"Apr 09, 2020",1239,921,318,63,1
"Apr 10, 2020",1283,908,375,59,2
"Apr 11, 2020",1312,885,427,52,5
"Apr 12, 2020",1330,854,476,41,5
"Apr 13, 2020",1349,797,552,35,6
"Apr 14, 2020",1366,726,640,29,12
"Apr 15, 2020",1386,646,740,26,12
"Apr 16, 2020",1401,619,782,23,12
"Apr 17, 2020",1409,578,831,18,15
"Apr 18, 2020",1422,540,882,15,15
"Apr 19, 2020",1431,503,928,15,16
"Apr 20, 2020",1440,450,990,13,16
"Apr 21, 2020",1445,422,1023,11,17
"Apr 22, 2020",1448,394,1054,9,18
"Apr 23, 2020",1451,365,1086,7,21
"Apr 24, 2020",1456,339,1117,7,22
"Apr 25, 2020",1461,320,1141,5,23
"Apr 26, 2020",1469,304,1165,6,23
"Apr 27, 2020",1469,265,1204,4,24
"Apr 28, 2020",1472,234,1238,4,24
"Apr 29, 2020",1474,221,1253,4,24
"Apr 30, 2020",1476,211,1265,3,24
"May 01, 2020",1479,203,1276,3,24
"May 02, 2020",1485,197,1288,4,25
"May 03, 2020",1485,194,1291,2,25
"May 04, 2020",1485,184,1301,2,25
"May 05, 2020",1486,159,1327,2,25
"May 06, 2020",1488,146,1342,2,26
"May 07, 2020",1489,131,1358,2,26
"May 08, 2020",1490,117,1373,2,26
"May 09, 2020",1492,98,1394,1,26
"May 10, 2020",1494,97,1397,1,26
"May 11, 2020",1497,85,1412,2,26
"May 12, 2020",1497,73,1424,1,26
"May 13, 2020",1497,69,1428,2,26
"May 14, 2020",1497,60,1437,1,26
"May 15, 2020",1498,51,1447,1,26
"May 16, 2020",1498,44,1454,1,26
"May 17, 2020",1499,40,1459,1,26
"May 18, 2020",1499,40,1459,0,26
"May 19, 2020",1503,35,1468,1,26
"May 20, 2020",1503,30,1473,1,26
"May 21, 2020",1503,25,1478,0,26
"May 22, 2020",1504,23,1481,1,26
