Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",0,0,0,null,0
"Feb 26, 2020",1,1,0,null,0
"Feb 27, 2020",4,4,0,null,0
"Feb 28, 2020",6,6,0,1,0
"Feb 29, 2020",15,15,0,2,0
"Mar 01, 2020",19,19,0,2,0
"Mar 02, 2020",25,25,0,4,0
"Mar 03, 2020",33,33,0,5,0
"Mar 04, 2020",59,59,0,8,0
"Mar 05, 2020",94,94,0,13,0
"Mar 06, 2020",127,126,1,17,0
"Mar 07, 2020",156,156,0,20,0
"Mar 08, 2020",176,175,1,23,0
"Mar 09, 2020",227,226,1,29,0
"Mar 10, 2020",400,399,1,52,0
"Mar 11, 2020",629,628,1,81,0
"Mar 12, 2020",800,798,2,101,1
"Mar 13, 2020",996,994,2,124,1
"Mar 14, 2020",1109,1105,4,137,3
"Mar 15, 2020",1256,1252,4,154,3
"Mar 16, 2020",1348,1344,4,160,3
"Mar 17, 2020",1471,1467,4,153,3
"Mar 18, 2020",1591,1584,7,137,6
"Mar 19, 2020",1790,1782,8,142,7
"Mar 20, 2020",1959,1951,8,137,7
"Mar 21, 2020",2164,2151,13,151,7
"Mar 22, 2020",2385,2372,13,161,7
"Mar 23, 2020",2625,2609,16,183,10
"Mar 24, 2020",2866,2848,18,199,12
"Mar 25, 2020",3084,3064,20,213,14
"Mar 26, 2020",3372,3352,20,226,14
"Mar 27, 2020",3771,3745,26,259,19
"Mar 28, 2020",4015,3985,30,265,23
"Mar 29, 2020",4284,4251,33,271,26
"Mar 30, 2020",4445,4401,44,260,32
"Mar 31, 2020",4641,4589,52,254,39
"Apr 01, 2020",4877,4820,57,256,44
"Apr 02, 2020",5147,5065,82,253,50
"Apr 03, 2020",5370,5279,91,229,59
"Apr 04, 2020",5550,5456,94,219,62
"Apr 05, 2020",5687,5584,103,200,71
"Apr 06, 2020",5865,5757,108,203,76
"Apr 07, 2020",6086,5965,121,207,89
"Apr 08, 2020",6042,5909,133,166,101
"Apr 09, 2020",6219,6079,140,153,108
"Apr 10, 2020",6314,6169,145,135,113
"Apr 11, 2020",6409,6258,151,123,119
"Apr 12, 2020",6525,6365,160,120,128
"Apr 13, 2020",6603,6437,166,105,134
"Apr 14, 2020",6623,6452,171,77,139
"Apr 15, 2020",6797,6615,182,108,150
"Apr 16, 2020",6905,6721,184,98,152
"Apr 17, 2020",6937,6744,193,89,161
"Apr 18, 2020",7036,6840,196,89,164
"Apr 19, 2020",7078,6881,197,79,165
"Apr 20, 2020",7156,6942,214,79,182
"Apr 21, 2020",7241,7026,215,88,183
"Apr 22, 2020",7338,7118,220,78,188
"Apr 23, 2020",7401,7174,227,71,195
"Apr 24, 2020",7463,7231,232,75,200
"Apr 25, 2020",7493,7259,234,65,202
"Apr 26, 2020",7527,7293,234,64,202
"Apr 27, 2020",7599,7361,238,63,206
"Apr 28, 2020",7660,7421,239,60,207
"Apr 29, 2020",7710,7470,240,53,208
"Apr 30, 2020",7738,7495,243,49,211
"May 01, 2020",7783,7540,243,45,211
"May 02, 2020",7809,7565,244,45,212
"May 03, 2020",7847,7603,244,46,212
"May 04, 2020",7904,7657,247,44,215
"May 05, 2020",7955,7707,248,42,216
"May 06, 2020",7996,7747,249,41,217
"May 07, 2020",8034,7784,250,42,218
"May 08, 2020",8070,7819,251,41,219
"May 09, 2020",8099,7847,252,41,220
"May 10, 2020",8105,7853,252,37,220
"May 11, 2020",8132,7875,257,33,225
"May 12, 2020",8157,7896,261,29,229
"May 13, 2020",8175,7913,262,25,230
"May 14, 2020",8196,7931,265,23,233
"May 15, 2020",8219,7954,265,22,233
"May 16, 2020",8237,7972,265,19,233
"May 17, 2020",8249,7984,265,21,233
"May 18, 2020",8257,7991,266,18,234
"May 19, 2020",8267,8001,266,16,234
