Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",72,54,18,null,0
"Feb 16, 2020",75,56,19,4,0
"Feb 17, 2020",77,53,24,5,0
"Feb 18, 2020",81,52,29,5,0
"Feb 19, 2020",84,50,34,4,0
"Feb 20, 2020",85,48,37,4,0
"Feb 21, 2020",86,39,47,3,0
"Feb 22, 2020",89,40,49,2,0
"Feb 23, 2020",89,40,49,2,0
"Feb 24, 2020",90,41,49,2,0
"Feb 25, 2020",91,33,58,2,0
"Feb 26, 2020",93,31,62,1,0
"Feb 27, 2020",96,30,66,2,0
"Feb 28, 2020",98,29,69,1,0
"Feb 29, 2020",102,30,72,2,0
"Mar 01, 2020",106,32,74,3,0
"Mar 02, 2020",108,30,78,2,0
"Mar 03, 2020",110,32,78,3,0
"Mar 04, 2020",112,33,79,3,0
"Mar 05, 2020",117,36,81,3,0
"Mar 06, 2020",130,48,82,4,0
"Mar 07, 2020",138,48,90,5,0
"Mar 08, 2020",150,60,90,7,0
"Mar 09, 2020",160,67,93,7,0
"Mar 10, 2020",166,73,93,8,0
"Mar 11, 2020",178,82,96,9,0
"Mar 12, 2020",187,91,96,10,0
"Mar 13, 2020",200,103,97,10,0
"Mar 14, 2020",212,107,105,11,0
"Mar 15, 2020",226,121,105,11,0
"Mar 16, 2020",243,134,109,12,0
"Mar 17, 2020",266,152,114,14,0
"Mar 18, 2020",313,196,117,19,0
"Mar 19, 2020",345,221,124,23,0
"Mar 20, 2020",385,254,131,26,0
"Mar 21, 2020",432,290,142,32,2
"Mar 22, 2020",455,309,146,32,2
"Mar 23, 2020",509,355,154,38,2
"Mar 24, 2020",558,400,158,42,2
"Mar 25, 2020",631,469,162,46,2
"Mar 26, 2020",683,509,174,48,2
"Mar 27, 2020",732,547,185,49,2
"Mar 28, 2020",802,602,200,53,2
"Mar 29, 2020",844,629,215,56,3
"Mar 30, 2020",879,648,231,53,3
"Mar 31, 2020",926,683,243,52,3
"Apr 01, 2020",1000,752,248,53,3
"Apr 02, 2020",1049,779,270,52,4
"Apr 03, 2020",1114,827,287,55,5
"Apr 04, 2020",1189,886,303,55,6
"Apr 05, 2020",1309,983,326,67,6
"Apr 06, 2020",1375,1025,350,70,6
"Apr 07, 2020",1481,1098,383,80,6
"Apr 08, 2020",1623,1211,412,89,6
"Apr 09, 2020",1910,1444,466,123,6
"Apr 10, 2020",2108,1609,499,142,7
