Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",28,19,9,null,0
"Feb 16, 2020",29,20,9,0,0
"Feb 17, 2020",30,20,10,0,0
"Feb 18, 2020",31,19,12,1,0
"Feb 19, 2020",58,42,16,4,0
"Feb 20, 2020",111,94,17,12,1
"Feb 21, 2020",209,190,19,26,2
"Feb 22, 2020",436,416,20,58,2
"Feb 23, 2020",602,578,24,82,6
"Feb 24, 2020",833,803,30,115,8
"Feb 25, 2020",977,944,33,135,11
"Feb 26, 2020",1261,1225,36,172,12
"Feb 27, 2020",1766,1729,37,236,13
"Feb 28, 2020",2337,2297,40,304,16
"Feb 29, 2020",3150,3109,41,388,17
"Mar 01, 2020",3736,3685,51,448,21
"Mar 02, 2020",4335,4277,58,500,28
"Mar 03, 2020",5186,5120,66,601,32
"Mar 04, 2020",5621,5498,123,623,35
"Mar 05, 2020",6284,6107,177,645,42
"Mar 06, 2020",6593,6415,178,608,43
"Mar 07, 2020",7041,6875,166,556,48
"Mar 08, 2020",7313,7097,216,511,50
"Mar 09, 2020",7478,7178,300,449,53
"Mar 10, 2020",7513,7165,348,333,60
"Mar 11, 2020",7755,7362,393,305,60
"Mar 12, 2020",7869,7293,576,226,66
"Mar 13, 2020",7979,7198,781,198,67
"Mar 14, 2020",8086,7180,906,149,72
"Mar 15, 2020",8162,7253,909,122,75
"Mar 16, 2020",8236,7024,1212,108,75
"Mar 17, 2020",8320,6838,1482,115,81
"Mar 18, 2020",8413,6789,1624,94,84
"Mar 19, 2020",8565,6527,2038,100,91
"Mar 20, 2020",8652,6325,2327,96,94
"Mar 21, 2020",8799,6085,2714,102,102
"Mar 22, 2020",8897,5884,3013,105,104
"Mar 23, 2020",8961,5684,3277,103,111
"Mar 24, 2020",9037,5410,3627,103,120
"Mar 25, 2020",9137,5281,3856,103,126
"Mar 26, 2020",9241,4966,4275,97,131
"Mar 27, 2020",9332,4665,4667,97,139
"Mar 28, 2020",9478,4523,4955,97,144
"Mar 29, 2020",9583,4398,5185,98,152
"Mar 30, 2020",9661,4275,5386,100,158
"Mar 31, 2020",9786,4216,5570,107,162
"Apr 01, 2020",9887,4155,5732,107,165
"Apr 02, 2020",9976,3979,5997,105,169
"Apr 03, 2020",10062,3867,6195,104,174
"Apr 04, 2020",10156,3654,6502,97,177
"Apr 05, 2020",10237,3591,6646,93,183
"Apr 06, 2020",10284,3500,6784,89,186
"Apr 07, 2020",10331,3445,6886,78,192
"Apr 08, 2020",10384,3408,6976,71,200
"Apr 09, 2020",10423,3246,7177,64,204
"Apr 10, 2020",10450,3125,7325,56,208
"Apr 11, 2020",10480,3026,7454,46,211
"Apr 12, 2020",10512,2930,7582,39,214
"Apr 13, 2020",10537,2873,7664,36,217
"Apr 14, 2020",10564,2808,7756,34,222
"Apr 15, 2020",10591,2750,7841,29,225
"Apr 16, 2020",10613,2627,7986,27,229
"Apr 17, 2020",10635,2576,8059,27,230
"Apr 18, 2020",10653,2484,8169,24,232
"Apr 19, 2020",10661,2385,8276,22,234
"Apr 20, 2020",10674,2324,8350,19,236
"Apr 21, 2020",10683,2233,8450,17,237
"Apr 22, 2020",10694,2179,8515,15,238
"Apr 23, 2020",10702,2051,8651,13,240
"Apr 24, 2020",10708,1967,8741,10,240
"Apr 25, 2020",10718,1843,8875,9,240
"Apr 26, 2020",10728,1769,8959,10,242
"Apr 27, 2020",10738,1731,9007,9,243
"Apr 28, 2020",10752,1654,9098,10,244
"Apr 29, 2020",10761,1593,9168,10,246
"Apr 30, 2020",10765,1459,9306,9,247
"May 01, 2020",10774,1454,9320,9,248
"May 02, 2020",10780,1407,9373,9,250
"May 03, 2020",10793,1360,9433,9,250
"May 04, 2020",10801,1332,9469,9,252
"May 05, 2020",10804,1267,9537,8,254
"May 06, 2020",10806,1218,9588,6,255
"May 07, 2020",10810,1135,9675,6,256
"May 08, 2020",10822,1082,9740,7,256
"May 09, 2020",10840,1016,9824,9,256
