Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",1,0,1,null,1
"Feb 16, 2020",1,0,1,0,1
"Feb 17, 2020",1,0,1,0,1
"Feb 18, 2020",1,0,1,0,1
"Feb 19, 2020",1,0,1,0,1
"Feb 20, 2020",1,0,1,0,1
"Feb 21, 2020",1,0,1,0,1
"Feb 22, 2020",1,0,1,0,1
"Feb 23, 2020",1,0,1,0,1
"Feb 24, 2020",1,0,1,0,1
"Feb 25, 2020",1,0,1,0,1
"Feb 26, 2020",2,1,1,0,1
"Feb 27, 2020",3,2,1,0,1
"Feb 28, 2020",11,10,1,2,1
"Feb 29, 2020",14,13,1,2,1
"Mar 01, 2020",14,13,1,2,1
"Mar 02, 2020",19,18,1,2,1
"Mar 03, 2020",33,31,2,5,1
"Mar 04, 2020",63,61,2,8,1
"Mar 05, 2020",88,86,2,13,1
"Mar 06, 2020",147,145,2,19,1
"Mar 07, 2020",180,178,2,24,1
"Mar 08, 2020",226,224,2,30,1
"Mar 09, 2020",327,325,2,44,1
"Mar 10, 2020",426,424,2,56,1
"Mar 11, 2020",622,620,2,80,1
"Mar 12, 2020",774,772,2,98,1
"Mar 13, 2020",926,923,3,111,2
"Mar 14, 2020",997,993,4,117,3
"Mar 15, 2020",1066,1060,6,120,5
"Mar 16, 2020",1149,1141,8,117,7
"Mar 17, 2020",1268,1259,9,121,8
"Mar 18, 2020",1413,1384,29,113,14
"Mar 19, 2020",1557,1520,37,112,21
"Mar 20, 2020",1739,1693,46,116,30
"Mar 21, 2020",1875,1821,54,125,38
"Mar 22, 2020",1993,1928,65,133,49
"Mar 23, 2020",2175,2099,76,146,60
"Mar 24, 2020",2406,2309,97,163,81
"Mar 25, 2020",2720,2601,119,186,103
"Mar 26, 2020",3007,2857,150,208,134
"Mar 27, 2020",3372,3190,182,233,166
"Mar 28, 2020",3672,3455,217,257,201
"Mar 29, 2020",3952,3697,255,279,239
"Mar 30, 2020",4370,4070,300,314,284
"Mar 31, 2020",4842,4494,348,348,332
"Apr 01, 2020",5329,4841,488,373,385
"Apr 02, 2020",5884,5326,558,411,455
"Apr 03, 2020",6486,5746,740,445,535
"Apr 04, 2020",6843,6033,810,453,605
"Apr 05, 2020",7183,6288,895,461,690
"Apr 06, 2020",7572,6587,985,458,780
"Apr 07, 2020",8311,7242,1069,495,864
"Apr 08, 2020",8965,7781,1184,520,979
"Apr 09, 2020",9611,8341,1270,532,1065
"Apr 10, 2020",10065,8529,1536,511,1155
"Apr 11, 2020",10461,8823,1638,517,1257
"Apr 12, 2020",10924,9189,1735,535,1354
"Apr 13, 2020",11364,9545,1819,541,1438
"Apr 14, 2020",11841,9931,1910,505,1529
"Apr 15, 2020",12447,10422,2025,497,1644
"Apr 16, 2020",13068,10763,2305,494,1755
"Apr 17, 2020",13756,11368,2388,527,1838
"Apr 18, 2020",14288,11814,2474,547,1924
