Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",0,0,0,null,0
"Feb 16, 2020",0,0,0,null,0
"Feb 17, 2020",0,0,0,null,0
"Feb 18, 2020",0,0,0,null,0
"Feb 19, 2020",0,0,0,null,0
"Feb 20, 2020",0,0,0,null,0
"Feb 21, 2020",0,0,0,null,0
"Feb 22, 2020",0,0,0,null,0
"Feb 23, 2020",0,0,0,null,0
"Feb 24, 2020",0,0,0,null,0
"Feb 25, 2020",1,1,0,null,0
"Feb 26, 2020",2,2,0,null,0
"Feb 27, 2020",12,12,0,null,0
"Feb 28, 2020",22,22,0,3,0
"Feb 29, 2020",32,32,0,5,0
"Mar 01, 2020",45,44,1,6,0
"Mar 02, 2020",56,55,1,8,0
"Mar 03, 2020",86,84,2,12,0
"Mar 04, 2020",119,116,3,17,0
"Mar 05, 2020",180,176,4,24,1
"Mar 06, 2020",242,237,5,32,2
"Mar 07, 2020",315,310,5,40,2
"Mar 08, 2020",364,359,5,46,2
"Mar 09, 2020",433,427,6,53,3
"Mar 10, 2020",624,618,6,77,3
"Mar 11, 2020",834,825,9,102,5
"Mar 12, 2020",1167,1156,11,141,7
"Mar 13, 2020",1524,1510,14,184,10
"Mar 14, 2020",1955,1940,15,234,11
"Mar 15, 2020",2372,2354,18,287,14
"Mar 16, 2020",2698,2671,27,323,23
"Mar 17, 2020",3758,3710,48,448,33
"Mar 18, 2020",4840,4785,55,572,40
"Mar 19, 2020",6046,5983,63,697,48
"Mar 20, 2020",6881,6808,73,766,58
"Mar 21, 2020",8019,7810,209,866,78
"Mar 22, 2020",8710,8481,229,905,98
"Mar 23, 2020",9257,9013,244,937,113
"Mar 24, 2020",10719,10445,274,995,143
"Mar 25, 2020",11961,11668,293,1017,162
"Mar 26, 2020",13029,12701,328,998,197
"Mar 27, 2020",14143,12374,1769,1037,239
"Mar 28, 2020",15448,13644,1804,1061,274
"Mar 29, 2020",16170,14245,1925,1066,330
"Mar 30, 2020",16603,14404,2199,1049,376
"Mar 31, 2020",17910,15653,2257,1028,434
"Apr 01, 2020",19044,15592,3452,1012,485
"Apr 02, 2020",20057,15498,4559,1004,546
"Apr 03, 2020",20934,15483,5451,970,605
"Apr 04, 2020",21861,14785,7076,916,661
"Apr 05, 2020",22347,15212,7135,882,720
"Apr 06, 2020",22628,13799,8829,861,773
"Apr 07, 2020",23554,14025,9529,806,825
"Apr 08, 2020",24270,13586,10684,747,884
"Apr 09, 2020",24881,13333,11548,689,948
"Apr 10, 2020",25442,13350,12092,644,992
"Apr 11, 2020",25752,12605,13147,556,1047
"Apr 12, 2020",26010,12222,13788,523,1088
"Apr 13, 2020",26229,11387,14842,515,1142
"Apr 14, 2020",26474,11600,14874,417,1174
"Apr 15, 2020",26898,10289,16609,375,1209
"Apr 16, 2020",27225,10069,17156,335,1256
"Apr 17, 2020",27546,9848,17698,301,1298
"Apr 18, 2020",27836,9406,18430,297,1330
"Apr 19, 2020",27981,8814,19167,282,1367
"Apr 20, 2020",28068,8074,19994,263,1394
"Apr 21, 2020",28345,7511,20834,267,1434
"Apr 22, 2020",28558,7188,21370,237,1470
"Apr 23, 2020",28713,6615,22098,213,1498
"Apr 24, 2020",28920,6388,22532,196,1532
"Apr 25, 2020",29087,6232,22855,179,1555
"Apr 26, 2020",29174,5792,23382,170,1582
"Apr 27, 2020",29235,5440,23795,167,1595
"Apr 28, 2020",29408,5193,24215,152,1615
"Apr 29, 2020",29562,5325,24237,143,1637
"Apr 30, 2020",29682,4633,25049,138,1649
"May 01, 2020",29783,4218,25565,124,1665
"May 02, 2020",29866,3987,25879,111,1679
"May 03, 2020",29913,3725,26188,106,1688
"May 04, 2020",29935,3040,26895,100,1695
"May 05, 2020",30025,2923,27102,88,1702
"May 06, 2020",30098,2684,27414,76,1714
"May 07, 2020",30177,2558,27619,71,1719
"May 08, 2020",30223,2393,27830,63,1730
"May 09, 2020",30282,2144,28138,59,1738
"May 10, 2020",30321,1976,28345,59,1745
"May 11, 2020",30336,1782,28554,57,1754
"May 12, 2020",30383,1826,28557,51,1757
"May 13, 2020",30425,1567,28858,47,1758
"May 14, 2020",30462,1601,28861,40,1761
