Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",18,16,2,null,0
"Feb 16, 2020",20,17,3,0,1
"Feb 17, 2020",22,19,3,1,1
"Feb 18, 2020",22,19,3,0,1
"Feb 19, 2020",23,20,3,1,1
"Feb 20, 2020",24,21,3,1,1
"Feb 21, 2020",26,23,3,1,1
"Feb 22, 2020",26,23,3,1,1
"Feb 23, 2020",28,25,3,1,1
"Feb 24, 2020",30,27,3,2,1
"Feb 25, 2020",31,25,6,1,1
"Feb 26, 2020",32,26,6,1,1
"Feb 27, 2020",32,26,6,1,1
"Feb 28, 2020",34,28,6,1,1
"Feb 29, 2020",39,29,10,2,1
"Mar 01, 2020",40,27,13,2,1
"Mar 02, 2020",41,28,13,2,1
"Mar 03, 2020",42,29,13,1,1
"Mar 04, 2020",42,29,13,2,1
"Mar 05, 2020",44,31,13,1,1
"Mar 06, 2020",45,29,16,2,1
"Mar 07, 2020",45,29,16,1,1
"Mar 08, 2020",45,29,16,0,1
"Mar 09, 2020",45,29,16,1,1
"Mar 10, 2020",47,29,18,1,1
"Mar 11, 2020",48,27,21,1,1
"Mar 12, 2020",49,28,21,0,1
"Mar 13, 2020",50,29,21,1,1
"Mar 14, 2020",53,32,21,1,1
"Mar 15, 2020",59,38,21,2,1
"Mar 16, 2020",67,46,21,3,1
"Mar 17, 2020",77,56,21,5,1
"Mar 18, 2020",100,77,23,7,1
"Mar 19, 2020",108,81,27,8,1
"Mar 20, 2020",135,105,30,13,2
"Mar 21, 2020",153,123,30,14,2
"Mar 22, 2020",169,139,30,16,2
"Mar 23, 2020",195,165,30,18,2
"Mar 24, 2020",216,185,31,20,2
"Mar 25, 2020",235,204,31,19,2
"Mar 26, 2020",252,221,31,21,2
"Mar 27, 2020",267,235,32,18,2
"Mar 28, 2020",283,251,32,19,2
"Mar 29, 2020",298,256,42,18,3
"Mar 30, 2020",306,262,44,16,5
"Mar 31, 2020",322,278,44,15,5
"Apr 01, 2020",329,279,50,14,5
"Apr 02, 2020",339,284,55,12,5
"Apr 03, 2020",348,293,55,12,5
"Apr 04, 2020",355,300,55,10,5
"Apr 05, 2020",363,304,59,9,5
"Apr 06, 2020",373,311,62,10,5
"Apr 07, 2020",376,310,66,8,5
"Apr 08, 2020",379,307,72,7,5
"Apr 09, 2020",380,295,85,6,5
"Apr 10, 2020",382,285,97,5,6
"Apr 11, 2020",385,280,105,4,6
"Apr 12, 2020",388,273,115,3,6
"Apr 13, 2020",393,273,120,3,6
"Apr 14, 2020",393,263,130,3,6
"Apr 15, 2020",395,252,143,2,6
"Apr 16, 2020",395,234,161,2,6
"Apr 17, 2020",395,223,172,2,6
"Apr 18, 2020",398,214,184,2,6
"Apr 19, 2020",420,225,195,4,6
"Apr 20, 2020",422,213,209,5,6
"Apr 21, 2020",425,202,223,4,6
"Apr 22, 2020",426,184,242,5,6
"Apr 23, 2020",427,168,259,4,6
"Apr 24, 2020",428,158,270,5,6
"Apr 25, 2020",429,148,281,4,6
"Apr 26, 2020",429,142,287,2,6
"Apr 27, 2020",429,133,296,1,6
"Apr 28, 2020",429,116,313,0,6
"Apr 29, 2020",429,112,317,1,6
"Apr 30, 2020",429,101,328,0,6
"May 01, 2020",429,99,330,0,6
"May 02, 2020",432,102,330,0,6
"May 03, 2020",432,94,338,1,6
"May 04, 2020",438,98,340,1,6
"May 05, 2020",438,98,340,1,6
"May 06, 2020",439,94,345,2,6
"May 07, 2020",440,87,353,1,6
"May 08, 2020",440,79,361,2,6
"May 09, 2020",440,73,367,1,6
"May 10, 2020",440,68,372,1,6
"May 11, 2020",440,65,375,1,7
"May 12, 2020",440,61,379,0,7
"May 13, 2020",440,58,382,0,7
"May 14, 2020",440,50,390,0,7
"May 15, 2020",440,46,394,0,7
"May 16, 2020",440,44,396,0,7
"May 17, 2020",440,38,402,0,7
"May 18, 2020",440,35,405,0,7
"May 19, 2020",440,32,408,0,7
"May 20, 2020",440,31,409,0,7
"May 21, 2020",441,27,414,0,7
"May 22, 2020",441,26,415,0,7
"May 23, 2020",441,23,418,0,7
"May 24, 2020",441,20,421,1,7
"May 25, 2020",441,19,422,0,7
"May 26, 2020",441,18,423,0,7
"May 27, 2020",441,15,426,0,7
"May 28, 2020",441,14,427,0,7
"May 29, 2020",442,15,427,0,7
"May 30, 2020",442,14,428,0,7
"May 31, 2020",442,12,430,0,7
"Jun 01, 2020",443,9,434,1,7
"Jun 02, 2020",443,9,434,0,7
"Jun 03, 2020",443,8,435,0,7
"Jun 04, 2020",443,8,435,1,7
"Jun 05, 2020",443,7,436,0,7
"Jun 06, 2020",443,7,436,0,7
"Jun 07, 2020",443,6,437,0,7
"Jun 08, 2020",443,6,437,0,7
"Jun 09, 2020",443,6,437,0,7
"Jun 10, 2020",443,5,438,0,7
"Jun 11, 2020",443,5,438,0,7
"Jun 12, 2020",443,5,438,0,7
"Jun 13, 2020",443,5,438,0,7
"Jun 14, 2020",443,5,438,0,7
"Jun 15, 2020",445,5,440,0,7
"Jun 16, 2020",445,5,440,1,7
"Jun 17, 2020",445,4,441,0,7
"Jun 18, 2020",446,5,441,0,7
"Jun 19, 2020",446,5,441,1,7
"Jun 20, 2020",446,5,441,0,7
"Jun 21, 2020",446,5,441,1,7
"Jun 22, 2020",446,4,442,0,7
"Jun 23, 2020",446,4,442,0,7
"Jun 24, 2020",446,4,442,0,7
"Jun 25, 2020",447,5,442,0,7
"Jun 26, 2020",447,5,442,0,7
"Jun 27, 2020",447,5,442,0,7
"Jun 28, 2020",447,5,442,1,7
"Jun 29, 2020",447,5,442,0,7
"Jun 30, 2020",447,3,444,0,7
"Jul 01, 2020",447,2,445,0,7
"Jul 02, 2020",448,3,445,0,7
"Jul 03, 2020",449,4,445,0,7
"Jul 04, 2020",449,4,445,1,7
"Jul 05, 2020",449,4,445,0,7
"Jul 06, 2020",449,4,445,0,7
"Jul 07, 2020",449,4,445,1,7
"Jul 08, 2020",449,4,445,0,7
"Jul 09, 2020",449,4,445,0,7
"Jul 10, 2020",451,6,445,0,7
"Jul 11, 2020",451,6,445,1,7
"Jul 12, 2020",451,6,445,0,7
"Jul 13, 2020",451,4,447,0,7
"Jul 14, 2020",451,4,447,0,7
"Jul 15, 2020",451,4,447,1,7
"Jul 16, 2020",452,5,447,0,7
"Jul 17, 2020",454,7,447,1,7
"Jul 18, 2020",454,7,447,0,7
"Jul 19, 2020",455,8,447,1,7
"Jul 20, 2020",455,8,447,0,7
"Jul 21, 2020",455,8,447,1,7
"Jul 22, 2020",455,8,447,0,7
"Jul 23, 2020",455,8,447,1,7
"Jul 24, 2020",458,11,447,0,7
"Jul 25, 2020",458,11,447,1,7
"Jul 26, 2020",458,11,447,0,7
"Jul 27, 2020",462,15,447,1,7
"Jul 28, 2020",467,20,447,2,7
"Jul 29, 2020",467,19,448,2,7
"Jul 30, 2020",467,19,448,1,7
"Jul 31, 2020",467,19,448,2,7
