Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",32,22,10,null,2
"Feb 16, 2020",32,22,10,1,2
"Feb 17, 2020",32,22,10,1,2
"Feb 18, 2020",33,23,10,1,2
"Feb 19, 2020",33,23,10,0,2
"Feb 20, 2020",33,23,10,0,2
"Feb 21, 2020",33,23,10,1,2
"Feb 22, 2020",35,25,10,0,2
"Feb 23, 2020",35,24,11,0,3
"Feb 24, 2020",41,30,11,2,3
"Feb 25, 2020",43,32,11,1,3
"Feb 26, 2020",46,35,11,2,3
"Feb 27, 2020",48,37,11,2,3
"Feb 28, 2020",56,45,11,3,3
"Feb 29, 2020",68,57,11,5,3
"Mar 01, 2020",72,61,11,5,3
"Mar 02, 2020",92,81,11,8,3
"Mar 03, 2020",133,121,12,13,4
"Mar 04, 2020",191,179,12,20,4
"Mar 05, 2020",247,224,23,29,5
"Mar 06, 2020",296,271,25,34,7
"Mar 07, 2020",379,352,27,44,9
"Mar 08, 2020",447,420,27,54,9
"Mar 09, 2020",502,473,29,59,11
"Mar 10, 2020",650,616,34,73,16
"Mar 11, 2020",915,878,37,104,19
"Mar 12, 2020",1318,1274,44,153,26
"Mar 13, 2020",1802,1745,57,215,39
"Mar 14, 2020",2280,2207,73,272,55
"Mar 15, 2020",2632,2536,96,312,76
"Mar 16, 2020",3073,2915,158,367,106
"Mar 17, 2020",3675,3454,221,432,156
"Mar 18, 2020",4458,4179,279,506,214
"Mar 19, 2020",5442,5090,352,589,287
"Mar 20, 2020",6482,6051,431,669,366
"Mar 21, 2020",7735,7158,577,779,484
"Mar 22, 2020",8918,8198,720,898,627
"Mar 23, 2020",10279,9334,945,1030,810
"Mar 24, 2020",12568,11417,1151,1270,1016
"Mar 25, 2020",14921,13507,1414,1495,1279
"Mar 26, 2020",17587,15836,1751,1735,1616
"Mar 27, 2020",20626,18465,2161,2020,2026
"Mar 28, 2020",23781,21157,2624,2293,2489
"Mar 29, 2020",26555,23415,3140,2519,3005
"Mar 30, 2020",29373,25648,3725,2728,3590
"Mar 31, 2020",33568,29133,4435,3000,4300
"Apr 01, 2020",38031,32769,5262,3301,5127
"Apr 02, 2020",42922,36738,6184,3620,6049
"Apr 03, 2020",47746,40556,7190,3874,7055
"Apr 04, 2020",52599,44353,8246,4117,8111
"Apr 05, 2020",56575,47183,9392,4288,9257
"Apr 06, 2020",60131,49520,10611,4394,10476
"Apr 07, 2020",65404,53625,11779,4548,11644
"Apr 08, 2020",70881,57810,13071,4693,12936
"Apr 09, 2020",76027,61497,14530,4730,14395
"Apr 10, 2020",80902,64792,16110,4736,15766
"Apr 11, 2020",85229,67800,17429,4662,17085
"Apr 12, 2020",88814,70023,18791,4605,18447
"Apr 13, 2020",92321,72154,20167,4599,19823
"Apr 14, 2020",96524,75127,21397,4445,21053
"Apr 15, 2020",100859,78210,22649,4283,22305
"Apr 16, 2020",105929,82005,23924,4272,23580
"Apr 17, 2020",111221,85977,25244,4331,24900
"Apr 18, 2020",116198,89687,26511,4424,26167
"Apr 19, 2020",120942,93243,27699,4590,27355
"Apr 20, 2020",124823,96002,28821,4643,28477
"Apr 21, 2020",129264,99284,29980,4677,29636
"Apr 22, 2020",134060,102998,31062,4743,30718
"Apr 23, 2020",139577,107414,32163,4807,31819
"Apr 24, 2020",144743,111543,33200,4789,32856
"Apr 25, 2020",149704,115500,34204,4786,33860
"Apr 26, 2020",153461,118339,35122,4646,34778
"Apr 27, 2020",156937,120921,36016,4588,35672
"Apr 28, 2020",161676,124794,36882,4630,36538
"Apr 29, 2020",166395,128713,37682,4619,37338
"Apr 30, 2020",171828,133329,38499,4608,38155
"May 01, 2020",176789,137510,39279,4578,38935
"May 02, 2020",181555,141491,40064,4550,39720
"May 03, 2020",184813,144044,40769,4479,40425
"May 04, 2020",187815,146385,41430,4411,41086
"May 05, 2020",191213,149107,42106,4219,41762
"May 06, 2020",194899,152151,42748,4072,42404
"May 07, 2020",198731,155356,43375,3844,43031
"May 08, 2020",202518,158514,44004,3675,43660
"May 09, 2020",205582,161010,44572,3433,44228
"May 10, 2020",207752,162641,45111,3277,44767
"May 11, 2020",210089,164485,45604,3182,45260
"May 12, 2020",213701,167670,46031,3212,45687
"May 13, 2020",217111,170639,46472,3173,46128
"May 14, 2020",220441,173515,46926,3102,46582
"May 15, 2020",223071,175680,47391,2936,47047
"May 16, 2020",225601,177789,47812,2860,47468
"May 17, 2020",227683,179452,48231,2847,47887
"May 18, 2020",229520,180912,48608,2776,48264
"May 19, 2020",232101,183086,49015,2628,48671
"May 20, 2020",235164,185778,49386,2579,49042
"May 21, 2020",237883,188144,49739,2492,49395
"May 22, 2020",240450,186773,53677,2483,49737
"May 23, 2020",242507,185207,57300,2415,50037
"May 24, 2020",244039,183658,60381,2337,50321
"May 25, 2020",245412,179693,65719,2270,50602
"May 26, 2020",247037,177873,69164,2134,50881
"May 27, 2020",249107,177027,72080,1991,51180
"May 28, 2020",250932,174208,76724,1865,51461
"May 29, 2020",252689,172234,80455,1748,51749
"May 30, 2020",254220,166240,87980,1673,52003
"May 31, 2020",255352,162701,92651,1616,52222
"Jun 01, 2020",256432,159036,97396,1575,52417
"Jun 02, 2020",257871,156537,101334,1547,52616
"Jun 03, 2020",259363,153601,105762,1466,52849
"Jun 04, 2020",260732,151040,109692,1400,53052
"Jun 05, 2020",261981,148299,113682,1327,53235
"Jun 06, 2020",263104,144493,118611,1269,53419
"Jun 07, 2020",263908,140567,123341,1222,53570
"Jun 08, 2020",264630,135926,128704,1172,53733
"Jun 09, 2020",265729,132778,132951,1122,53894
"Jun 10, 2020",266894,130382,136512,1076,54031
"Jun 11, 2020",268090,127688,140402,1051,54197
"Jun 12, 2020",269103,124712,144391,1018,54318
"Jun 13, 2020",270156,121059,149097,1007,54453
"Jun 14, 2020",271042,117623,153419,1019,54554
"Jun 15, 2020",271868,114655,157213,1034,54690
"Jun 16, 2020",272913,111793,161120,1026,54797
"Jun 17, 2020",274016,109280,164736,1018,54917
"Jun 18, 2020",275033,106924,168109,992,55022
"Jun 19, 2020",276055,102736,173319,993,55111
"Jun 20, 2020",277048,98293,178755,984,55199
"Jun 21, 2020",277731,94684,183047,956,55286
"Jun 22, 2020",278367,91382,186985,928,55366
"Jun 23, 2020",279266,88682,190584,908,55449
"Jun 24, 2020",280149,85713,194436,876,55546
"Jun 25, 2020",280926,81102,199824,842,55647
"Jun 26, 2020",281652,76773,204879,800,55755
"Jun 27, 2020",282318,73401,208917,752,55834
"Jun 28, 2020",282971,70603,212368,749,55907
"Jun 29, 2020",283420,67489,215931,722,55977
"Jun 30, 2020",284144,64679,219465,697,56046
"Jul 01, 2020",284767,62326,222441,659,56127
"Jul 02, 2020",285419,60145,225274,642,56181
"Jul 03, 2020",286025,57650,228375,625,56242
"Jul 04, 2020",286593,55078,231515,611,56290
"Jul 05, 2020",286992,52403,234589,574,56342
"Jul 06, 2020",287550,49741,237809,590,56394
"Jul 07, 2020",288264,47975,240289,589,56448
"Jul 08, 2020",288873,46470,242403,586,56491
"Jul 09, 2020",289586,45870,243716,596,56538
"Jul 10, 2020",290308,44237,246071,611,56599
"Jul 11, 2020",290876,41862,249014,612,56643
"Jul 12, 2020",291334,39676,251658,621,56681
"Jul 13, 2020",291700,37865,253835,592,56713
"Jul 14, 2020",292440,37102,255338,597,56758
"Jul 15, 2020",293145,36039,257106,610,56800
"Jul 16, 2020",293922,35039,258883,620,56841
"Jul 17, 2020",294634,34122,260512,618,56862
"Jul 18, 2020",295216,32850,262366,620,56896
"Jul 19, 2020",295721,31911,263810,626,56927
"Jul 20, 2020",296169,30612,265557,639,56951
"Jul 21, 2020",296999,30010,266989,651,56982
"Jul 22, 2020",297787,29321,268466,663,57013
"Jul 23, 2020",298603,28507,270096,669,57047
"Jul 24, 2020",299411,27683,271728,682,57083
"Jul 25, 2020",300185,26991,273194,710,57102
"Jul 26, 2020",300715,26123,274592,714,57125
"Jul 27, 2020",301278,25472,275806,730,57157
"Jul 28, 2020",302147,25242,276905,735,57175
"Jul 29, 2020",303003,24547,278456,745,57201
"Jul 30, 2020",304065,24729,279336,780,57229
"Jul 31, 2020",305011,24543,280468,800,57246
"Aug 01, 2020",305709,23848,281861,790,57277
"Aug 02, 2020",306268,23113,283155,793,57297
"Aug 03, 2020",306832,22297,284535,793,57314
"Aug 04, 2020",307892,22465,285427,821,57337
"Aug 05, 2020",308958,22392,286566,851,57364
"Aug 06, 2020",310049,22486,287563,855,57377
"Aug 07, 2020",311154,22490,288664,877,57398
"Aug 08, 2020",312127,22246,289881,917,57422
"Aug 09, 2020",312837,21770,291067,938,57444
"Aug 10, 2020",313464,21283,292181,948,57463
"Aug 11, 2020",314963,21899,293064,1010,57488
"Aug 12, 2020",316341,22448,293893,1055,57508
"Aug 13, 2020",317583,23092,294491,1076,57532
"Aug 14, 2020",318739,23221,295518,1084,57555
"Aug 15, 2020",319924,23169,296755,1113,57573
"Aug 16, 2020",320638,23069,297569,1115,57596
"Aug 17, 2020",321240,22848,298392,1111,57611
"Aug 18, 2020",322538,23391,299147,1082,57632
"Aug 19, 2020",323654,23889,299765,1045,57647
"Aug 20, 2020",324936,24441,300495,1050,57660
"Aug 21, 2020",326434,25347,301087,1099,57676
"Aug 22, 2020",327652,26052,301600,1104,57686
"Aug 23, 2020",328494,26269,302225,1123,57698
"Aug 24, 2020",329325,26570,302755,1155,57715
"Aug 25, 2020",330625,27509,303116,1155,57724
"Aug 26, 2020",331895,28192,303703,1177,57746
"Aug 27, 2020",333283,28946,304337,1193,57762
"Aug 28, 2020",334874,29899,304975,1205,57774
"Aug 29, 2020",336506,31018,305488,1265,57786
"Aug 30, 2020",337736,31421,306315,1320,57794
"Aug 31, 2020",338907,31935,306972,1369,57805
"Sep 01, 2020",340420,32917,307503,1400,57823
"Sep 02, 2020",342708,34810,307898,1544,57834
"Sep 03, 2020",345785,37354,308431,1786,57849
"Sep 04, 2020",348937,39874,309063,2009,57858
"Sep 05, 2020",352029,42275,309754,2218,57873
"Sep 06, 2020",354580,43988,310592,2406,57887
"Sep 07, 2020",357045,45719,311326,2591,57900
"Sep 08, 2020",360976,49049,311927,2937,57924
"Sep 09, 2020",364346,51970,312376,3091,57940
"Sep 10, 2020",367711,54777,312934,3132,57954
"Sep 11, 2020",371339,57626,313713,3201,57970
"Sep 12, 2020",374663,60165,314498,3233,57989
"Sep 13, 2020",377333,62063,315270,3250,58012
"Sep 14, 2020",379487,63458,316029,3206,58032
"Sep 15, 2020",382915,66184,316731,3135,58053
"Sep 16, 2020",386466,69144,317322,3160,58079
"Sep 17, 2020",390865,72765,318100,3307,58110
"Sep 18, 2020",395540,76568,318972,3458,58148
"Sep 19, 2020",400513,80640,319873,3692,58178
"Sep 20, 2020",405402,84745,320657,4010,58203
"Sep 21, 2020",410742,89303,321439,4465,58243
"Sep 22, 2020",416369,93974,322395,4779,58273
"Sep 23, 2020",422810,99709,323101,5192,58312
"Sep 24, 2020",429906,105866,324040,5578,58370
"Sep 25, 2020",437588,112577,325011,6007,58404
"Sep 26, 2020",444906,118994,325912,6341,58444
"Sep 27, 2020",451716,125011,326705,6617,58491
"Sep 28, 2020",458739,130918,327821,6856,58547
"Sep 29, 2020",468722,140033,328689,7479,58602
"Sep 30, 2020",479088,149235,329853,8040,58650
"Oct 01, 2020",491805,160890,330915,8843,58711
"Oct 02, 2020",505162,173061,332101,9653,58782
"Oct 03, 2020",519016,185407,333609,10587,58856
"Oct 04, 2020",530683,195936,334747,11281,58926
"Oct 05, 2020",542636,206791,335845,11986,58989
"Oct 06, 2020",559389,222772,336617,12952,59057
"Oct 07, 2020",576639,238876,337763,13936,59141
"Oct 08, 2020",595212,256547,338665,14772,59251
"Oct 09, 2020",613637,273714,339923,15497,59348
"Oct 10, 2020",629530,288505,341025,15788,59444
"Oct 11, 2020",642178,299785,342393,15927,59551
"Oct 12, 2020",654380,310717,343663,15964,59679
"Oct 13, 2020",674051,329426,344625,16380,59799
