Date,Total Cases,Active Cases,Total Removed,New Cases,Total Deaths
"Feb 15, 2020",15,12,3,null,0
"Feb 16, 2020",15,12,3,0,0
"Feb 17, 2020",15,12,3,0,0
"Feb 18, 2020",15,12,3,1,0
"Feb 19, 2020",15,12,3,0,0
"Feb 20, 2020",15,10,5,0,0
"Feb 21, 2020",35,29,6,3,0
"Feb 22, 2020",35,29,6,3,0
"Feb 23, 2020",35,28,7,3,0
"Feb 24, 2020",53,48,5,5,0
"Feb 25, 2020",57,51,6,6,0
"Feb 26, 2020",60,54,6,6,0
"Feb 27, 2020",60,54,6,7,0
"Feb 28, 2020",63,57,6,4,0
"Feb 29, 2020",68,60,8,5,1
"Mar 01, 2020",75,65,10,5,1
"Mar 02, 2020",100,85,15,7,6
"Mar 03, 2020",124,106,18,10,9
"Mar 04, 2020",158,138,20,14,11
"Mar 05, 2020",221,200,21,23,12
"Mar 06, 2020",319,289,30,36,15
"Mar 07, 2020",435,401,34,53,19
"Mar 08, 2020",541,504,37,66,22
"Mar 09, 2020",704,663,41,86,26
"Mar 10, 2020",994,949,45,125,30
"Mar 11, 2020",1301,1248,53,163,38
"Mar 12, 2020",2435,2367,68,316,59
"Mar 13, 2020",3176,3102,74,408,64
"Mar 14, 2020",4020,3895,125,513,75
"Mar 15, 2020",5059,4905,154,645,92
"Mar 16, 2020",6420,6228,192,817,114
"Mar 17, 2020",8899,8645,254,1129,143
"Mar 18, 2020",12664,12359,305,1623,191
"Mar 19, 2020",18020,17654,366,2227,249
"Mar 20, 2020",24616,24121,495,3062,326
"Mar 21, 2020",30478,29866,612,3780,395
"Mar 22, 2020",40728,39903,825,5096,565
"Mar 23, 2020",52250,51101,1149,6547,741
"Mar 24, 2020",65173,63616,1557,8039,1007
"Mar 25, 2020",80124,78181,1943,9637,1318
"Mar 26, 2020",98809,94915,3894,11541,1704
"Mar 27, 2020",119173,113987,5186,13509,2238
"Mar 28, 2020",139329,131404,7925,15550,2889
"Mar 29, 2020",160031,148243,11788,17043,3450
"Mar 30, 2020",184051,169461,14590,18829,4305
"Mar 31, 2020",210748,188896,21852,20796,5390
"Apr 01, 2020",238628,210363,28265,22644,6690
"Apr 02, 2020",267418,232470,34948,24087,7897
"Apr 03, 2020",301599,258587,43012,26060,9228
"Apr 04, 2020",334929,284035,50894,27943,10864
"Apr 05, 2020",362117,301360,60757,28870,12378
"Apr 06, 2020",393591,324110,69481,29934,13957
"Apr 07, 2020",427704,348568,79136,30994,16158
"Apr 08, 2020",460657,372321,88336,31718,18432
"Apr 09, 2020",494920,395178,99742,32500,20642
"Apr 10, 2020",529165,418942,110223,32510,22916
"Apr 11, 2020",559920,435911,124009,32141,25082
"Apr 12, 2020",586293,448669,137624,32026,26984
"Apr 13, 2020",613800,460109,153691,31458,28794
"Apr 14, 2020",643601,477282,166319,30842,31324
"Apr 15, 2020",675786,495181,180605,30733,34044
"Apr 16, 2020",706633,504261,202372,30245,36337
"Apr 17, 2020",740525,524769,215756,30194,38990
"Apr 18, 2020",770189,533983,236206,30039,40963
"Apr 19, 2020",796413,543920,252493,30017,42662
"Apr 20, 2020",825176,560008,265168,30196,44685
"Apr 21, 2020",852745,571903,280842,29878,47364
"Apr 22, 2020",884586,592612,291974,29829,49832
"Apr 23, 2020",919218,614093,305125,30369,52254
"Apr 24, 2020",954019,612447,341572,30499,54285
"Apr 25, 2020",989480,628839,360641,31327,56658
"Apr 26, 2020",1017204,644556,372648,31542,58014
"Apr 27, 2020",1041494,654450,387044,30902,59623
"Apr 28, 2020",1068499,669678,398821,30822,61996
"Apr 29, 2020",1098934,687025,411909,30622,64244
"Apr 30, 2020",1130259,703829,426430,30148,66486
"May 01, 2020",1165921,720971,444950,30272,68454
"May 02, 2020",1194709,727308,467401,29318,70290
"May 03, 2020",1221319,737428,483891,29160,71621
"May 04, 2020",1246231,738116,508115,29248,73103
"May 05, 2020",1271953,743870,528083,29065,75191
"May 06, 2020",1297879,750196,547683,28420,77701
"May 07, 2020",1327759,766471,561288,28215,79700
"May 08, 2020",1357123,778228,578895,27314,81354
"May 09, 2020",1382629,779117,603512,26846,82897
"May 10, 2020",1403211,785265,617946,25985,84314
"May 11, 2020",1422013,791059,630954,25111,85474
"May 12, 2020",1446432,780885,665547,24926,87328
